begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.5294117647058824,0.2692307692307692,0.35990888382687924,S6JL.tsv
50,100,0.413135593220339,0.3939393939393939,0.40746268656716417,S6JL.tsv
100,150,0.34285714285714286,0.5257731958762887,0.4306930693069307,S6JL.tsv
150,200,0.46524064171123,0.37962962962962965,0.41935483870967744,S6JL.tsv
200,250,0.48494983277591974,0.24766355140186916,0.38596491228070173,S6JL.tsv
250,300,0.3675889328063241,0.6050955414012739,0.4585365853658537,S6JL.tsv
300,350,0.49836065573770494,0.44061302681992337,0.4717314487632509,S6JL.tsv
350,400,0.5284090909090909,0.41785714285714287,0.4900990099009901,S6JL.tsv
400,450,0.45792563600782776,0.3673469387755102,0.4376899696048632,S6JL.tsv
450,500,0.6689655172413793,0.22875,0.2962962962962963,S6JL.tsv
500,550,0.358974358974359,0.36160714285714285,0.3605263157894737,S6JL.tsv
550,600,0.6057692307692307,0.25,0.3425,S6JL.tsv
600,650,0.3828125,0.4076923076923077,0.39948453608247425,S6JL.tsv
650,700,0.3828125,0.3873239436619718,0.3844221105527638,S6JL.tsv
700,750,0.3023255813953488,0.47368421052631576,0.38271604938271603,S6JL.tsv
750,800,0.3895131086142322,0.4788732394366197,0.42916666666666664,S6JL.tsv
800,850,0.3691860465116279,0.35877862595419846,0.3663157894736842,S6JL.tsv
850,900,0.43260188087774293,0.43670886075949367,0.4339622641509434,S6JL.tsv
900,950,0.5169082125603864,0.41919191919191917,0.4852941176470588,S6JL.tsv
950,986,0.3754646840148699,0.5634920634920635,0.43544303797468353,S6JL.tsv
