begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.26046511627906976,0.5884615384615385,0.44,S8B9.tsv
50,100,0.4539877300613497,0.418212478920742,0.42592592592592593,S8B9.tsv
100,150,0.2695417789757412,0.38666666666666666,0.30326295585412666,S8B9.tsv
150,200,0.3711340206185567,0.2967032967032967,0.35340314136125656,S8B9.tsv
200,250,0.4129692832764505,0.5888077858880778,0.515625,S8B9.tsv
250,300,0.45871559633027525,0.2949640287769784,0.36693548387096775,S8B9.tsv
300,350,0.3160919540229885,0.35514018691588783,0.3309608540925267,S8B9.tsv
350,400,0.3373493975903614,0.44017094017094016,0.3975,S8B9.tsv
400,450,0.4723756906077348,0.40186915887850466,0.4341772151898734,S8B9.tsv
450,500,0.3486238532110092,0.4131147540983607,0.3862332695984704,S8B9.tsv
500,550,0.2785714285714286,0.44537815126050423,0.3283208020050125,S8B9.tsv
550,600,0.4508670520231214,0.37623762376237624,0.40336134453781514,S8B9.tsv
600,650,0.25,0.5289855072463768,0.336322869955157,S8B9.tsv
650,700,0.33476394849785407,0.5054945054945055,0.4268774703557312,S8B9.tsv
700,750,0.4388888888888889,0.41496598639455784,0.4240506329113924,S8B9.tsv
750,800,0.36475409836065575,0.36220472440944884,0.3638814016172507,S8B9.tsv
800,850,0.3333333333333333,0.5342465753424658,0.41714285714285715,S8B9.tsv
850,900,0.44680851063829785,0.4606741573033708,0.45217391304347826,S8B9.tsv
900,950,0.43478260869565216,0.46629213483146065,0.45132743362831856,S8B9.tsv
950,1000,0.3611111111111111,0.4632352941176471,0.39690721649484534,S8B9.tsv
1000,1050,0.4567901234567901,0.3821656050955414,0.4275,S8B9.tsv
1050,1100,0.2672413793103448,0.49557522123893805,0.34202898550724636,S8B9.tsv
1100,1150,0.34868421052631576,0.3968871595330739,0.37897310513447435,S8B9.tsv
1150,1200,0.4488888888888889,0.4068965517241379,0.43243243243243246,S8B9.tsv
1200,1250,0.26843657817109146,0.4772727272727273,0.32696390658174096,S8B9.tsv
1250,1300,0.4701195219123506,0.3458333333333333,0.4093686354378819,S8B9.tsv
1300,1350,0.233201581027668,0.3893805309734513,0.2814207650273224,S8B9.tsv
1350,1400,0.3027027027027027,0.41479099678456594,0.37298387096774194,S8B9.tsv
1400,1450,0.46096654275092935,0.48148148148148145,0.47010309278350515,S8B9.tsv
1450,1500,0.37,0.5080645161290323,0.44642857142857145,S8B9.tsv
1500,1550,0.6142857142857143,0.30196936542669583,0.4206241519674355,S8B9.tsv
1550,1600,0.3448275862068966,0.37333333333333335,0.35694050991501414,S8B9.tsv
1600,1650,0.44385026737967914,0.4232209737827715,0.43171806167400884,S8B9.tsv
1650,1700,0.4017467248908297,0.4005167958656331,0.400974025974026,S8B9.tsv
1700,1750,0.43414634146341463,0.3638211382113821,0.38450502152080346,S8B9.tsv
1750,1800,0.2603550295857988,0.43103448275862066,0.35910224438902744,S8B9.tsv
1800,1850,0.38497652582159625,0.5592417061611374,0.4716981132075472,S8B9.tsv
1850,1900,0.4533333333333333,0.3192307692307692,0.36829268292682926,S8B9.tsv
1900,1950,0.2138728323699422,0.6363636363636364,0.2995391705069124,S8B9.tsv
1950,2000,0.2890625,0.559322033898305,0.37433155080213903,S8B9.tsv
2000,2050,0.32051282051282054,0.5384615384615384,0.3983516483516483,S8B9.tsv
2050,2100,0.20973782771535582,0.5565217391304348,0.31413612565445026,S8B9.tsv
2100,2150,0.23529411764705882,0.23076923076923078,0.23333333333333334,S8B9.tsv
2150,2200,0.29571984435797666,0.4479166666666667,0.3371104815864023,S8B9.tsv
2200,2250,0.285140562248996,0.4765625,0.35013262599469497,S8B9.tsv
2250,2300,0.26881720430107525,0.6119402985074627,0.3801452784503632,S8B9.tsv
2300,2350,0.36790123456790125,0.35964912280701755,0.36608863198458574,S8B9.tsv
2350,2400,0.22910216718266255,0.40707964601769914,0.27522935779816515,S8B9.tsv
2400,2450,0.2956521739130435,0.36220472440944884,0.31932773109243695,S8B9.tsv
2450,2500,0.18421052631578946,0.3902439024390244,0.22797927461139897,S8B9.tsv
2500,2550,0.23318385650224216,0.43795620437956206,0.3111111111111111,S8B9.tsv
2550,2600,0.38977635782747605,0.3925925925925926,0.390625,S8B9.tsv
2600,2650,0.0938337801608579,0.5619047619047619,0.19665271966527198,S8B9.tsv
2650,2700,0.2723735408560311,0.4625,0.31750741839762614,S8B9.tsv
2700,2750,0.16891891891891891,0.5128205128205128,0.22030651340996169,S8B9.tsv
2750,2800,0.2671232876712329,0.50920245398773,0.33277870216306155,S8B9.tsv
2800,2850,0.22580645161290322,0.576271186440678,0.383248730964467,S8B9.tsv
2850,2900,0.3018867924528302,0.375,0.3480278422273782,S8B9.tsv
2900,2950,0.45394736842105265,0.43457943925233644,0.4426229508196721,S8B9.tsv
2950,3000,0.3842364532019704,0.3675675675675676,0.37628865979381443,S8B9.tsv
3000,3050,0.3089430894308943,0.2546583850931677,0.27816901408450706,S8B9.tsv
3050,3100,0.45410628019323673,0.3202614379084967,0.3972222222222222,S8B9.tsv
3100,3150,0.36507936507936506,0.33125,0.3495702005730659,S8B9.tsv
3150,3200,0.40458015267175573,0.36585365853658536,0.38095238095238093,S8B9.tsv
3200,3250,0.3560606060606061,0.5151515151515151,0.4696969696969697,S8B9.tsv
3250,3300,0.4253731343283582,0.3188405797101449,0.36070381231671556,S8B9.tsv
3300,3350,0.43636363636363634,0.31512605042016806,0.35344827586206895,S8B9.tsv
3350,3355,0.4,0.12903225806451613,0.1553398058252427,S8B9.tsv
