begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.5421052631578948,0.3723404255319149,0.4406779661016949,S8GL.tsv
50,100,0.5738636363636364,0.2669902912621359,0.4083769633507853,S8GL.tsv
100,150,0.32142857142857145,0.5414634146341464,0.44235924932975873,S8GL.tsv
150,200,0.2596685082872928,0.5234375,0.36893203883495146,S8GL.tsv
200,250,0.2558139534883721,0.5416666666666666,0.32752613240418116,S8GL.tsv
250,300,0.42391304347826086,0.42857142857142855,0.42586750788643535,S8GL.tsv
300,350,0.24324324324324326,0.41935483870967744,0.29523809523809524,S8GL.tsv
350,400,0.46078431372549017,0.4266666666666667,0.4463276836158192,S8GL.tsv
400,450,0.41530054644808745,0.4375,0.42443729903536975,S8GL.tsv
450,500,0.34545454545454546,0.4630541871921182,0.41032608695652173,S8GL.tsv
500,550,0.1522633744855967,0.3783783783783784,0.2231638418079096,S8GL.tsv
550,600,0.4125,0.33070866141732286,0.36231884057971014,S8GL.tsv
600,650,0.054187192118226604,0.5135135135135135,0.125,S8GL.tsv
650,700,0.39473684210526316,0.4166666666666667,0.4017857142857143,S8GL.tsv
700,750,0.5040650406504065,0.2626728110599078,0.35,S8GL.tsv
750,800,0.3058823529411765,0.4486486486486487,0.38028169014084506,S8GL.tsv
800,850,0.27325581395348836,0.5664739884393064,0.42028985507246375,S8GL.tsv
850,871,0.19047619047619047,0.1732283464566929,0.17567567567567569,S8GL.tsv
