begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.47191011235955055,0.3089171974522293,0.3678861788617886,S9GP.tsv
50,100,0.5352112676056338,0.4074074074074074,0.46078431372549017,S9GP.tsv
100,150,0.37254901960784315,0.5148514851485149,0.4470954356846473,S9GP.tsv
150,200,0.46441947565543074,0.3314917127071823,0.4107142857142857,S9GP.tsv
200,250,0.3581081081081081,0.4797507788161994,0.4213938411669368,S9GP.tsv
250,300,0.5529411764705883,0.3610719322990127,0.3981797497155859,S9GP.tsv
300,350,0.5477178423236515,0.33666666666666667,0.43068391866913125,S9GP.tsv
350,400,0.5769230769230769,0.37251356238698013,0.4283837056504599,S9GP.tsv
400,450,0.4685714285714286,0.3891891891891892,0.41467889908256883,S9GP.tsv
450,500,0.5714285714285714,0.3891509433962264,0.4393162393162393,S9GP.tsv
500,550,0.15968586387434555,0.38181818181818183,0.20934959349593496,S9GP.tsv
550,600,0.48825065274151436,0.3872832369942196,0.43015521064301554,S9GP.tsv
600,650,0.47706422018348627,0.40476190476190477,0.4312080536912752,S9GP.tsv
650,700,0.5384615384615384,0.34285714285714286,0.4185639229422067,S9GP.tsv
700,750,0.4631043256997455,0.24074074074074073,0.3842364532019704,S9GP.tsv
750,800,0.28982300884955753,0.5391849529780565,0.39299610894941633,S9GP.tsv
800,850,0.36678200692041524,0.4535005224660397,0.4333868378812199,S9GP.tsv
850,900,0.5140845070422535,0.41851106639839036,0.4532650448143406,S9GP.tsv
900,950,0.505524861878453,0.40384615384615385,0.43761467889908257,S9GP.tsv
950,962,0.13157894736842105,0.2087912087912088,0.18604651162790697,S9GP.tsv
