begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.14897260273972604,0.4696969696969697,0.18153846153846154,SDHU.tsv
50,100,0.11958762886597939,0.6212121212121212,0.17967332123411978,SDHU.tsv
100,150,0.03676470588235294,0.4666666666666667,0.07162162162162163,SDHU.tsv
150,200,0.25252525252525254,0.4230769230769231,0.2805907172995781,SDHU.tsv
200,250,0.1254416961130742,0.2459016393442623,0.1371610845295056,SDHU.tsv
250,300,0.010703363914373088,0.42028985507246375,0.04979253112033195,SDHU.tsv
300,350,0.5798319327731093,0.13274336283185842,0.4065180102915952,SDHU.tsv
350,400,0.032,0.38,0.06363636363636363,SDHU.tsv
400,450,0.04794520547945205,0.525,0.07852564102564102,SDHU.tsv
450,500,0.04873949579831933,0.3333333333333333,0.07120743034055728,SDHU.tsv
500,550,0.005952380952380952,0.46511627906976744,0.04204753199268738,SDHU.tsv
550,600,0.1954459203036053,0.5865384615384616,0.25990491283676703,SDHU.tsv
600,650,0.21161825726141079,0.22058823529411764,0.21272727272727274,SDHU.tsv
650,695,0.12745098039215685,0.5555555555555556,0.18233618233618235,SDHU.tsv
