begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.29411764705882354,0.4827586206896552,0.40168539325842695,SNCG.tsv
50,100,0.5728643216080402,0.3076923076923077,0.410958904109589,SNCG.tsv
100,150,0.3476190476190476,0.5146198830409356,0.39593908629441626,SNCG.tsv
150,200,0.3508771929824561,0.08544303797468354,0.1260053619302949,SNCG.tsv
200,250,0.3269230769230769,0.18272425249169436,0.20396600566572237,SNCG.tsv
250,300,0.4405144694533762,0.4562043795620438,0.4478632478632479,SNCG.tsv
300,350,0.4420731707317073,0.39669421487603307,0.42280701754385963,SNCG.tsv
350,400,0.448559670781893,0.288,0.39402173913043476,SNCG.tsv
400,450,0.3258426966292135,0.4444444444444444,0.36904761904761907,SNCG.tsv
450,500,0.5303030303030303,0.236,0.337696335078534,SNCG.tsv
500,550,0.337037037037037,0.42021276595744683,0.37117903930131,SNCG.tsv
550,600,0.37267080745341613,0.41304347826086957,0.39641943734015345,SNCG.tsv
600,650,0.40789473684210525,0.3942307692307692,0.39870689655172414,SNCG.tsv
650,700,0.3153409090909091,0.4908256880733945,0.3824561403508772,SNCG.tsv
700,750,0.3218390804597701,0.3375796178343949,0.3277511961722488,SNCG.tsv
750,800,0.40397350993377484,0.4517766497461929,0.4228456913827655,SNCG.tsv
800,850,0.312,0.44329896907216493,0.39184952978056425,SNCG.tsv
850,900,0.44126074498567336,0.35428571428571426,0.4122137404580153,SNCG.tsv
900,950,0.17763157894736842,0.5271317829457365,0.33807829181494664,SNCG.tsv
950,1000,0.24043715846994534,0.4580152671755725,0.33121019108280253,SNCG.tsv
1000,1050,0.2962962962962963,0.3841059602649007,0.33242506811989103,SNCG.tsv
1050,1100,0.3118811881188119,0.40217391304347827,0.36401673640167365,SNCG.tsv
1100,1150,0.37809187279151946,0.4405594405594406,0.39906103286384975,SNCG.tsv
1150,1200,0.2554347826086957,0.3786407766990291,0.32051282051282054,SNCG.tsv
1200,1250,0.3274336283185841,0.3656716417910448,0.3416666666666667,SNCG.tsv
1250,1300,0.27124773960216997,0.4766355140186916,0.30454545454545456,SNCG.tsv
1300,1306,0.11764705882352941,0.07142857142857142,0.10416666666666667,SNCG.tsv
