begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.38349514563106796,0.3115942028985507,0.3546511627906977,SPHJ.tsv
50,100,0.3508771929824561,0.4857142857142857,0.4115755627009646,SPHJ.tsv
100,150,0.3807531380753138,0.35766423357664234,0.3723404255319149,SPHJ.tsv
150,200,0.3013698630136986,0.30434782608695654,0.30268199233716475,SPHJ.tsv
200,250,0.36318407960199006,0.45390070921985815,0.40058479532163743,SPHJ.tsv
250,300,0.25,0.5180722891566265,0.2922201138519924,SPHJ.tsv
300,350,0.4189189189189189,0.13978494623655913,0.19830028328611898,SPHJ.tsv
350,400,0.14545454545454545,0.6460674157303371,0.34216335540838855,SPHJ.tsv
400,450,0.4627659574468085,0.25118483412322273,0.3508771929824561,SPHJ.tsv
450,500,0.1111111111111111,0.1662921348314607,0.15860735009671179,SPHJ.tsv
500,550,0.3006993006993007,0.3728813559322034,0.340625,SPHJ.tsv
550,600,0.6344827586206897,0.20179372197309417,0.37228260869565216,SPHJ.tsv
600,650,0.358974358974359,0.3660377358490566,0.36387434554973824,SPHJ.tsv
650,700,0.46335078534031415,0.46153846153846156,0.46248294679399726,SPHJ.tsv
700,750,0.30755711775043937,0.5470588235294118,0.36265223274695535,SPHJ.tsv
750,800,0.5604166666666667,0.12,0.4198581560283688,SPHJ.tsv
800,850,0.6375,0.22264150943396227,0.3788235294117647,SPHJ.tsv
850,900,0.48322147651006714,0.40498442367601245,0.44264943457189015,SPHJ.tsv
900,950,0.25882352941176473,0.4889502762430939,0.41541353383458646,SPHJ.tsv
950,1000,0.44594594594594594,0.26822157434402333,0.32179226069246436,SPHJ.tsv
1000,1050,0.1782608695652174,0.6351931330472103,0.408207343412527,SPHJ.tsv
1050,1100,0.3904761904761905,0.2489451476793249,0.29239766081871343,SPHJ.tsv
1100,1150,0.205761316872428,0.5278969957081545,0.3634453781512605,SPHJ.tsv
1150,1200,0.37037037037037035,0.5428571428571428,0.4308617234468938,SPHJ.tsv
1200,1250,0.4230769230769231,0.3076923076923077,0.3870192307692308,SPHJ.tsv
1250,1300,0.11568123393316196,0.49514563106796117,0.1951219512195122,SPHJ.tsv
1300,1324,0.36666666666666664,0.16049382716049382,0.30268199233716475,SPHJ.tsv
