begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3848101265822785,0.4094488188976378,0.39080459770114945,SQ9R.tsv
50,100,0.07090103397341212,0.65625,0.14359637774902975,SQ9R.tsv
100,150,0.2868525896414343,0.565843621399177,0.4708276797829037,SQ9R.tsv
150,200,0.5573122529644269,0.2245508982035928,0.3679727427597956,SQ9R.tsv
200,250,0.25163398692810457,0.5637583892617449,0.35384615384615387,SQ9R.tsv
250,300,0.3439153439153439,0.4046997389033943,0.38461538461538464,SQ9R.tsv
300,350,0.6561679790026247,0.20518867924528303,0.4186335403726708,SQ9R.tsv
350,400,0.4358108108108108,0.33043478260869563,0.3897338403041825,SQ9R.tsv
400,450,0.2189922480620155,0.5766871165644172,0.30486008836524303,SQ9R.tsv
450,500,0.4114583333333333,0.32857142857142857,0.38215488215488214,SQ9R.tsv
500,550,0.41318681318681316,0.36134453781512604,0.4024390243902439,SQ9R.tsv
550,600,0.18248175182481752,0.35714285714285715,0.20342612419700215,SQ9R.tsv
600,650,0.16139240506329114,0.6024590163934426,0.3535714285714286,SQ9R.tsv
650,700,0.29605263157894735,0.5688311688311688,0.42092746730083236,SQ9R.tsv
700,750,0.38762886597938145,0.4198895027624309,0.3963963963963964,SQ9R.tsv
750,777,0.23529411764705882,0.44642857142857145,0.291866028708134,SQ9R.tsv
