begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.17880794701986755,0.17216117216117216,0.17452830188679244,S27D.tsv
50,100,0.371900826446281,0.35625,0.36298932384341637,S27D.tsv
100,150,0.32298136645962733,0.31297709923664124,0.31678486997635935,S27D.tsv
150,200,0.4503311258278146,0.44755244755244755,0.4489795918367347,S27D.tsv
200,250,0.46190476190476193,0.4,0.43209876543209874,S27D.tsv
250,300,0.5208333333333334,0.3840304182509506,0.4206128133704735,S27D.tsv
300,350,0.6052631578947368,0.41843971631205673,0.4581005586592179,S27D.tsv
350,400,0.6428571428571429,0.3074074074074074,0.3967391304347826,S27D.tsv
400,450,0.5611814345991561,0.4883720930232558,0.5355191256830601,S27D.tsv
450,500,0.46613545816733065,0.5,0.4814004376367615,S27D.tsv
500,550,0.6228070175438597,0.5559322033898305,0.5745721271393643,S27D.tsv
550,600,0.5789473684210527,0.5135135135135135,0.55625,S27D.tsv
600,650,0.5221518987341772,0.5188679245283019,0.5213270142180095,S27D.tsv
650,700,0.5723270440251572,0.5972222222222222,0.5866666666666667,S27D.tsv
700,750,0.5882352941176471,0.5196850393700787,0.5619335347432024,S27D.tsv
750,779,0.5434782608695652,0.6582278481012658,0.5964912280701754,S27D.tsv
