begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.22099447513812154,0.16019417475728157,0.18863049095607234,S9DE.tsv
50,100,0.2599118942731278,0.329608938547486,0.29064039408866993,S9DE.tsv
100,150,0.2658959537572254,0.39285714285714285,0.29694323144104806,S9DE.tsv
150,200,0.3431952662721893,0.46153846153846156,0.36538461538461536,S9DE.tsv
200,250,0.40707964601769914,0.4375,0.4189189189189189,S9DE.tsv
250,300,0.42857142857142855,0.4567307692307692,0.4454022988505747,S9DE.tsv
300,350,0.46236559139784944,0.5348837209302325,0.49206349206349204,S9DE.tsv
350,400,0.4824120603015075,0.4921875,0.48623853211009177,S9DE.tsv
400,450,0.51931330472103,0.45394736842105265,0.4935064935064935,S9DE.tsv
450,500,0.4488888888888889,0.56875,0.4987012987012987,S9DE.tsv
500,515,0.4090909090909091,0.5116279069767442,0.45977011494252873,S9DE.tsv
