begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.2,0.03865979381443299,0.06765327695560254,SFG3.tsv
50,100,0.4235294117647059,0.15671641791044777,0.2032854209445585,SFG3.tsv
100,150,0.3333333333333333,0.228,0.247557003257329,SFG3.tsv
150,200,0.5619047619047619,0.17096774193548386,0.26987951807228916,SFG3.tsv
200,250,0.46357615894039733,0.2116279069767442,0.27710843373493976,SFG3.tsv
250,300,0.5175438596491229,0.3129251700680272,0.3700980392156863,SFG3.tsv
300,350,0.6744186046511628,0.32989690721649484,0.3642691415313225,SFG3.tsv
350,400,0.6481481481481481,0.34624697336561744,0.3811563169164882,SFG3.tsv
400,450,0.6071428571428571,0.45161290322580644,0.49171270718232046,SFG3.tsv
450,500,0.6008771929824561,0.5384615384615384,0.5849673202614379,SFG3.tsv
500,550,0.615686274509804,0.59375,0.6096866096866097,SFG3.tsv
550,600,0.6062992125984252,0.6052631578947368,0.6059782608695652,SFG3.tsv
600,650,0.625,0.5725190839694656,0.6047197640117994,SFG3.tsv
650,700,0.5882352941176471,0.6794871794871795,0.6096096096096096,SFG3.tsv
700,750,0.5133689839572193,0.6896551724137931,0.5808580858085809,SFG3.tsv
750,800,0.7157894736842105,0.5734463276836158,0.6035634743875279,SFG3.tsv
800,850,0.7857142857142857,0.601078167115903,0.6077922077922078,SFG3.tsv
850,900,0.6931818181818182,0.6273291925465838,0.6414634146341464,SFG3.tsv
900,950,0.6458333333333334,0.5811209439528023,0.5891472868217055,SFG3.tsv
950,1000,0.8070175438596491,0.58984375,0.6115992970123023,SFG3.tsv
1000,1050,0.7,0.6034816247582205,0.6087751371115173,SFG3.tsv
1050,1100,0.6548387096774193,0.6647727272727273,0.6584362139917695,SFG3.tsv
1100,1150,0.7538461538461538,0.6133122028526149,0.6264367816091954,SFG3.tsv
1150,1200,0.6666666666666666,0.6425992779783394,0.6437177280550774,SFG3.tsv
1200,1250,0.8292682926829268,0.5467032967032966,0.6180698151950719,SFG3.tsv
1250,1300,0.6962025316455697,0.5772357723577236,0.5936952714535902,SFG3.tsv
1300,1350,0.7586206896551724,0.638,0.6505376344086021,SFG3.tsv
1350,1400,0.7087378640776699,0.6421568627450981,0.6517482517482518,SFG3.tsv
1400,1450,0.8378378378378378,0.6974169741697417,0.747016706443914,SFG3.tsv
1450,1500,0.651685393258427,0.6483870967741936,0.6491228070175439,SFG3.tsv
1500,1550,0.6805555555555556,0.7,0.6882845188284519,SFG3.tsv
1550,1600,0.7386934673366834,0.6171171171171171,0.6745843230403801,SFG3.tsv
1600,1650,0.7959183673469388,0.664804469273743,0.6929824561403509,SFG3.tsv
1650,1700,0.6791044776119403,0.8026315789473685,0.7063953488372093,SFG3.tsv
1700,1750,0.6815642458100558,0.6270491803278688,0.6501182033096927,SFG3.tsv
1750,1800,0.7840909090909091,0.6626506024096386,0.7251461988304093,SFG3.tsv
1800,1850,0.7182741116751269,0.656,0.6940993788819876,SFG3.tsv
1850,1900,0.7580645161290323,0.6902173913043478,0.7212389380530974,SFG3.tsv
1900,1950,0.8136645962732919,0.6995884773662552,0.745049504950495,SFG3.tsv
1950,2000,0.7421383647798742,0.6666666666666666,0.6879432624113475,SFG3.tsv
2000,2011,0.9333333333333333,0.7866666666666666,0.8111111111111111,SFG3.tsv
