begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3879598662207358,0.08577878103837472,0.20754716981132076,SFUT.tsv
50,100,0.3991769547325103,0.2767857142857143,0.3281519861830743,SFUT.tsv
100,150,0.48,0.3592592592592593,0.39746835443037976,SFUT.tsv
150,200,0.5633187772925764,0.2896551724137931,0.41040462427745666,SFUT.tsv
200,250,0.5581395348837209,0.403954802259887,0.46895424836601307,SFUT.tsv
250,300,0.5806451612903226,0.5088967971530249,0.5482315112540193,SFUT.tsv
300,350,0.6199376947040498,0.5401459854014599,0.5831932773109244,SFUT.tsv
350,400,0.6420765027322405,0.5547169811320755,0.6053882725832013,SFUT.tsv
400,450,0.7106382978723405,0.675,0.6942528735632184,SFUT.tsv
450,500,0.6208333333333333,0.6267942583732058,0.623608017817372,SFUT.tsv
500,550,0.6936936936936937,0.6028169014084507,0.6377816291161178,SFUT.tsv
550,589,0.7018633540372671,0.6752577319587629,0.6873239436619718,SFUT.tsv
