begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.1048951048951049,0.16184971098265896,0.1360759493670886,SHHG.tsv
50,100,0.21761006289308177,0.34615384615384615,0.2290950744558992,SHHG.tsv
100,150,0.299625468164794,0.552901023890785,0.43214285714285716,SHHG.tsv
150,200,0.5818181818181818,0.5376884422110553,0.547244094488189,SHHG.tsv
200,250,0.3900709219858156,0.5,0.438,SHHG.tsv
250,300,0.5581395348837209,0.5159313725490197,0.5216931216931217,SHHG.tsv
300,350,0.6638655462184874,0.5528756957328386,0.5729483282674772,SHHG.tsv
350,400,0.6466876971608833,0.5661764705882353,0.6095076400679117,SHHG.tsv
400,450,0.5698630136986301,0.6257668711656442,0.5871212121212122,SHHG.tsv
450,500,0.6173913043478261,0.6266666666666667,0.6190476190476191,SHHG.tsv
500,550,0.5672727272727273,0.5714285714285714,0.5684754521963824,SHHG.tsv
550,600,0.6558441558441559,0.6413793103448275,0.6463963963963963,SHHG.tsv
600,650,0.7317073170731707,0.6415478615071283,0.6544502617801047,SHHG.tsv
650,700,0.6581196581196581,0.6553030303030303,0.6561679790026247,SHHG.tsv
700,750,0.717948717948718,0.6681614349775785,0.6755725190839694,SHHG.tsv
750,800,0.7391304347826086,0.6724137931034483,0.6852367688022284,SHHG.tsv
800,850,0.7127659574468085,0.6358974358974359,0.6736292428198434,SHHG.tsv
850,900,0.7263157894736842,0.7549019607843137,0.7363013698630136,SHHG.tsv
900,928,0.7815126050420168,0.66,0.7455621301775148,SHHG.tsv
