begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.02247191011235955,0.054003724394785846,0.04952076677316294,SNXL.tsv
50,100,0.15555555555555556,0.09849749582637729,0.10248447204968944,SNXL.tsv
100,150,0.4166666666666667,0.15151515151515152,0.29292929292929293,SNXL.tsv
150,200,0.44541484716157204,0.2981651376146789,0.34887218045112783,SNXL.tsv
200,250,0.527027027027027,0.34146341463414637,0.45109780439121755,SNXL.tsv
250,300,0.5789473684210527,0.41935483870967744,0.45454545454545453,SNXL.tsv
300,350,0.5172413793103449,0.46863468634686345,0.49105367793240556,SNXL.tsv
350,400,0.4262295081967213,0.44668008048289737,0.4444444444444444,SNXL.tsv
400,450,0.6204379562043796,0.5266666666666666,0.5485519591141397,SNXL.tsv
450,500,0.7222222222222222,0.5112781954887218,0.5364238410596026,SNXL.tsv
500,550,0.5102040816326531,0.563963963963964,0.5596026490066225,SNXL.tsv
550,600,0.6236323851203501,0.452,0.562942008486563,SNXL.tsv
600,650,0.6484018264840182,0.5179856115107914,0.5628930817610063,SNXL.tsv
650,700,0.6689655172413793,0.5390625,0.608058608058608,SNXL.tsv
700,750,0.6507936507936508,0.5050505050505051,0.5402298850574713,SNXL.tsv
750,800,0.6388888888888888,0.5406593406593406,0.568503937007874,SNXL.tsv
800,850,0.7428571428571429,0.5504087193460491,0.6125461254612546,SNXL.tsv
850,900,0.6839080459770115,0.5268817204301075,0.58719646799117,SNXL.tsv
900,943,0.8695652173913043,0.5855263157894737,0.6055045871559633,SNXL.tsv
