begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.1496437054631829,0.22699386503067484,0.17123287671232876,SVXP.tsv
50,100,0.18491921005385997,0.44680851063829785,0.25100671140939596,SVXP.tsv
100,150,0.32222222222222224,0.3682008368200837,0.34056761268781305,SVXP.tsv
150,200,0.37142857142857144,0.48169014084507045,0.43666666666666665,SVXP.tsv
200,250,0.3803786574870912,0.5458715596330275,0.425531914893617,SVXP.tsv
250,300,0.4407158836689038,0.5555555555555556,0.4791666666666667,SVXP.tsv
300,350,0.5261194029850746,0.5331010452961672,0.528554070473876,SVXP.tsv
350,400,0.48563218390804597,0.5438066465256798,0.5139911634756995,SVXP.tsv
400,450,0.4647058823529412,0.55859375,0.5050335570469798,SVXP.tsv
450,500,0.5318352059925093,0.6210268948655256,0.5705196182396607,SVXP.tsv
500,550,0.5680119581464873,0.6470588235294118,0.5908607863974495,SVXP.tsv
550,600,0.6016260162601627,0.6448598130841121,0.6147308781869688,SVXP.tsv
600,633,0.6047904191616766,0.625,0.611969111969112,SVXP.tsv
