begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.07209302325581396,0.3220338983050847,0.1259124087591241,SXK5.tsv
50,100,0.22905027932960895,0.37320574162679426,0.30670103092783507,SXK5.tsv
100,150,0.2898550724637681,0.2878787878787879,0.2883895131086142,SXK5.tsv
150,200,0.5,0.4263157894736842,0.4533333333333333,SXK5.tsv
200,250,0.35096153846153844,0.5370370370370371,0.43243243243243246,SXK5.tsv
250,300,0.45454545454545453,0.5652173913043478,0.5041782729805014,SXK5.tsv
300,350,0.6142857142857143,0.4489795918367347,0.4924812030075188,SXK5.tsv
350,400,0.6133333333333333,0.4266666666666667,0.5013333333333333,SXK5.tsv
400,450,0.5853658536585366,0.5054945054945055,0.5478036175710594,SXK5.tsv
450,500,0.6023622047244095,0.574585635359116,0.5908045977011495,SXK5.tsv
500,550,0.551219512195122,0.663594470046083,0.6090047393364929,SXK5.tsv
550,600,0.5345911949685535,0.6289308176100629,0.5660377358490566,SXK5.tsv
600,650,0.5400593471810089,0.5857988165680473,0.5553359683794467,SXK5.tsv
650,700,0.5844155844155844,0.5616438356164384,0.5755968169761273,SXK5.tsv
700,750,0.6163793103448276,0.53125,0.5816326530612245,SXK5.tsv
750,800,0.6022099447513812,0.5416666666666666,0.5692695214105793,SXK5.tsv
800,850,0.6869565217391305,0.5568181818181818,0.6082474226804123,SXK5.tsv
850,900,0.5478260869565217,0.4482758620689655,0.49230769230769234,SXK5.tsv
900,950,0.6853932584269663,0.46794871794871795,0.5469387755102041,SXK5.tsv
950,1000,0.6956521739130435,0.42727272727272725,0.5307262569832403,SXK5.tsv
1000,1050,0.6698113207547169,0.5955555555555555,0.6193353474320241,SXK5.tsv
1050,1100,0.8064516129032258,0.4972067039106145,0.5767634854771784,SXK5.tsv
1100,1150,0.7311827956989247,0.6212121212121212,0.6563573883161512,SXK5.tsv
1150,1200,0.7241379310344828,0.625615763546798,0.6475095785440613,SXK5.tsv
1200,1250,0.7466666666666667,0.6832579185520362,0.6993243243243243,SXK5.tsv
1250,1300,0.8260869565217391,0.5627376425855514,0.6174698795180723,SXK5.tsv
1300,1350,0.8148148148148148,0.6113744075829384,0.6907514450867052,SXK5.tsv
1350,1400,0.717391304347826,0.6626506024096386,0.6821705426356589,SXK5.tsv
1400,1450,0.6270491803278688,0.7294117647058823,0.6690821256038647,SXK5.tsv
1450,1460,0.7558139534883721,0.6842105263157895,0.7272727272727273,SXK5.tsv
