begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.15934065934065933,0.15306122448979592,0.15608465608465608,SY5E.tsv
50,100,0.23140495867768596,0.25555555555555554,0.24170616113744076,SY5E.tsv
100,150,0.3617021276595745,0.3031674208144796,0.33007334963325186,SY5E.tsv
150,200,0.3442622950819672,0.3309608540925267,0.3349875930521092,SY5E.tsv
200,250,0.4088888888888889,0.37037037037037035,0.3878787878787879,SY5E.tsv
250,300,0.32989690721649484,0.4539877300613497,0.3744493392070485,SY5E.tsv
300,350,0.4314516129032258,0.45614035087719296,0.43922651933701656,SY5E.tsv
350,400,0.3076923076923077,0.47540983606557374,0.3888888888888889,SY5E.tsv
400,450,0.3575418994413408,0.5256410256410257,0.45278450363196127,SY5E.tsv
450,500,0.4365781710914454,0.5211267605633803,0.4692028985507246,SY5E.tsv
500,550,0.4759825327510917,0.6744186046511628,0.5610972568578554,SY5E.tsv
550,600,0.5049019607843137,0.5221238938053098,0.513953488372093,SY5E.tsv
600,650,0.5917602996254682,0.5140562248995983,0.5542635658914729,SY5E.tsv
650,700,0.5458937198067633,0.5491071428571429,0.5475638051044084,SY5E.tsv
700,750,0.5765765765765766,0.5590277777777778,0.5639097744360902,SY5E.tsv
750,800,0.5955056179775281,0.5668449197860963,0.5808219178082191,SY5E.tsv
800,850,0.6148148148148148,0.5367965367965368,0.5655737704918032,SY5E.tsv
850,900,0.5,0.5792207792207792,0.5517826825127334,SY5E.tsv
900,950,0.6305084745762712,0.6200873362445415,0.6259541984732825,SY5E.tsv
950,1000,0.6497695852534562,0.6188118811881188,0.6348448687350835,SY5E.tsv
1000,1050,0.5976331360946746,0.5740740740740741,0.5934959349593496,SY5E.tsv
1050,1100,0.5683060109289617,0.6457399103139013,0.6108374384236454,SY5E.tsv
1100,1150,0.5071428571428571,0.6358974358974359,0.582089552238806,SY5E.tsv
1150,1200,0.6559633027522935,0.649746192893401,0.653012048192771,SY5E.tsv
1200,1250,0.5534883720930233,0.72,0.6282051282051282,SY5E.tsv
1250,1300,0.6018099547511312,0.6984126984126984,0.6368876080691642,SY5E.tsv
1300,1350,0.6378378378378379,0.6518987341772152,0.6443148688046647,SY5E.tsv
1350,1375,0.6223776223776224,0.6610169491525424,0.6336633663366337,SY5E.tsv
