begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3388888888888889,0.58,0.46578947368421053,S6SH.tsv
50,100,0.551948051948052,0.5977011494252874,0.5762195121951219,S6SH.tsv
100,150,0.6858407079646017,0.7612903225806451,0.7165354330708661,S6SH.tsv
150,200,0.7058823529411765,0.726027397260274,0.7167487684729064,S6SH.tsv
200,250,0.8248175182481752,0.782258064516129,0.7974025974025974,S6SH.tsv
250,300,0.7574257425742574,0.8367346938775511,0.8008948545861297,S6SH.tsv
300,350,0.8012820512820513,0.7017543859649122,0.7421875,S6SH.tsv
350,400,0.7878787878787878,0.797979797979798,0.793939393939394,S6SH.tsv
400,450,0.8181818181818182,0.7910447761194029,0.8004866180048662,S6SH.tsv
450,500,0.8943089430894309,0.7772277227722773,0.8215384615384616,S6SH.tsv
500,550,0.8,0.7328519855595668,0.7542997542997543,S6SH.tsv
550,600,0.8198757763975155,0.8,0.8088642659279779,S6SH.tsv
600,650,0.8333333333333334,0.8293515358361775,0.8306264501160093,S6SH.tsv
650,700,0.8125,0.8852459016393442,0.8582474226804123,S6SH.tsv
700,750,0.8392857142857143,0.8663793103448276,0.855,S6SH.tsv
750,800,0.8631578947368421,0.8617363344051447,0.8620689655172413,S6SH.tsv
800,850,0.7905982905982906,0.8291457286432161,0.8083140877598153,S6SH.tsv
850,900,0.8297872340425532,0.8649789029535865,0.8518518518518519,S6SH.tsv
900,950,0.8516483516483516,0.8476190476190476,0.8494897959183674,S6SH.tsv
950,1000,0.8731343283582089,0.8793774319066148,0.8772378516624041,S6SH.tsv
1000,1050,0.8104575163398693,0.8874458874458875,0.8567708333333334,S6SH.tsv
1050,1100,0.8947368421052632,0.8362068965517241,0.8554913294797688,S6SH.tsv
1100,1150,0.922077922077922,0.8627450980392157,0.8850855745721271,S6SH.tsv
1150,1200,0.9024390243902439,0.8978102189781022,0.8992443324937027,S6SH.tsv
1200,1250,0.9142857142857143,0.8904593639575972,0.8969072164948454,S6SH.tsv
1250,1300,0.905982905982906,0.8683127572016461,0.8805555555555555,S6SH.tsv
1300,1350,0.9347826086956522,0.8743718592964824,0.8991097922848664,S6SH.tsv
1350,1400,0.8838383838383839,0.888235294117647,0.8858695652173914,S6SH.tsv
1400,1450,0.9375,0.8565891472868217,0.883419689119171,S6SH.tsv
1450,1500,0.9204545454545454,0.8598484848484849,0.875,S6SH.tsv
1500,1550,0.86875,0.8880597014925373,0.8775510204081632,S6SH.tsv
1550,1600,0.8655913978494624,0.8780487804878049,0.8705501618122977,S6SH.tsv
1600,1650,0.8571428571428571,0.898989898989899,0.8761467889908257,S6SH.tsv
1650,1658,0.9512195121951219,0.9333333333333333,0.9464285714285714,S6SH.tsv
