begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.5483870967741935,0.29227557411273486,0.3339160839160839,S8XE.tsv
50,100,0.6666666666666666,0.4583333333333333,0.46942800788954636,S8XE.tsv
100,150,0.782608695652174,0.5711297071129707,0.6052631578947368,S8XE.tsv
150,200,0.7938931297709924,0.6520787746170679,0.6836734693877551,S8XE.tsv
200,250,0.8520710059171598,0.6380597014925373,0.7208237986270023,S8XE.tsv
250,300,0.8633093525179856,0.6802575107296137,0.7223140495867768,S8XE.tsv
300,350,0.8682170542635659,0.7085714285714285,0.7515657620041754,S8XE.tsv
350,400,0.8264840182648402,0.8311688311688312,0.8277027027027027,S8XE.tsv
400,450,0.8201754385964912,0.7371134020618557,0.7819905213270142,S8XE.tsv
450,500,0.8815028901734104,0.8495575221238938,0.8736383442265795,S8XE.tsv
500,550,0.8319088319088319,0.8476190476190476,0.8355263157894737,S8XE.tsv
550,600,0.9175257731958762,0.8100558659217877,0.8478260869565217,S8XE.tsv
600,629,0.8495575221238938,0.8181818181818182,0.8314606741573034,S8XE.tsv
