begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.27844311377245506,0.5588235294117647,0.3595744680851064,SAHB.tsv
50,100,0.48444444444444446,0.7063492063492064,0.5641025641025641,SAHB.tsv
100,150,0.6343283582089553,0.697986577181208,0.6678445229681979,SAHB.tsv
150,200,0.6713615023474179,0.7835497835497836,0.7297297297297297,SAHB.tsv
200,250,0.7254098360655737,0.7935222672064778,0.7596741344195519,SAHB.tsv
250,300,0.6504854368932039,0.7777777777777778,0.7169373549883991,SAHB.tsv
300,350,0.7651515151515151,0.8023952095808383,0.7795823665893271,SAHB.tsv
350,400,0.7522123893805309,0.75,0.75177304964539,SAHB.tsv
400,450,0.7649122807017544,0.7641509433962265,0.7647058823529411,SAHB.tsv
450,500,0.7756563245823389,0.8176100628930818,0.78719723183391,SAHB.tsv
500,550,0.8078291814946619,0.7927461139896373,0.8016877637130801,SAHB.tsv
550,600,0.8068965517241379,0.8942307692307693,0.8299492385786802,SAHB.tsv
600,650,0.7566137566137566,0.805668016194332,0.7844036697247706,SAHB.tsv
650,700,0.8038585209003215,0.8106312292358804,0.8071895424836601,SAHB.tsv
700,750,0.7923976608187134,0.8169934640522876,0.8,SAHB.tsv
750,768,0.776,0.9166666666666666,0.8274111675126904,SAHB.tsv
