speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0519,291,161,138,0.5532646048109966,S0522,40,17,16,0.425,S0520,250,85,78,0.34,581,263,0.45266781411359724,232,0,50,S2QU.tsv
S0519,211,158,130,0.7488151658767772,S0522,299,191,157,0.6387959866220736,S0520,153,93,77,0.6078431372549019,663,442,0.6666666666666666,364,50,100,S2QU.tsv
S0519,95,64,54,0.6736842105263158,S0522,205,138,113,0.6731707317073171,S0520,177,116,95,0.655367231638418,477,318,0.6666666666666666,262,100,150,S2QU.tsv
S0519,180,142,103,0.7888888888888889,S0522,279,213,157,0.7634408602150538,S0520,97,73,61,0.7525773195876289,556,428,0.7697841726618705,321,150,200,S2QU.tsv
S0519,131,94,80,0.7175572519083969,S0522,143,104,82,0.7272727272727273,S0520,236,174,138,0.7372881355932204,510,372,0.7294117647058823,300,200,250,S2QU.tsv
S0519,124,109,78,0.8790322580645161,S0522,64,51,42,0.796875,S0520,385,288,232,0.7480519480519481,573,448,0.7818499127399651,352,250,300,S2QU.tsv
S0519,211,177,141,0.8388625592417062,S0522,103,80,61,0.7766990291262136,S0520,195,145,107,0.7435897435897436,509,402,0.7897838899803536,309,300,350,S2QU.tsv
S0519,0,0,0,0.0,S0522,311,240,176,0.7717041800643086,S0520,237,187,135,0.7890295358649789,548,427,0.7791970802919708,311,350,400,S2QU.tsv
S0519,0,0,0,0.0,S0522,241,208,150,0.8630705394190872,S0520,375,324,221,0.864,616,532,0.8636363636363636,371,400,450,S2QU.tsv
S0519,0,0,0,0.0,S0522,151,126,92,0.8344370860927153,S0520,429,365,255,0.8508158508158508,580,491,0.846551724137931,347,450,500,S2QU.tsv
S0519,25,21,13,0.84,S0522,140,117,93,0.8357142857142857,S0520,500,413,300,0.826,665,551,0.8285714285714286,406,500,550,S2QU.tsv
S0519,210,186,133,0.8857142857142857,S0522,48,39,28,0.8125,S0520,146,116,88,0.7945205479452054,404,341,0.844059405940594,249,550,600,S2QU.tsv
S0519,309,280,193,0.9061488673139159,S0522,29,19,14,0.6551724137931034,S0520,185,164,124,0.8864864864864865,523,463,0.8852772466539197,331,600,650,S2QU.tsv
S0519,53,43,26,0.8113207547169812,S0522,19,14,10,0.7368421052631579,S0520,84,59,38,0.7023809523809523,156,116,0.7435897435897436,74,650,674,S2QU.tsv
