speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0018,49,9,9,0.1836734693877551,S0019,160,45,42,0.28125,S0017,42,17,16,0.40476190476190477,251,71,0.28286852589641437,67,0,50,S575.tsv
S0018,59,42,32,0.711864406779661,S0019,232,75,66,0.3232758620689655,S0017,27,12,11,0.4444444444444444,318,129,0.4056603773584906,109,50,100,S575.tsv
S0018,80,56,46,0.7,S0019,161,79,74,0.4906832298136646,S0017,43,25,23,0.5813953488372093,284,160,0.5633802816901409,143,100,150,S575.tsv
S0018,166,119,92,0.7168674698795181,S0019,81,49,41,0.6049382716049383,S0017,145,98,83,0.6758620689655173,392,266,0.6785714285714286,216,150,200,S575.tsv
S0018,140,95,80,0.6785714285714286,S0019,135,98,84,0.725925925925926,S0017,86,54,45,0.627906976744186,361,247,0.6842105263157895,209,200,250,S575.tsv
S0018,98,75,60,0.7653061224489796,S0019,120,77,67,0.6416666666666667,S0017,56,44,40,0.7857142857142857,274,196,0.7153284671532847,167,250,300,S575.tsv
S0018,226,172,152,0.7610619469026548,S0019,55,39,36,0.7090909090909091,S0017,38,29,26,0.7631578947368421,319,240,0.7523510971786834,214,300,350,S575.tsv
S0018,180,140,114,0.7777777777777778,S0019,96,69,56,0.71875,S0017,93,75,56,0.8064516129032258,369,284,0.7696476964769647,226,350,400,S575.tsv
S0018,164,128,105,0.7804878048780488,S0019,27,16,15,0.5925925925925926,S0017,202,161,121,0.7970297029702971,393,305,0.7760814249363868,241,400,450,S575.tsv
S0018,152,115,91,0.756578947368421,S0019,10,5,5,0.5,S0017,230,180,148,0.782608695652174,392,300,0.7653061224489796,244,450,500,S575.tsv
S0018,68,52,40,0.7647058823529411,S0019,39,25,22,0.6410256410256411,S0017,209,180,141,0.861244019138756,316,257,0.8132911392405063,203,500,550,S575.tsv
S0018,82,67,54,0.8170731707317073,S0019,134,94,74,0.7014925373134329,S0017,77,70,50,0.9090909090909091,293,231,0.78839590443686,178,550,600,S575.tsv
S0018,61,48,40,0.7868852459016393,S0019,43,34,29,0.7906976744186046,S0017,117,84,71,0.717948717948718,221,166,0.751131221719457,140,600,650,S575.tsv
S0018,267,221,169,0.8277153558052435,S0019,19,16,15,0.8421052631578947,S0017,49,42,33,0.8571428571428571,335,279,0.8328358208955224,217,650,700,S575.tsv
S0018,189,172,133,0.91005291005291,S0019,12,9,9,0.75,S0017,25,20,19,0.8,226,201,0.8893805309734514,161,700,750,S575.tsv
S0018,165,137,111,0.8303030303030303,S0019,37,28,25,0.7567567567567568,S0017,41,34,25,0.8292682926829268,243,199,0.8189300411522634,161,750,800,S575.tsv
S0018,108,99,78,0.9166666666666666,S0019,82,59,45,0.7195121951219512,S0017,47,40,31,0.851063829787234,237,198,0.8354430379746836,154,800,850,S575.tsv
S0018,182,149,118,0.8186813186813187,S0019,20,20,13,1.0,S0017,110,90,69,0.8181818181818182,312,259,0.8301282051282052,200,850,900,S575.tsv
S0018,187,161,117,0.8609625668449198,S0019,48,46,37,0.9583333333333334,S0017,86,78,65,0.9069767441860465,321,285,0.8878504672897196,219,900,950,S575.tsv
S0018,73,66,51,0.9041095890410958,S0019,44,40,33,0.9090909090909091,S0017,82,76,62,0.926829268292683,199,182,0.914572864321608,146,950,1000,S575.tsv
S0018,27,16,15,0.5925925925925926,S0019,148,134,102,0.9054054054054054,S0017,195,163,121,0.8358974358974359,370,313,0.845945945945946,238,1000,1050,S575.tsv
S0018,63,54,39,0.8571428571428571,S0019,133,112,87,0.8421052631578947,S0017,232,200,144,0.8620689655172413,428,366,0.8551401869158879,270,1050,1100,S575.tsv
S0018,61,50,38,0.819672131147541,S0019,193,178,131,0.9222797927461139,S0017,80,67,49,0.8375,334,295,0.8832335329341318,218,1100,1150,S575.tsv
S0018,117,100,78,0.8547008547008547,S0019,56,44,38,0.7857142857142857,S0017,47,42,33,0.8936170212765957,220,186,0.8454545454545455,149,1150,1200,S575.tsv
S0018,168,126,92,0.75,S0019,148,125,75,0.8445945945945946,S0017,12,11,9,0.9166666666666666,328,262,0.7987804878048781,176,1200,1250,S575.tsv
S0018,126,114,83,0.9047619047619048,S0019,140,122,77,0.8714285714285714,S0017,34,32,24,0.9411764705882353,300,268,0.8933333333333333,184,1250,1300,S575.tsv
S0018,61,58,43,0.9508196721311475,S0019,273,222,167,0.8131868131868132,S0017,39,30,27,0.7692307692307693,373,310,0.8310991957104558,237,1300,1350,S575.tsv
S0018,69,51,42,0.7391304347826086,S0019,374,311,237,0.8315508021390374,S0017,42,36,24,0.8571428571428571,485,398,0.8206185567010309,303,1350,1400,S575.tsv
S0018,163,146,108,0.8957055214723927,S0019,72,68,48,0.9444444444444444,S0017,31,26,19,0.8387096774193549,266,240,0.9022556390977443,175,1400,1450,S575.tsv
S0018,11,11,7,1.0,S0019,3,2,2,0.6666666666666666,S0017,0,0,0,0.0,14,13,0.9285714285714286,9,1450,1452,S575.tsv
