speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0588,111,33,33,0.2972972972972973,S0589,77,21,21,0.2727272727272727,S0613,67,25,25,0.373134328358209,255,79,0.30980392156862746,79,0,50,SPTA.tsv
S0588,125,89,77,0.712,S0589,57,27,26,0.47368421052631576,S0613,143,101,90,0.7062937062937062,325,217,0.6676923076923077,193,50,100,SPTA.tsv
S0588,115,81,71,0.7043478260869566,S0589,98,60,55,0.6122448979591837,S0613,133,95,77,0.7142857142857143,346,236,0.6820809248554913,203,100,150,SPTA.tsv
S0588,82,61,51,0.7439024390243902,S0589,145,85,74,0.5862068965517241,S0613,123,85,68,0.6910569105691057,350,231,0.66,193,150,200,SPTA.tsv
S0588,20,15,12,0.75,S0589,53,37,34,0.6981132075471698,S0613,178,141,123,0.7921348314606742,251,193,0.7689243027888446,169,200,250,SPTA.tsv
S0588,117,91,80,0.7777777777777778,S0589,90,66,59,0.7333333333333333,S0613,175,124,109,0.7085714285714285,382,281,0.7356020942408377,248,250,300,SPTA.tsv
S0588,124,101,85,0.8145161290322581,S0589,160,111,95,0.69375,S0613,52,36,31,0.6923076923076923,336,248,0.7380952380952381,211,300,350,SPTA.tsv
S0588,72,56,47,0.7777777777777778,S0589,73,51,45,0.6986301369863014,S0613,173,132,112,0.7630057803468208,318,239,0.7515723270440252,204,350,400,SPTA.tsv
S0588,125,97,75,0.776,S0589,76,50,43,0.6578947368421053,S0613,88,66,55,0.75,289,213,0.7370242214532872,173,400,450,SPTA.tsv
S0588,162,132,100,0.8148148148148148,S0589,134,99,81,0.7388059701492538,S0613,83,71,54,0.8554216867469879,379,302,0.7968337730870713,235,450,500,SPTA.tsv
S0588,170,133,101,0.7823529411764706,S0589,117,88,63,0.7521367521367521,S0613,76,61,49,0.8026315789473685,363,282,0.7768595041322314,213,500,550,SPTA.tsv
S0588,135,113,89,0.837037037037037,S0589,132,109,81,0.8257575757575758,S0613,81,62,44,0.7654320987654321,348,284,0.8160919540229885,214,550,600,SPTA.tsv
S0588,58,51,41,0.8793103448275862,S0589,216,173,138,0.8009259259259259,S0613,65,52,39,0.8,339,276,0.8141592920353983,218,600,650,SPTA.tsv
S0588,112,92,71,0.8214285714285714,S0589,196,155,118,0.7908163265306123,S0613,91,71,55,0.7802197802197802,399,318,0.7969924812030075,244,650,700,SPTA.tsv
S0588,73,66,46,0.9041095890410958,S0589,391,319,244,0.8158567774936062,S0613,85,74,55,0.8705882352941177,549,459,0.8360655737704918,345,700,750,SPTA.tsv
S0588,92,72,56,0.782608695652174,S0589,173,135,104,0.7803468208092486,S0613,77,67,58,0.8701298701298701,342,274,0.8011695906432749,218,750,800,SPTA.tsv
S0588,98,88,64,0.8979591836734694,S0589,233,195,139,0.8369098712446352,S0613,55,45,34,0.8181818181818182,386,328,0.8497409326424871,237,800,850,SPTA.tsv
S0588,135,113,76,0.837037037037037,S0589,124,94,62,0.7580645161290323,S0613,45,34,25,0.7555555555555555,304,241,0.7927631578947368,163,850,900,SPTA.tsv
S0588,126,110,82,0.873015873015873,S0589,155,139,98,0.896774193548387,S0613,46,36,26,0.782608695652174,327,285,0.8715596330275229,206,900,950,SPTA.tsv
S0588,166,146,98,0.8795180722891566,S0589,62,52,40,0.8387096774193549,S0613,250,216,165,0.864,478,414,0.8661087866108786,303,950,1000,SPTA.tsv
S0588,152,122,92,0.8026315789473685,S0589,101,73,52,0.7227722772277227,S0613,104,87,65,0.8365384615384616,357,282,0.7899159663865546,209,1000,1050,SPTA.tsv
S0588,152,130,96,0.8552631578947368,S0589,120,106,77,0.8833333333333333,S0613,103,88,64,0.8543689320388349,375,324,0.864,237,1050,1100,SPTA.tsv
S0588,195,168,114,0.8615384615384616,S0589,169,132,95,0.7810650887573964,S0613,54,50,34,0.9259259259259259,418,350,0.8373205741626795,243,1100,1150,SPTA.tsv
S0588,164,147,102,0.8963414634146342,S0589,223,179,126,0.8026905829596412,S0613,0,0,0,0.0,387,326,0.8423772609819121,228,1150,1200,SPTA.tsv
S0588,131,114,76,0.8702290076335878,S0589,116,97,75,0.8362068965517241,S0613,0,0,0,0.0,247,211,0.854251012145749,151,1200,1239,SPTA.tsv
