speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0588,394,174,161,0.4416243654822335,S0613,160,62,57,0.3875,S0589,0,0,0,0.0,554,236,0.4259927797833935,218,0,50,SRU7.tsv
S0588,258,170,150,0.6589147286821705,S0613,249,160,132,0.642570281124498,S0589,0,0,0,0.0,507,330,0.650887573964497,282,50,100,SRU7.tsv
S0588,287,198,177,0.6898954703832753,S0613,129,91,77,0.7054263565891473,S0589,0,0,0,0.0,416,289,0.6947115384615384,254,100,150,SRU7.tsv
S0588,317,237,201,0.7476340694006309,S0613,207,169,137,0.8164251207729468,S0589,0,0,0,0.0,524,406,0.7748091603053435,338,150,200,SRU7.tsv
S0588,144,112,93,0.7777777777777778,S0613,248,187,153,0.7540322580645161,S0589,0,0,0,0.0,392,299,0.7627551020408163,246,200,250,SRU7.tsv
S0588,221,183,141,0.8280542986425339,S0613,147,107,83,0.7278911564625851,S0589,0,0,0,0.0,368,290,0.7880434782608695,224,250,300,SRU7.tsv
S0588,179,149,112,0.8324022346368715,S0613,281,217,167,0.7722419928825622,S0589,0,0,0,0.0,460,366,0.7956521739130434,279,300,350,SRU7.tsv
S0588,175,146,107,0.8342857142857143,S0613,275,223,166,0.8109090909090909,S0589,0,0,0,0.0,450,369,0.82,273,350,400,SRU7.tsv
S0588,309,272,202,0.8802588996763754,S0613,256,224,163,0.875,S0589,5,3,2,0.6,570,499,0.875438596491228,367,400,450,SRU7.tsv
S0588,113,91,72,0.8053097345132744,S0613,52,45,36,0.8653846153846154,S0589,78,65,52,0.8333333333333334,243,201,0.8271604938271605,160,450,500,SRU7.tsv
S0588,102,83,70,0.8137254901960784,S0613,217,178,132,0.8202764976958525,S0589,22,15,10,0.6818181818181818,341,276,0.8093841642228738,212,500,550,SRU7.tsv
S0588,130,113,86,0.8692307692307693,S0613,238,196,138,0.8235294117647058,S0589,125,103,79,0.824,493,412,0.8356997971602435,303,550,600,SRU7.tsv
S0588,56,54,36,0.9642857142857143,S0613,70,58,44,0.8285714285714286,S0589,254,218,152,0.8582677165354331,380,330,0.868421052631579,232,600,650,SRU7.tsv
S0588,202,171,127,0.8465346534653465,S0613,3,3,2,1.0,S0589,150,118,82,0.7866666666666666,355,292,0.8225352112676056,211,650,700,SRU7.tsv
S0588,190,138,111,0.7263157894736842,S0613,0,0,0,0.0,S0589,128,104,81,0.8125,318,242,0.7610062893081762,192,700,750,SRU7.tsv
S0588,223,200,146,0.8968609865470852,S0613,0,0,0,0.0,S0589,165,142,97,0.8606060606060606,388,342,0.8814432989690721,243,750,800,SRU7.tsv
S0588,204,169,120,0.8284313725490197,S0613,0,0,0,0.0,S0589,143,128,89,0.8951048951048951,347,297,0.8559077809798271,209,800,850,SRU7.tsv
S0588,288,237,182,0.8229166666666666,S0613,0,0,0,0.0,S0589,157,124,94,0.7898089171974523,445,361,0.8112359550561797,276,850,900,SRU7.tsv
S0588,145,128,97,0.8827586206896552,S0613,0,0,0,0.0,S0589,196,154,107,0.7857142857142857,341,282,0.8269794721407625,204,900,950,SRU7.tsv
S0588,208,174,133,0.8365384615384616,S0613,0,0,0,0.0,S0589,226,174,128,0.7699115044247787,434,348,0.8018433179723502,261,950,1000,SRU7.tsv
S0588,218,194,138,0.8899082568807339,S0613,0,0,0,0.0,S0589,149,124,92,0.8322147651006712,367,318,0.8664850136239782,230,1000,1050,SRU7.tsv
S0588,9,7,5,0.7777777777777778,S0613,0,0,0,0.0,S0589,15,14,12,0.9333333333333333,24,21,0.875,17,1050,1058,SRU7.tsv
