speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0004,71,9,6,0.1267605633802817,S0146,249,32,23,0.1285140562248996,S0018,75,7,5,0.09333333333333334,395,48,0.12151898734177215,34,0,50,S4L9.tsv
S0004,225,40,30,0.17777777777777778,S0146,40,12,10,0.3,S0018,105,20,11,0.19047619047619047,370,72,0.1945945945945946,51,50,100,S4L9.tsv
S0004,408,130,88,0.31862745098039214,S0146,3,0,0,0.0,S0018,130,38,26,0.2923076923076923,541,168,0.31053604436229204,114,100,150,S4L9.tsv
S0004,222,71,48,0.31981981981981983,S0146,230,89,63,0.3869565217391304,S0018,109,40,26,0.3669724770642202,561,200,0.35650623885918004,137,150,200,S4L9.tsv
S0004,86,45,26,0.5232558139534884,S0146,172,79,53,0.45930232558139533,S0018,198,90,66,0.45454545454545453,456,214,0.4692982456140351,145,200,250,S4L9.tsv
S0004,144,92,54,0.6388888888888888,S0146,177,93,58,0.5254237288135594,S0018,307,118,73,0.38436482084690554,628,303,0.482484076433121,185,250,300,S4L9.tsv
S0004,138,71,49,0.5144927536231884,S0146,737,362,236,0.49118046132971505,S0018,283,155,104,0.5477031802120141,1158,588,0.5077720207253886,389,300,350,S4L9.tsv
S0004,242,136,84,0.5619834710743802,S0146,148,84,55,0.5675675675675675,S0018,133,56,39,0.42105263157894735,523,276,0.5277246653919694,178,350,400,S4L9.tsv
S0004,190,103,63,0.5421052631578948,S0146,41,32,20,0.7804878048780488,S0018,288,138,95,0.4791666666666667,519,273,0.5260115606936416,178,400,450,S4L9.tsv
S0004,38,17,13,0.4473684210526316,S0146,563,313,206,0.5559502664298401,S0018,192,122,80,0.6354166666666666,793,452,0.5699873896595208,299,450,500,S4L9.tsv
S0004,165,107,66,0.6484848484848484,S0146,106,62,39,0.5849056603773585,S0018,188,103,66,0.5478723404255319,459,272,0.5925925925925926,171,500,550,S4L9.tsv
S0004,89,59,35,0.6629213483146067,S0146,160,102,62,0.6375,S0018,317,215,138,0.6782334384858044,566,376,0.6643109540636042,235,550,600,S4L9.tsv
S0004,0,0,0,0.0,S0146,554,382,238,0.6895306859205776,S0018,176,104,68,0.5909090909090909,730,486,0.6657534246575343,306,600,650,S4L9.tsv
S0004,0,0,0,0.0,S0146,1203,829,494,0.6891105569409809,S0018,177,108,72,0.6101694915254238,1380,937,0.6789855072463769,566,650,700,S4L9.tsv
S0004,0,0,0,0.0,S0146,821,549,333,0.6686967113276492,S0018,143,89,58,0.6223776223776224,964,638,0.6618257261410788,391,700,750,S4L9.tsv
S0004,0,0,0,0.0,S0146,499,313,193,0.627254509018036,S0018,239,159,95,0.6652719665271967,738,472,0.6395663956639567,288,750,800,S4L9.tsv
S0004,0,0,0,0.0,S0146,250,156,99,0.624,S0018,359,246,145,0.6852367688022284,609,402,0.6600985221674877,244,800,847,S4L9.tsv
