speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0041,81,16,13,0.19753086419753085,S0084,139,12,10,0.08633093525179857,S0046,106,12,9,0.11320754716981132,326,40,0.12269938650306748,32,0,50,S7GJ.tsv
S0041,127,34,27,0.2677165354330709,S0084,128,19,14,0.1484375,S0046,113,21,14,0.18584070796460178,368,74,0.20108695652173914,55,50,100,S7GJ.tsv
S0041,96,29,22,0.3020833333333333,S0084,197,42,29,0.2131979695431472,S0046,45,14,11,0.3111111111111111,338,85,0.2514792899408284,62,100,150,S7GJ.tsv
S0041,114,60,33,0.5263157894736842,S0084,161,53,41,0.32919254658385094,S0046,147,32,23,0.21768707482993196,422,145,0.34360189573459715,97,150,200,S7GJ.tsv
S0041,44,15,10,0.3409090909090909,S0084,123,26,17,0.21138211382113822,S0046,117,46,29,0.39316239316239315,284,87,0.30633802816901406,56,200,250,S7GJ.tsv
S0041,46,25,17,0.5434782608695652,S0084,174,68,48,0.39080459770114945,S0046,119,38,29,0.31932773109243695,339,131,0.3864306784660767,94,250,300,S7GJ.tsv
S0041,0,0,0,0.0,S0084,163,61,45,0.37423312883435583,S0046,151,43,32,0.2847682119205298,314,104,0.33121019108280253,77,300,350,S7GJ.tsv
S0041,47,25,20,0.5319148936170213,S0084,177,55,42,0.3107344632768362,S0046,99,32,21,0.32323232323232326,323,112,0.34674922600619196,83,350,400,S7GJ.tsv
S0041,163,74,51,0.4539877300613497,S0084,190,65,46,0.34210526315789475,S0046,24,6,4,0.25,377,145,0.38461538461538464,101,400,450,S7GJ.tsv
S0041,240,132,91,0.55,S0084,49,25,20,0.5102040816326531,S0046,24,6,4,0.25,313,163,0.5207667731629393,115,450,500,S7GJ.tsv
S0041,155,91,60,0.5870967741935483,S0084,568,288,175,0.5070422535211268,S0046,42,26,18,0.6190476190476191,765,405,0.5294117647058824,253,500,550,S7GJ.tsv
S0041,40,30,22,0.75,S0084,371,201,116,0.5417789757412399,S0046,59,33,21,0.559322033898305,470,264,0.5617021276595745,159,550,600,S7GJ.tsv
S0041,307,201,119,0.6547231270358306,S0084,125,47,32,0.376,S0046,42,17,12,0.40476190476190477,474,265,0.5590717299578059,163,600,650,S7GJ.tsv
S0041,198,119,74,0.601010101010101,S0084,327,184,108,0.5626911314984709,S0046,53,31,17,0.5849056603773585,578,334,0.5778546712802768,199,650,700,S7GJ.tsv
S0041,116,66,43,0.5689655172413793,S0084,130,67,43,0.5153846153846153,S0046,135,81,52,0.6,381,214,0.5616797900262467,138,700,750,S7GJ.tsv
S0041,156,117,63,0.75,S0084,153,79,50,0.5163398692810458,S0046,152,89,53,0.5855263157894737,461,285,0.6182212581344902,166,750,800,S7GJ.tsv
S0041,6,1,1,0.16666666666666666,S0084,104,48,29,0.46153846153846156,S0046,314,186,115,0.5923566878980892,424,235,0.5542452830188679,145,800,850,S7GJ.tsv
S0041,103,67,37,0.6504854368932039,S0084,61,34,25,0.5573770491803278,S0046,120,65,46,0.5416666666666666,284,166,0.5845070422535211,108,850,900,S7GJ.tsv
S0041,132,95,61,0.7196969696969697,S0084,125,73,45,0.584,S0046,89,27,21,0.30337078651685395,346,195,0.5635838150289018,127,900,950,S7GJ.tsv
S0041,106,78,44,0.7358490566037735,S0084,93,50,33,0.5376344086021505,S0046,68,32,19,0.47058823529411764,267,160,0.599250936329588,96,950,1000,S7GJ.tsv
S0041,153,100,60,0.6535947712418301,S0084,100,47,32,0.47,S0046,45,32,22,0.7111111111111111,298,179,0.6006711409395973,114,1000,1050,S7GJ.tsv
