speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0653,97,11,9,0.1134020618556701,S0655,57,5,4,0.08771929824561403,S0654,99,25,18,0.25252525252525254,253,41,0.16205533596837945,31,0,50,S83A.tsv
S0653,221,49,40,0.22171945701357465,S0655,94,24,17,0.2553191489361702,S0654,95,14,10,0.14736842105263157,410,87,0.2121951219512195,67,50,100,S83A.tsv
S0653,266,93,52,0.34962406015037595,S0655,67,30,18,0.44776119402985076,S0654,75,33,24,0.44,408,156,0.38235294117647056,94,100,150,S83A.tsv
S0653,183,55,36,0.3005464480874317,S0655,29,12,10,0.41379310344827586,S0654,75,29,21,0.38666666666666666,287,96,0.3344947735191638,67,150,200,S83A.tsv
S0653,159,60,41,0.37735849056603776,S0655,40,21,13,0.525,S0654,120,47,35,0.39166666666666666,319,128,0.4012539184952978,89,200,250,S83A.tsv
S0653,197,76,48,0.38578680203045684,S0655,115,54,37,0.46956521739130436,S0654,39,24,14,0.6153846153846154,351,154,0.43874643874643876,99,250,300,S83A.tsv
S0653,117,43,26,0.36752136752136755,S0655,89,46,34,0.5168539325842697,S0654,45,19,13,0.4222222222222222,251,108,0.4302788844621514,73,300,350,S83A.tsv
S0653,236,94,65,0.3983050847457627,S0655,63,32,24,0.5079365079365079,S0654,103,38,26,0.36893203883495146,402,164,0.4079601990049751,115,350,400,S83A.tsv
S0653,220,65,44,0.29545454545454547,S0655,68,43,27,0.6323529411764706,S0654,101,55,36,0.5445544554455446,389,163,0.4190231362467866,107,400,450,S83A.tsv
S0653,61,18,13,0.29508196721311475,S0655,3,3,3,1.0,S0654,5,4,3,0.8,69,25,0.36231884057971014,19,450,460,S83A.tsv
