speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0510,188,30,23,0.1595744680851064,S0509,159,29,23,0.18238993710691823,S0606,98,22,14,0.22448979591836735,445,81,0.18202247191011237,60,0,50,SFRW.tsv
S0510,244,68,47,0.2786885245901639,S0509,101,30,22,0.297029702970297,S0606,91,22,15,0.24175824175824176,436,120,0.27522935779816515,84,50,100,SFRW.tsv
S0510,165,67,46,0.40606060606060607,S0509,213,96,61,0.4507042253521127,S0606,105,46,26,0.4380952380952381,483,209,0.432712215320911,133,100,150,SFRW.tsv
S0510,190,78,51,0.4105263157894737,S0509,126,69,41,0.5476190476190477,S0606,82,37,26,0.45121951219512196,398,184,0.4623115577889447,118,150,200,SFRW.tsv
S0510,216,103,63,0.47685185185185186,S0509,50,27,20,0.54,S0606,152,70,41,0.4605263157894737,418,200,0.4784688995215311,124,200,250,SFRW.tsv
S0510,442,217,136,0.49095022624434387,S0509,116,56,39,0.4827586206896552,S0606,48,26,16,0.5416666666666666,606,299,0.4933993399339934,191,250,300,SFRW.tsv
S0510,193,80,51,0.41450777202072536,S0509,201,114,69,0.5671641791044776,S0606,11,2,2,0.18181818181818182,405,196,0.4839506172839506,122,300,350,SFRW.tsv
S0510,248,134,83,0.5403225806451613,S0509,134,65,41,0.48507462686567165,S0606,18,12,7,0.6666666666666666,400,211,0.5275,131,350,400,SFRW.tsv
S0510,216,102,68,0.4722222222222222,S0509,99,56,42,0.5656565656565656,S0606,152,74,50,0.4868421052631579,467,232,0.49678800856531047,160,400,450,SFRW.tsv
S0510,159,73,46,0.4591194968553459,S0509,258,144,98,0.5581395348837209,S0606,7,3,2,0.42857142857142855,424,220,0.5188679245283019,146,450,500,SFRW.tsv
S0510,57,30,20,0.5263157894736842,S0509,202,113,81,0.5594059405940595,S0606,45,21,16,0.4666666666666667,304,164,0.5394736842105263,117,500,546,SFRW.tsv
