speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0622,13,1,1,0.07692307692307693,S0525,255,23,12,0.09019607843137255,S0617,152,6,4,0.039473684210526314,420,30,0.07142857142857142,17,0,50,ST82.tsv
S0622,0,0,0,0.0,S0525,105,20,11,0.19047619047619047,S0617,191,23,14,0.12041884816753927,296,43,0.14527027027027026,25,50,100,ST82.tsv
S0622,26,13,8,0.5,S0525,135,22,14,0.16296296296296298,S0617,264,40,25,0.15151515151515152,425,75,0.17647058823529413,47,100,150,ST82.tsv
S0622,16,11,6,0.6875,S0525,170,67,41,0.3941176470588235,S0617,290,65,39,0.22413793103448276,476,143,0.3004201680672269,86,150,200,ST82.tsv
S0622,37,24,17,0.6486486486486487,S0525,113,39,25,0.34513274336283184,S0617,273,73,51,0.2673992673992674,423,136,0.3215130023640662,93,200,250,ST82.tsv
S0622,81,40,33,0.49382716049382713,S0525,46,23,16,0.5,S0617,235,71,47,0.3021276595744681,362,134,0.3701657458563536,96,250,300,ST82.tsv
S0622,46,23,21,0.5,S0525,198,86,53,0.43434343434343436,S0617,136,60,37,0.4411764705882353,380,169,0.44473684210526315,111,300,350,ST82.tsv
S0622,56,26,18,0.4642857142857143,S0525,189,90,61,0.47619047619047616,S0617,139,57,39,0.41007194244604317,384,173,0.4505208333333333,118,350,400,ST82.tsv
S0622,69,34,23,0.4927536231884058,S0525,172,68,43,0.3953488372093023,S0617,163,64,40,0.39263803680981596,404,166,0.41089108910891087,106,400,450,ST82.tsv
S0622,287,165,101,0.5749128919860628,S0525,61,32,22,0.5245901639344263,S0617,120,50,36,0.4166666666666667,468,247,0.5277777777777778,159,450,500,ST82.tsv
S0622,443,264,165,0.5959367945823928,S0525,101,48,28,0.4752475247524752,S0617,75,44,30,0.5866666666666667,619,356,0.5751211631663974,223,500,550,ST82.tsv
S0622,29,16,11,0.5517241379310345,S0525,75,29,22,0.38666666666666666,S0617,171,114,75,0.6666666666666666,275,159,0.5781818181818181,108,550,600,ST82.tsv
S0622,20,14,9,0.7,S0525,93,56,34,0.6021505376344086,S0617,111,61,43,0.5495495495495496,224,131,0.5848214285714286,86,600,650,ST82.tsv
S0622,8,6,4,0.75,S0525,95,55,34,0.5789473684210527,S0617,192,122,80,0.6354166666666666,295,183,0.6203389830508474,118,650,700,ST82.tsv
S0622,26,17,13,0.6538461538461539,S0525,73,47,34,0.6438356164383562,S0617,184,99,62,0.5380434782608695,283,163,0.5759717314487632,109,700,750,ST82.tsv
S0622,14,6,5,0.42857142857142855,S0525,107,65,45,0.6074766355140186,S0617,297,159,105,0.5353535353535354,418,230,0.5502392344497608,155,750,800,ST82.tsv
S0622,48,40,26,0.8333333333333334,S0525,204,112,61,0.5490196078431373,S0617,247,155,94,0.6275303643724697,499,307,0.6152304609218436,181,800,850,ST82.tsv
S0622,75,40,24,0.5333333333333333,S0525,87,58,38,0.6666666666666666,S0617,129,73,48,0.5658914728682171,291,171,0.5876288659793815,110,850,900,ST82.tsv
S0622,32,24,13,0.75,S0525,103,73,41,0.7087378640776699,S0617,213,145,94,0.6807511737089202,348,242,0.6954022988505747,148,900,950,ST82.tsv
S0622,52,34,18,0.6538461538461539,S0525,149,100,63,0.6711409395973155,S0617,149,104,64,0.697986577181208,350,238,0.68,145,950,1000,ST82.tsv
S0622,155,104,64,0.6709677419354839,S0525,106,68,43,0.6415094339622641,S0617,92,64,38,0.6956521739130435,353,236,0.6685552407932012,145,1000,1050,ST82.tsv
S0622,205,159,91,0.775609756097561,S0525,167,109,70,0.6526946107784432,S0617,9,2,1,0.2222222222222222,381,270,0.7086614173228346,162,1050,1100,ST82.tsv
S0622,73,56,34,0.7671232876712328,S0525,175,122,79,0.6971428571428572,S0617,84,52,36,0.6190476190476191,332,230,0.6927710843373494,149,1100,1150,ST82.tsv
S0622,28,21,15,0.75,S0525,234,155,100,0.6623931623931624,S0617,71,54,38,0.7605633802816901,333,230,0.6906906906906907,153,1150,1200,ST82.tsv
S0622,17,12,8,0.7058823529411765,S0525,203,130,74,0.6403940886699507,S0617,116,75,47,0.646551724137931,336,217,0.6458333333333334,129,1200,1250,ST82.tsv
S0622,72,42,29,0.5833333333333334,S0525,92,51,28,0.5543478260869565,S0617,62,45,29,0.7258064516129032,226,138,0.6106194690265486,86,1250,1300,ST82.tsv
S0622,71,52,34,0.7323943661971831,S0525,146,95,61,0.6506849315068494,S0617,102,79,41,0.7745098039215687,319,226,0.7084639498432602,136,1300,1350,ST82.tsv
S0622,52,32,19,0.6153846153846154,S0525,139,82,53,0.5899280575539568,S0617,81,39,23,0.48148148148148145,272,153,0.5625,95,1350,1400,ST82.tsv
S0622,67,41,26,0.6119402985074627,S0525,168,123,73,0.7321428571428571,S0617,117,75,48,0.6410256410256411,352,239,0.6789772727272727,147,1400,1450,ST82.tsv
S0622,11,9,6,0.8181818181818182,S0525,176,124,69,0.7045454545454546,S0617,149,109,61,0.7315436241610739,336,242,0.7202380952380952,136,1450,1500,ST82.tsv
S0622,36,28,15,0.7777777777777778,S0525,184,131,79,0.7119565217391305,S0617,133,99,63,0.7443609022556391,353,258,0.7308781869688386,157,1500,1550,ST82.tsv
S0622,0,0,0,0.0,S0525,11,10,6,0.9090909090909091,S0617,4,4,2,1.0,15,14,0.9333333333333333,8,1550,1552,ST82.tsv
