speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0018,49,9,9,0.1836734693877551,S0019,160,52,49,0.325,S0017,42,26,24,0.6190476190476191,251,87,0.3466135458167331,82,0,50,S575.tsv
S0018,59,39,32,0.6610169491525424,S0019,232,35,29,0.15086206896551724,S0017,27,6,6,0.2222222222222222,318,80,0.25157232704402516,67,50,100,S575.tsv
S0018,80,34,29,0.425,S0019,161,35,33,0.21739130434782608,S0017,43,20,18,0.46511627906976744,284,89,0.31338028169014087,80,100,150,S575.tsv
S0018,166,60,52,0.3614457831325301,S0019,81,42,35,0.5185185185185185,S0017,145,63,57,0.43448275862068964,392,165,0.42091836734693877,144,150,200,S575.tsv
S0018,140,31,28,0.22142857142857142,S0019,135,53,46,0.3925925925925926,S0017,86,41,39,0.47674418604651164,361,125,0.3462603878116344,113,200,250,S575.tsv
S0018,98,44,35,0.4489795918367347,S0019,120,32,29,0.26666666666666666,S0017,56,25,23,0.44642857142857145,274,101,0.3686131386861314,87,250,300,S575.tsv
S0018,226,64,59,0.2831858407079646,S0019,55,28,27,0.509090909090909,S0017,38,14,12,0.3684210526315789,319,106,0.3322884012539185,98,300,350,S575.tsv
S0018,180,72,65,0.4,S0019,96,31,28,0.3229166666666667,S0017,93,49,41,0.5268817204301075,369,152,0.41192411924119243,134,350,400,S575.tsv
S0018,164,39,38,0.23780487804878048,S0019,27,10,10,0.37037037037037035,S0017,202,111,105,0.5495049504950495,393,160,0.4071246819338422,153,400,450,S575.tsv
S0018,152,14,13,0.09210526315789473,S0019,10,1,1,0.1,S0017,230,114,110,0.4956521739130435,392,129,0.32908163265306123,124,450,500,S575.tsv
S0018,68,29,27,0.4264705882352941,S0019,39,7,7,0.1794871794871795,S0017,209,35,31,0.1674641148325359,316,71,0.22468354430379747,65,500,550,S575.tsv
S0018,82,40,34,0.4878048780487805,S0019,134,23,19,0.17164179104477612,S0017,77,25,22,0.3246753246753247,293,88,0.3003412969283277,75,550,600,S575.tsv
S0018,61,19,19,0.3114754098360656,S0019,43,6,6,0.13953488372093023,S0017,117,36,32,0.3076923076923077,221,61,0.27601809954751133,57,600,650,S575.tsv
S0018,267,53,48,0.19850187265917604,S0019,19,10,10,0.5263157894736842,S0017,49,24,22,0.4897959183673469,335,87,0.25970149253731345,80,650,700,S575.tsv
S0018,189,37,32,0.19576719576719576,S0019,12,4,4,0.3333333333333333,S0017,25,15,14,0.6,226,56,0.24778761061946902,50,700,750,S575.tsv
S0018,165,8,8,0.048484848484848485,S0019,37,15,15,0.40540540540540543,S0017,41,25,24,0.6097560975609756,243,48,0.19753086419753085,47,750,800,S575.tsv
S0018,108,30,27,0.2777777777777778,S0019,82,23,16,0.2804878048780488,S0017,47,12,11,0.2553191489361702,237,65,0.2742616033755274,54,800,850,S575.tsv
S0018,182,68,61,0.37362637362637363,S0019,20,15,10,0.75,S0017,110,43,39,0.39090909090909093,312,126,0.40384615384615385,110,850,900,S575.tsv
S0018,187,67,66,0.3582887700534759,S0019,48,29,25,0.6041666666666666,S0017,86,10,10,0.11627906976744186,321,106,0.3302180685358255,101,900,950,S575.tsv
S0018,73,7,6,0.0958904109589041,S0019,44,27,24,0.6136363636363636,S0017,82,28,26,0.34146341463414637,199,62,0.31155778894472363,56,950,1000,S575.tsv
S0018,27,11,11,0.4074074074074074,S0019,148,66,54,0.44594594594594594,S0017,195,51,46,0.26153846153846155,370,128,0.34594594594594597,111,1000,1050,S575.tsv
S0018,63,21,20,0.3333333333333333,S0019,133,58,53,0.43609022556390975,S0017,232,105,93,0.4525862068965517,428,184,0.42990654205607476,166,1050,1100,S575.tsv
S0018,61,24,21,0.39344262295081966,S0019,193,55,47,0.2849740932642487,S0017,80,29,27,0.3625,334,108,0.32335329341317365,95,1100,1150,S575.tsv
S0018,117,40,36,0.3418803418803419,S0019,56,15,12,0.26785714285714285,S0017,47,19,18,0.40425531914893614,220,74,0.33636363636363636,66,1150,1200,S575.tsv
S0018,168,59,46,0.35119047619047616,S0019,148,68,48,0.4594594594594595,S0017,12,6,6,0.5,328,133,0.4054878048780488,100,1200,1250,S575.tsv
S0018,126,56,44,0.4444444444444444,S0019,140,43,36,0.30714285714285716,S0017,34,8,7,0.23529411764705882,300,107,0.3566666666666667,87,1250,1300,S575.tsv
S0018,61,36,30,0.5901639344262295,S0019,273,62,53,0.2271062271062271,S0017,39,7,7,0.1794871794871795,373,105,0.28150134048257375,90,1300,1350,S575.tsv
S0018,69,38,35,0.5507246376811594,S0019,374,48,47,0.12834224598930483,S0017,42,14,10,0.3333333333333333,485,100,0.20618556701030927,92,1350,1400,S575.tsv
S0018,163,46,41,0.2822085889570552,S0019,72,34,31,0.4722222222222222,S0017,31,10,10,0.3225806451612903,266,90,0.3383458646616541,82,1400,1450,S575.tsv
S0018,11,1,1,0.09090909090909091,S0019,3,0,0,0.0,S0017,0,0,0,0.0,14,1,0.07142857142857142,1,1450,1452,S575.tsv
