speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0454,153,60,52,0.39215686274509803,S0455,91,25,25,0.27472527472527475,S0452,32,19,18,0.59375,276,104,0.37681159420289856,95,0,50,S8PW.tsv
S0454,290,88,83,0.30344827586206896,S0455,36,10,8,0.2777777777777778,S0452,49,25,21,0.5102040816326531,375,123,0.328,112,50,100,S8PW.tsv
S0454,290,61,54,0.2103448275862069,S0455,104,55,52,0.5288461538461539,S0452,9,1,1,0.1111111111111111,403,117,0.2903225806451613,107,100,150,S8PW.tsv
S0454,162,77,71,0.47530864197530864,S0455,156,62,58,0.3974358974358974,S0452,42,22,17,0.5238095238095238,360,161,0.44722222222222224,146,150,200,S8PW.tsv
S0454,343,97,91,0.282798833819242,S0455,86,38,34,0.4418604651162791,S0452,23,18,13,0.782608695652174,452,153,0.33849557522123896,138,200,250,S8PW.tsv
S0454,112,41,37,0.36607142857142855,S0455,77,37,31,0.4805194805194805,S0452,102,18,17,0.17647058823529413,291,96,0.32989690721649484,85,250,300,S8PW.tsv
S0454,194,103,92,0.5309278350515464,S0455,240,56,52,0.23333333333333334,S0452,5,1,1,0.2,439,160,0.36446469248291574,145,300,350,S8PW.tsv
S0454,179,49,47,0.2737430167597765,S0455,249,114,107,0.4578313253012048,S0452,27,20,18,0.7407407407407407,455,183,0.4021978021978022,172,350,400,S8PW.tsv
S0454,121,53,44,0.4380165289256198,S0455,259,78,70,0.30115830115830117,S0452,13,9,6,0.6923076923076923,393,140,0.356234096692112,120,400,450,S8PW.tsv
S0454,41,21,20,0.5121951219512195,S0455,222,66,59,0.2972972972972973,S0452,70,19,16,0.2714285714285714,333,106,0.3183183183183183,95,450,500,S8PW.tsv
S0454,93,50,47,0.5376344086021505,S0455,62,6,6,0.0967741935483871,S0452,113,53,45,0.4690265486725664,268,109,0.40671641791044777,98,500,550,S8PW.tsv
S0454,132,53,46,0.4015151515151515,S0455,248,80,72,0.3225806451612903,S0452,11,7,4,0.6363636363636364,391,140,0.35805626598465473,122,550,600,S8PW.tsv
S0454,190,75,64,0.39473684210526316,S0455,165,49,41,0.296969696969697,S0452,7,7,5,1.0,362,131,0.36187845303867405,110,600,650,S8PW.tsv
S0454,204,48,45,0.23529411764705882,S0455,104,57,54,0.5480769230769231,S0452,56,38,35,0.6785714285714286,364,143,0.39285714285714285,134,650,700,S8PW.tsv
S0454,146,57,51,0.3904109589041096,S0455,115,51,50,0.4434782608695652,S0452,77,44,40,0.5714285714285714,338,152,0.44970414201183434,141,700,750,S8PW.tsv
S0454,120,74,60,0.6166666666666667,S0455,183,44,41,0.24043715846994534,S0452,68,30,23,0.4411764705882353,371,148,0.39892183288409705,124,750,800,S8PW.tsv
S0454,78,25,23,0.32051282051282054,S0455,335,147,142,0.4388059701492537,S0452,66,36,34,0.5454545454545454,479,208,0.4342379958246347,199,800,850,S8PW.tsv
S0454,119,51,46,0.42857142857142855,S0455,320,68,67,0.2125,S0452,15,8,8,0.5333333333333333,454,127,0.27973568281938327,121,850,900,S8PW.tsv
S0454,140,68,57,0.4857142857142857,S0455,215,71,64,0.3302325581395349,S0452,56,30,22,0.5357142857142857,411,169,0.41119221411192214,143,900,950,S8PW.tsv
S0454,146,45,41,0.3082191780821918,S0455,297,102,92,0.3434343434343434,S0452,6,3,3,0.5,449,150,0.33407572383073497,136,950,1000,S8PW.tsv
S0454,223,58,46,0.2600896860986547,S0455,176,89,73,0.5056818181818182,S0452,0,0,0,0.0,399,147,0.3684210526315789,119,1000,1050,S8PW.tsv
S0454,220,85,77,0.38636363636363635,S0455,66,35,33,0.5303030303030303,S0452,86,32,31,0.37209302325581395,372,152,0.40860215053763443,141,1050,1100,S8PW.tsv
S0454,164,67,53,0.40853658536585363,S0455,115,47,42,0.40869565217391307,S0452,52,27,22,0.5192307692307693,331,141,0.4259818731117825,117,1100,1150,S8PW.tsv
S0454,103,52,43,0.5048543689320388,S0455,281,116,103,0.4128113879003559,S0452,37,16,11,0.43243243243243246,421,184,0.43705463182897863,157,1150,1200,S8PW.tsv
S0454,305,115,108,0.3770491803278688,S0455,127,66,60,0.5196850393700787,S0452,0,0,0,0.0,432,181,0.41898148148148145,168,1200,1250,S8PW.tsv
S0454,232,88,86,0.3793103448275862,S0455,106,41,37,0.3867924528301887,S0452,2,2,1,1.0,340,131,0.38529411764705884,124,1250,1300,S8PW.tsv
S0454,262,53,53,0.20229007633587787,S0455,126,67,63,0.5317460317460317,S0452,11,4,3,0.36363636363636365,399,124,0.3107769423558897,119,1300,1350,S8PW.tsv
S0454,152,53,50,0.34868421052631576,S0455,201,81,74,0.40298507462686567,S0452,3,1,1,0.3333333333333333,356,135,0.3792134831460674,125,1350,1400,S8PW.tsv
S0454,358,147,135,0.4106145251396648,S0455,119,37,33,0.31092436974789917,S0452,28,20,19,0.7142857142857143,505,204,0.403960396039604,187,1400,1450,S8PW.tsv
S0454,311,93,88,0.2990353697749196,S0455,20,13,12,0.65,S0452,71,36,31,0.5070422535211268,402,142,0.35323383084577115,131,1450,1500,S8PW.tsv
S0454,263,20,20,0.07604562737642585,S0455,71,41,36,0.5774647887323944,S0452,11,3,3,0.2727272727272727,345,64,0.1855072463768116,59,1500,1550,S8PW.tsv
S0454,165,53,44,0.3212121212121212,S0455,144,59,55,0.4097222222222222,S0452,16,2,2,0.125,325,114,0.3507692307692308,101,1550,1600,S8PW.tsv
S0454,279,51,51,0.1827956989247312,S0455,75,40,38,0.5333333333333333,S0452,11,5,4,0.45454545454545453,365,96,0.26301369863013696,93,1600,1650,S8PW.tsv
S0454,98,26,25,0.2653061224489796,S0455,246,85,75,0.34552845528455284,S0452,20,6,5,0.3,364,117,0.32142857142857145,105,1650,1700,S8PW.tsv
S0454,87,45,42,0.5172413793103449,S0455,166,23,22,0.13855421686746988,S0452,37,2,2,0.05405405405405406,290,70,0.2413793103448276,66,1700,1750,S8PW.tsv
S0454,96,44,37,0.4583333333333333,S0455,260,71,61,0.27307692307692305,S0452,0,0,0,0.0,356,115,0.32303370786516855,98,1750,1800,S8PW.tsv
