speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0510,188,70,63,0.3723404255319149,S0509,159,76,69,0.4779874213836478,S0606,98,48,40,0.4897959183673469,445,194,0.43595505617977526,172,0,50,SFRW.tsv
S0510,244,115,106,0.4713114754098361,S0509,101,28,22,0.27722772277227725,S0606,91,28,27,0.3076923076923077,436,171,0.3922018348623853,155,50,100,SFRW.tsv
S0510,165,65,56,0.3939393939393939,S0509,213,103,94,0.4835680751173709,S0606,105,52,44,0.49523809523809526,483,220,0.4554865424430642,194,100,150,SFRW.tsv
S0510,190,54,50,0.28421052631578947,S0509,126,58,48,0.4603174603174603,S0606,82,46,40,0.5609756097560976,398,158,0.3969849246231156,138,150,200,SFRW.tsv
S0510,216,115,96,0.5324074074074074,S0509,50,17,16,0.34,S0606,152,44,38,0.2894736842105263,418,176,0.42105263157894735,150,200,250,SFRW.tsv
S0510,442,154,140,0.34841628959276016,S0509,116,66,58,0.5689655172413793,S0606,48,28,21,0.5833333333333334,606,248,0.40924092409240925,219,250,300,SFRW.tsv
S0510,193,84,78,0.43523316062176165,S0509,201,79,72,0.39303482587064675,S0606,11,0,0,0.0,405,163,0.4024691358024691,150,300,350,SFRW.tsv
S0510,248,81,70,0.32661290322580644,S0509,134,47,42,0.35074626865671643,S0606,18,4,3,0.2222222222222222,400,132,0.33,115,350,400,SFRW.tsv
S0510,216,122,113,0.5648148148148148,S0509,99,33,30,0.3333333333333333,S0606,152,6,3,0.039473684210526314,467,161,0.34475374732334046,146,400,450,SFRW.tsv
S0510,159,63,55,0.39622641509433965,S0509,258,112,103,0.43410852713178294,S0606,7,6,5,0.8571428571428571,424,181,0.4268867924528302,163,450,500,SFRW.tsv
S0510,57,32,30,0.5614035087719298,S0509,202,35,35,0.17326732673267325,S0606,45,19,18,0.4222222222222222,304,86,0.28289473684210525,83,500,546,SFRW.tsv
