speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0454,118,30,28,0.2542372881355932,S0452,37,9,7,0.24324324324324326,S0455,222,100,98,0.45045045045045046,377,139,0.3687002652519894,133,0,50,SGCA.tsv
S0454,107,53,49,0.4953271028037383,S0452,0,0,0,0.0,S0455,277,68,62,0.24548736462093862,384,121,0.3151041666666667,111,50,100,SGCA.tsv
S0454,198,74,68,0.37373737373737376,S0452,69,40,36,0.5797101449275363,S0455,119,35,30,0.29411764705882354,386,149,0.3860103626943005,134,100,150,SGCA.tsv
S0454,63,20,15,0.31746031746031744,S0452,62,33,27,0.532258064516129,S0455,253,83,79,0.32806324110671936,378,136,0.35978835978835977,121,150,200,SGCA.tsv
S0454,206,90,73,0.4368932038834951,S0452,82,26,25,0.3170731707317073,S0455,95,40,33,0.42105263157894735,383,156,0.4073107049608355,131,200,250,SGCA.tsv
S0454,97,31,29,0.31958762886597936,S0452,123,62,54,0.5040650406504065,S0455,189,50,47,0.26455026455026454,409,143,0.34963325183374083,130,250,300,SGCA.tsv
S0454,68,35,35,0.5147058823529411,S0452,56,31,29,0.5535714285714286,S0455,118,16,16,0.13559322033898305,242,82,0.33884297520661155,80,300,350,SGCA.tsv
S0454,119,36,31,0.3025210084033613,S0452,3,1,1,0.3333333333333333,S0455,202,81,73,0.400990099009901,324,118,0.36419753086419754,105,350,400,SGCA.tsv
S0454,79,53,50,0.6708860759493671,S0452,26,7,5,0.2692307692307692,S0455,211,72,64,0.3412322274881517,316,132,0.4177215189873418,119,400,450,SGCA.tsv
S0454,189,105,93,0.5555555555555556,S0452,3,2,2,0.6666666666666666,S0455,237,56,50,0.23628691983122363,429,163,0.37995337995337997,145,450,500,SGCA.tsv
S0454,179,65,54,0.36312849162011174,S0452,125,64,53,0.512,S0455,41,16,16,0.3902439024390244,345,145,0.42028985507246375,123,500,550,SGCA.tsv
S0454,144,58,53,0.4027777777777778,S0452,64,30,28,0.46875,S0455,129,48,45,0.37209302325581395,337,136,0.4035608308605341,126,550,600,SGCA.tsv
S0454,119,48,39,0.40336134453781514,S0452,77,24,19,0.3116883116883117,S0455,62,27,19,0.43548387096774194,258,99,0.38372093023255816,77,600,650,SGCA.tsv
S0454,97,53,48,0.5463917525773195,S0452,206,61,57,0.2961165048543689,S0455,52,18,14,0.34615384615384615,355,132,0.37183098591549296,119,650,700,SGCA.tsv
S0454,179,77,68,0.4301675977653631,S0452,107,41,36,0.38317757009345793,S0455,38,12,8,0.3157894736842105,324,130,0.4012345679012346,112,700,750,SGCA.tsv
S0454,240,37,32,0.15416666666666667,S0452,72,37,34,0.5138888888888888,S0455,24,17,12,0.7083333333333334,336,91,0.2708333333333333,78,750,800,SGCA.tsv
S0454,209,70,63,0.3349282296650718,S0452,119,45,43,0.37815126050420167,S0455,45,30,25,0.6666666666666666,373,145,0.38873994638069703,131,800,850,SGCA.tsv
S0454,81,21,19,0.25925925925925924,S0452,24,12,10,0.5,S0455,46,9,7,0.1956521739130435,151,42,0.2781456953642384,36,850,876,SGCA.tsv
