speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0292,601,192,165,0.3194675540765391,S0293,68,16,14,0.23529411764705882,S0282,283,167,138,0.5901060070671378,952,375,0.3939075630252101,317,0,50,SK82.tsv
S0292,613,271,238,0.44208809135399674,S0293,26,13,10,0.5,S0282,115,25,21,0.21739130434782608,754,309,0.40981432360742703,269,50,100,SK82.tsv
S0292,993,398,339,0.40080563947633435,S0293,59,39,35,0.6610169491525424,S0282,199,109,94,0.5477386934673367,1251,546,0.4364508393285372,468,100,150,SK82.tsv
S0292,492,160,136,0.3252032520325203,S0293,95,37,32,0.3894736842105263,S0282,214,118,99,0.5514018691588785,801,315,0.39325842696629215,267,150,200,SK82.tsv
S0292,101,57,52,0.5643564356435643,S0293,232,60,56,0.25862068965517243,S0282,145,59,50,0.4068965517241379,478,176,0.3682008368200837,158,200,250,SK82.tsv
S0292,367,174,150,0.47411444141689374,S0293,160,116,100,0.725,S0282,166,10,7,0.060240963855421686,693,300,0.4329004329004329,257,250,300,SK82.tsv
S0292,298,136,126,0.4563758389261745,S0293,87,25,21,0.28735632183908044,S0282,296,117,92,0.3952702702702703,681,278,0.40822320117474303,239,300,350,SK82.tsv
S0292,45,13,13,0.28888888888888886,S0293,83,23,19,0.27710843373493976,S0282,574,240,224,0.4181184668989547,702,276,0.39316239316239315,256,350,400,SK82.tsv
S0292,204,98,87,0.4803921568627451,S0293,38,13,12,0.34210526315789475,S0282,172,60,46,0.3488372093023256,414,171,0.41304347826086957,145,400,450,SK82.tsv
S0292,92,41,33,0.44565217391304346,S0293,1,0,0,0.0,S0282,141,35,32,0.24822695035460993,234,76,0.3247863247863248,65,450,477,SK82.tsv
