speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0227,269,93,77,0.34572490706319703,S0190,99,54,45,0.5454545454545454,S0192,178,97,81,0.5449438202247191,546,244,0.4468864468864469,203,0,50,SNJP.tsv
S0227,135,78,63,0.5777777777777777,S0190,249,105,87,0.42168674698795183,S0192,178,88,70,0.4943820224719101,562,271,0.4822064056939502,220,50,100,SNJP.tsv
S0227,128,71,64,0.5546875,S0190,196,87,70,0.44387755102040816,S0192,150,38,34,0.25333333333333335,474,196,0.41350210970464135,168,100,150,SNJP.tsv
S0227,264,134,113,0.5075757575757576,S0190,113,35,31,0.30973451327433627,S0192,179,69,63,0.3854748603351955,556,238,0.42805755395683454,207,150,200,SNJP.tsv
S0227,323,78,70,0.24148606811145512,S0190,136,74,57,0.5441176470588235,S0192,181,96,84,0.5303867403314917,640,248,0.3875,211,200,250,SNJP.tsv
S0227,109,69,62,0.6330275229357798,S0190,34,20,20,0.5882352941176471,S0192,391,44,39,0.11253196930946291,534,133,0.24906367041198502,121,250,300,SNJP.tsv
S0227,41,18,16,0.43902439024390244,S0190,298,153,137,0.5134228187919463,S0192,136,49,44,0.3602941176470588,475,220,0.4631578947368421,197,300,350,SNJP.tsv
S0227,30,14,14,0.4666666666666667,S0190,106,43,39,0.4056603773584906,S0192,180,46,46,0.25555555555555554,316,103,0.3259493670886076,99,350,400,SNJP.tsv
S0227,179,91,84,0.5083798882681564,S0190,114,80,66,0.7017543859649122,S0192,238,79,74,0.3319327731092437,531,250,0.4708097928436911,224,400,450,SNJP.tsv
S0227,142,70,61,0.49295774647887325,S0190,216,126,102,0.5833333333333334,S0192,223,68,59,0.30493273542600896,581,264,0.45438898450946646,222,450,500,SNJP.tsv
S0227,242,77,72,0.3181818181818182,S0190,52,35,28,0.6730769230769231,S0192,331,132,127,0.3987915407854985,625,244,0.3904,227,500,550,SNJP.tsv
S0227,101,55,55,0.5445544554455446,S0190,65,19,18,0.2923076923076923,S0192,413,118,106,0.2857142857142857,579,192,0.3316062176165803,179,550,600,SNJP.tsv
S0227,332,177,151,0.5331325301204819,S0190,20,7,6,0.35,S0192,411,92,88,0.22384428223844283,763,276,0.3617300131061599,245,600,650,SNJP.tsv
S0227,507,299,268,0.5897435897435898,S0190,141,50,47,0.3546099290780142,S0192,343,139,120,0.40524781341107874,991,488,0.4924318869828456,435,650,700,SNJP.tsv
S0227,187,109,93,0.5828877005347594,S0190,44,27,24,0.6136363636363636,S0192,465,80,74,0.17204301075268819,696,216,0.3103448275862069,191,700,750,SNJP.tsv
S0227,122,36,31,0.29508196721311475,S0190,72,43,33,0.5972222222222222,S0192,361,164,148,0.45429362880886426,555,243,0.43783783783783786,212,750,800,SNJP.tsv
S0227,78,35,30,0.44871794871794873,S0190,66,31,23,0.4696969696969697,S0192,295,102,88,0.34576271186440677,439,168,0.3826879271070615,141,800,850,SNJP.tsv
S0227,74,37,36,0.5,S0190,60,16,16,0.26666666666666666,S0192,173,43,36,0.24855491329479767,307,96,0.3127035830618892,88,850,900,SNJP.tsv
S0227,178,68,60,0.38202247191011235,S0190,0,0,0,0.0,S0192,219,65,59,0.2968036529680365,397,133,0.3350125944584383,119,900,950,SNJP.tsv
S0227,160,42,34,0.2625,S0190,25,12,10,0.48,S0192,249,97,84,0.3895582329317269,434,151,0.347926267281106,128,950,1000,SNJP.tsv
S0227,76,38,34,0.5,S0190,108,38,34,0.35185185185185186,S0192,304,140,128,0.4605263157894737,488,216,0.4426229508196721,196,1000,1050,SNJP.tsv
S0227,192,104,94,0.5416666666666666,S0190,14,4,3,0.2857142857142857,S0192,284,65,62,0.22887323943661972,490,173,0.35306122448979593,159,1050,1100,SNJP.tsv
S0227,144,82,70,0.5694444444444444,S0190,257,102,94,0.3968871595330739,S0192,251,61,54,0.24302788844621515,652,245,0.37576687116564417,218,1100,1150,SNJP.tsv
S0227,99,48,47,0.48484848484848486,S0190,60,34,30,0.5666666666666667,S0192,238,65,65,0.27310924369747897,397,147,0.3702770780856423,142,1150,1200,SNJP.tsv
S0227,278,129,113,0.46402877697841727,S0190,8,4,4,0.5,S0192,272,102,101,0.375,558,235,0.4211469534050179,218,1200,1250,SNJP.tsv
S0227,93,47,44,0.5053763440860215,S0190,77,36,35,0.4675324675324675,S0192,371,105,99,0.2830188679245283,541,188,0.34750462107208874,178,1250,1300,SNJP.tsv
S0227,104,55,47,0.5288461538461539,S0190,47,15,12,0.3191489361702128,S0192,210,87,74,0.4142857142857143,361,157,0.43490304709141275,133,1300,1350,SNJP.tsv
S0227,99,32,29,0.32323232323232326,S0190,102,41,36,0.4019607843137255,S0192,133,52,45,0.39097744360902253,334,125,0.37425149700598803,110,1350,1400,SNJP.tsv
S0227,48,24,22,0.5,S0190,157,57,53,0.3630573248407643,S0192,120,63,56,0.525,325,144,0.4430769230769231,131,1400,1450,SNJP.tsv
S0227,174,74,67,0.42528735632183906,S0190,32,16,15,0.5,S0192,135,50,45,0.37037037037037035,341,140,0.41055718475073316,127,1450,1500,SNJP.tsv
S0227,66,39,36,0.5909090909090909,S0190,62,11,10,0.1774193548387097,S0192,219,47,42,0.2146118721461187,347,97,0.27953890489913547,88,1500,1550,SNJP.tsv
S0227,183,68,65,0.37158469945355194,S0190,6,3,3,0.5,S0192,228,77,71,0.33771929824561403,417,148,0.354916067146283,139,1550,1600,SNJP.tsv
S0227,152,45,35,0.29605263157894735,S0190,12,3,3,0.25,S0192,105,51,29,0.4857142857142857,269,99,0.3680297397769517,67,1600,1650,SNJP.tsv
S0227,169,65,58,0.38461538461538464,S0190,78,48,37,0.6153846153846154,S0192,122,42,37,0.3442622950819672,369,155,0.42005420054200543,132,1650,1700,SNJP.tsv
