speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0084,327,69,64,0.21100917431192662,S0041,80,34,29,0.425,S0046,10,4,4,0.4,417,107,0.2565947242206235,97,0,50,SQP2.tsv
S0084,183,69,62,0.3770491803278688,S0041,87,28,24,0.3218390804597701,S0046,109,39,37,0.3577981651376147,379,136,0.35883905013192613,123,50,100,SQP2.tsv
S0084,175,74,67,0.4228571428571429,S0041,266,109,100,0.40977443609022557,S0046,10,5,4,0.5,451,188,0.41685144124168516,171,100,150,SQP2.tsv
S0084,225,98,90,0.43555555555555553,S0041,112,22,16,0.19642857142857142,S0046,117,75,62,0.6410256410256411,454,195,0.42951541850220265,168,150,200,SQP2.tsv
S0084,329,109,102,0.331306990881459,S0041,36,21,17,0.5833333333333334,S0046,72,33,27,0.4583333333333333,437,163,0.37299771167048057,146,200,250,SQP2.tsv
S0084,127,15,15,0.11811023622047244,S0041,457,187,171,0.40919037199124725,S0046,3,2,2,0.6666666666666666,587,204,0.3475298126064736,188,250,300,SQP2.tsv
S0084,92,39,34,0.42391304347826086,S0041,316,70,67,0.22151898734177214,S0046,5,5,5,1.0,413,114,0.27602905569007263,106,300,350,SQP2.tsv
S0084,61,33,31,0.5409836065573771,S0041,447,18,16,0.040268456375838924,S0046,0,0,0,0.0,508,51,0.10039370078740158,47,350,400,SQP2.tsv
S0084,268,128,119,0.47761194029850745,S0041,269,93,88,0.34572490706319703,S0046,0,0,0,0.0,537,221,0.41154562383612664,207,400,450,SQP2.tsv
S0084,117,59,53,0.5042735042735043,S0041,275,40,34,0.14545454545454545,S0046,1,0,0,0.0,393,99,0.25190839694656486,87,450,500,SQP2.tsv
S0084,69,33,27,0.4782608695652174,S0041,412,41,35,0.09951456310679611,S0046,0,0,0,0.0,481,74,0.15384615384615385,62,500,550,SQP2.tsv
S0084,135,69,58,0.5111111111111111,S0041,434,94,90,0.21658986175115208,S0046,0,0,0,0.0,569,163,0.28646748681898065,148,550,600,SQP2.tsv
S0084,69,24,21,0.34782608695652173,S0041,148,32,30,0.21621621621621623,S0046,28,12,11,0.42857142857142855,245,68,0.27755102040816326,62,600,650,SQP2.tsv
S0084,58,27,26,0.46551724137931033,S0041,624,31,29,0.049679487179487176,S0046,0,0,0,0.0,682,58,0.08504398826979472,55,650,700,SQP2.tsv
S0084,316,82,79,0.25949367088607594,S0041,161,77,71,0.4782608695652174,S0046,0,0,0,0.0,477,159,0.3333333333333333,150,700,750,SQP2.tsv
S0084,127,44,42,0.3464566929133858,S0041,202,93,80,0.4603960396039604,S0046,0,0,0,0.0,329,137,0.41641337386018235,122,750,800,SQP2.tsv
S0084,196,62,50,0.3163265306122449,S0041,201,85,61,0.4228855721393035,S0046,0,0,0,0.0,397,147,0.3702770780856423,111,800,850,SQP2.tsv
S0084,120,24,20,0.2,S0041,211,71,65,0.33649289099526064,S0046,0,0,0,0.0,331,95,0.28700906344410876,85,850,900,SQP2.tsv
S0084,288,50,48,0.1736111111111111,S0041,225,113,107,0.5022222222222222,S0046,0,0,0,0.0,513,163,0.31773879142300193,155,900,950,SQP2.tsv
S0084,224,113,99,0.5044642857142857,S0041,214,61,55,0.2850467289719626,S0046,0,0,0,0.0,438,174,0.3972602739726027,154,950,1000,SQP2.tsv
S0084,179,52,36,0.2905027932960894,S0041,211,88,75,0.41706161137440756,S0046,0,0,0,0.0,390,140,0.358974358974359,111,1000,1050,SQP2.tsv
S0084,175,63,56,0.36,S0041,210,96,89,0.45714285714285713,S0046,0,0,0,0.0,385,159,0.412987012987013,145,1050,1100,SQP2.tsv
S0084,248,111,100,0.4475806451612903,S0041,161,50,45,0.3105590062111801,S0046,0,0,0,0.0,409,161,0.39364303178484106,145,1100,1150,SQP2.tsv
S0084,188,69,56,0.3670212765957447,S0041,148,48,39,0.32432432432432434,S0046,0,0,0,0.0,336,117,0.3482142857142857,95,1150,1200,SQP2.tsv
S0084,162,57,52,0.35185185185185186,S0041,231,87,78,0.37662337662337664,S0046,0,0,0,0.0,393,144,0.366412213740458,130,1200,1250,SQP2.tsv
S0084,155,30,29,0.1935483870967742,S0041,170,86,75,0.5058823529411764,S0046,0,0,0,0.0,325,116,0.3569230769230769,104,1250,1300,SQP2.tsv
S0084,326,144,122,0.44171779141104295,S0041,162,50,39,0.30864197530864196,S0046,0,0,0,0.0,488,194,0.3975409836065574,161,1300,1350,SQP2.tsv
S0084,114,38,36,0.3333333333333333,S0041,220,70,66,0.3181818181818182,S0046,0,0,0,0.0,334,108,0.32335329341317365,102,1350,1400,SQP2.tsv
S0084,209,77,60,0.3684210526315789,S0041,114,48,33,0.42105263157894735,S0046,0,0,0,0.0,323,125,0.38699690402476783,93,1400,1450,SQP2.tsv
S0084,124,43,34,0.3467741935483871,S0041,178,44,40,0.24719101123595505,S0046,0,0,0,0.0,302,87,0.28807947019867547,74,1450,1500,SQP2.tsv
S0084,99,30,28,0.30303030303030304,S0041,134,38,29,0.2835820895522388,S0046,0,0,0,0.0,233,68,0.2918454935622318,57,1500,1542,SQP2.tsv
