speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0579,98,43,42,0.4387755102040816,S0580,64,17,15,0.265625,S0454,123,54,47,0.43902439024390244,285,114,0.4,104,0,50,SR4E.tsv
S0579,231,113,95,0.48917748917748916,S0580,0,0,0,0.0,S0454,262,89,84,0.33969465648854963,493,202,0.40973630831643004,179,50,100,SR4E.tsv
S0579,181,86,78,0.47513812154696133,S0580,0,0,0,0.0,S0454,230,92,87,0.4,411,178,0.43309002433090027,165,100,150,SR4E.tsv
S0579,164,72,57,0.43902439024390244,S0580,0,0,0,0.0,S0454,332,131,119,0.39457831325301207,496,203,0.4092741935483871,176,150,200,SR4E.tsv
S0579,126,42,39,0.3333333333333333,S0580,0,0,0,0.0,S0454,468,176,167,0.37606837606837606,594,218,0.367003367003367,206,200,250,SR4E.tsv
S0579,243,97,88,0.3991769547325103,S0580,80,52,49,0.65,S0454,108,38,33,0.35185185185185186,431,187,0.43387470997679817,170,250,300,SR4E.tsv
S0579,83,38,34,0.4578313253012048,S0580,92,23,22,0.25,S0454,119,49,45,0.4117647058823529,294,110,0.3741496598639456,101,300,350,SR4E.tsv
S0579,112,49,39,0.4375,S0580,37,14,12,0.3783783783783784,S0454,301,121,113,0.4019933554817276,450,184,0.4088888888888889,164,350,400,SR4E.tsv
S0579,82,51,46,0.6219512195121951,S0580,25,7,6,0.28,S0454,432,112,103,0.25925925925925924,539,170,0.31539888682745826,155,400,450,SR4E.tsv
S0579,86,37,32,0.43023255813953487,S0580,50,30,22,0.6,S0454,258,38,33,0.14728682170542637,394,105,0.26649746192893403,87,450,500,SR4E.tsv
S0579,118,47,42,0.3983050847457627,S0580,86,35,30,0.4069767441860465,S0454,95,40,37,0.42105263157894735,299,122,0.4080267558528428,109,500,550,SR4E.tsv
S0579,68,43,35,0.6323529411764706,S0580,127,30,27,0.23622047244094488,S0454,118,46,39,0.3898305084745763,313,119,0.3801916932907348,101,550,600,SR4E.tsv
S0579,101,38,37,0.37623762376237624,S0580,54,29,26,0.5370370370370371,S0454,145,50,45,0.3448275862068966,300,117,0.39,108,600,650,SR4E.tsv
S0579,73,20,19,0.273972602739726,S0580,39,20,18,0.5128205128205128,S0454,303,118,106,0.38943894389438943,415,158,0.38072289156626504,143,650,700,SR4E.tsv
S0579,129,51,44,0.3953488372093023,S0580,49,16,13,0.32653061224489793,S0454,79,32,28,0.4050632911392405,257,99,0.3852140077821012,85,700,750,SR4E.tsv
S0579,86,55,50,0.6395348837209303,S0580,48,16,12,0.3333333333333333,S0454,244,52,50,0.21311475409836064,378,123,0.3253968253968254,112,750,800,SR4E.tsv
S0579,144,69,60,0.4791666666666667,S0580,66,16,16,0.24242424242424243,S0454,131,58,52,0.44274809160305345,341,143,0.41935483870967744,128,800,850,SR4E.tsv
S0579,118,73,62,0.6186440677966102,S0580,127,54,47,0.4251968503937008,S0454,164,29,24,0.17682926829268292,409,156,0.38141809290953543,133,850,900,SR4E.tsv
S0579,192,89,82,0.4635416666666667,S0580,53,13,13,0.24528301886792453,S0454,153,67,62,0.43790849673202614,398,169,0.42462311557788945,157,900,950,SR4E.tsv
