speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0572,24,6,5,0.25,S0571,62,24,17,0.3870967741935484,S0517,188,41,34,0.21808510638297873,274,71,0.2591240875912409,56,0,50,ST6R.tsv
S0572,73,31,30,0.4246575342465753,S0571,66,28,25,0.42424242424242425,S0517,841,259,248,0.3079667063020214,980,318,0.32448979591836735,303,50,100,ST6R.tsv
S0572,91,42,34,0.46153846153846156,S0571,74,33,31,0.44594594594594594,S0517,148,62,52,0.4189189189189189,313,137,0.43769968051118213,117,100,150,ST6R.tsv
S0572,169,40,37,0.23668639053254437,S0571,61,34,32,0.5573770491803278,S0517,142,77,70,0.5422535211267606,372,151,0.40591397849462363,139,150,200,ST6R.tsv
S0572,123,54,49,0.43902439024390244,S0571,86,46,35,0.5348837209302325,S0517,78,27,25,0.34615384615384615,287,127,0.4425087108013937,109,200,250,ST6R.tsv
S0572,111,48,41,0.43243243243243246,S0571,122,61,42,0.5,S0517,77,17,13,0.22077922077922077,310,126,0.4064516129032258,96,250,300,ST6R.tsv
S0572,43,5,5,0.11627906976744186,S0571,136,74,60,0.5441176470588235,S0517,327,151,139,0.4617737003058104,506,230,0.45454545454545453,204,300,350,ST6R.tsv
S0572,73,32,25,0.4383561643835616,S0571,103,35,34,0.33980582524271846,S0517,145,48,46,0.3310344827586207,321,115,0.3582554517133956,105,350,400,ST6R.tsv
S0572,68,16,14,0.23529411764705882,S0571,127,46,38,0.36220472440944884,S0517,107,48,43,0.4485981308411215,302,110,0.36423841059602646,95,400,450,ST6R.tsv
S0572,52,34,30,0.6538461538461539,S0571,69,34,28,0.4927536231884058,S0517,516,65,54,0.12596899224806202,637,133,0.2087912087912088,112,450,500,ST6R.tsv
S0572,122,16,13,0.13114754098360656,S0571,126,62,54,0.49206349206349204,S0517,57,23,20,0.40350877192982454,305,101,0.33114754098360655,87,500,550,ST6R.tsv
S0572,46,32,27,0.6956521739130435,S0571,122,54,40,0.4426229508196721,S0517,240,39,30,0.1625,408,125,0.30637254901960786,97,550,600,ST6R.tsv
S0572,72,36,34,0.5,S0571,88,28,26,0.3181818181818182,S0517,129,45,37,0.3488372093023256,289,109,0.3771626297577855,97,600,650,ST6R.tsv
S0572,96,43,38,0.4479166666666667,S0571,87,30,27,0.3448275862068966,S0517,85,35,33,0.4117647058823529,268,108,0.40298507462686567,98,650,700,ST6R.tsv
S0572,44,26,19,0.5909090909090909,S0571,73,17,15,0.2328767123287671,S0517,197,69,56,0.350253807106599,314,112,0.35668789808917195,90,700,750,ST6R.tsv
S0572,125,74,68,0.592,S0571,138,51,44,0.3695652173913043,S0517,166,52,41,0.3132530120481928,429,177,0.4125874125874126,153,750,800,ST6R.tsv
S0572,163,45,41,0.27607361963190186,S0571,58,28,23,0.4827586206896552,S0517,93,37,28,0.3978494623655914,314,110,0.3503184713375796,92,800,850,ST6R.tsv
S0572,127,34,27,0.2677165354330709,S0571,39,21,18,0.5384615384615384,S0517,74,41,31,0.5540540540540541,240,96,0.4,76,850,900,ST6R.tsv
S0572,36,15,11,0.4166666666666667,S0571,72,36,31,0.5,S0517,178,57,51,0.3202247191011236,286,108,0.3776223776223776,93,900,950,ST6R.tsv
S0572,71,42,38,0.5915492957746479,S0571,40,14,11,0.35,S0517,137,17,17,0.12408759124087591,248,73,0.29435483870967744,66,950,985,ST6R.tsv
