speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0521,87,40,36,0.45977011494252873,S0519,52,17,16,0.3269230769230769,S0520,358,96,88,0.2681564245810056,497,153,0.30784708249496984,140,0,50,SZNA.tsv
S0521,75,18,17,0.24,S0519,116,44,40,0.3793103448275862,S0520,347,149,135,0.42939481268011526,538,211,0.39219330855018586,192,50,100,SZNA.tsv
S0521,111,66,53,0.5945945945945946,S0519,154,51,47,0.33116883116883117,S0520,455,138,113,0.3032967032967033,720,255,0.3541666666666667,213,100,150,SZNA.tsv
S0521,302,109,97,0.3609271523178808,S0519,40,29,27,0.725,S0520,198,83,69,0.41919191919191917,540,221,0.40925925925925927,193,150,200,SZNA.tsv
S0521,92,45,36,0.4891304347826087,S0519,235,80,72,0.3404255319148936,S0520,129,52,43,0.40310077519379844,456,177,0.3881578947368421,151,200,250,SZNA.tsv
S0521,59,31,25,0.5254237288135594,S0519,138,27,26,0.1956521739130435,S0520,638,313,268,0.49059561128526646,835,371,0.444311377245509,319,250,300,SZNA.tsv
S0521,108,50,45,0.46296296296296297,S0519,32,22,18,0.6875,S0520,446,135,126,0.30269058295964124,586,207,0.3532423208191126,189,300,350,SZNA.tsv
S0521,186,69,67,0.3709677419354839,S0519,69,29,24,0.42028985507246375,S0520,275,129,116,0.4690909090909091,530,227,0.42830188679245285,207,350,400,SZNA.tsv
S0521,131,64,58,0.48854961832061067,S0519,79,24,21,0.3037974683544304,S0520,307,93,71,0.30293159609120524,517,181,0.35009671179883944,150,400,450,SZNA.tsv
S0521,211,107,93,0.5071090047393365,S0519,74,23,21,0.3108108108108108,S0520,204,77,70,0.37745098039215685,489,207,0.4233128834355828,184,450,500,SZNA.tsv
S0521,47,26,26,0.5531914893617021,S0519,140,54,49,0.38571428571428573,S0520,312,119,106,0.3814102564102564,499,199,0.39879759519038077,181,500,550,SZNA.tsv
S0521,59,18,16,0.3050847457627119,S0519,144,66,60,0.4583333333333333,S0520,209,80,72,0.3827751196172249,412,164,0.39805825242718446,148,550,600,SZNA.tsv
S0521,0,0,0,0.0,S0519,250,92,82,0.368,S0520,199,83,71,0.41708542713567837,449,175,0.3897550111358575,153,600,650,SZNA.tsv
S0521,0,0,0,0.0,S0519,169,73,64,0.4319526627218935,S0520,267,87,80,0.3258426966292135,436,160,0.3669724770642202,144,650,686,SZNA.tsv
