speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0012,105,33,32,0.3142857142857143,S0008,240,99,91,0.4125,S0013,8,6,6,0.75,353,138,0.3909348441926346,129,0,50,SZQ9.tsv
S0012,158,71,62,0.44936708860759494,S0008,153,32,27,0.20915032679738563,S0013,41,25,21,0.6097560975609756,352,128,0.36363636363636365,110,50,100,SZQ9.tsv
S0012,80,31,28,0.3875,S0008,133,50,43,0.37593984962406013,S0013,24,10,9,0.4166666666666667,237,91,0.38396624472573837,80,100,150,SZQ9.tsv
S0012,124,52,44,0.41935483870967744,S0008,133,33,24,0.24812030075187969,S0013,46,24,20,0.5217391304347826,303,109,0.35973597359735976,88,150,200,SZQ9.tsv
S0012,214,100,75,0.4672897196261682,S0008,132,45,40,0.3409090909090909,S0013,5,1,1,0.2,351,146,0.41595441595441596,116,200,250,SZQ9.tsv
S0012,142,59,47,0.4154929577464789,S0008,80,43,36,0.5375,S0013,38,11,9,0.2894736842105263,260,113,0.4346153846153846,92,250,300,SZQ9.tsv
S0012,96,53,35,0.5520833333333334,S0008,127,33,32,0.25984251968503935,S0013,16,13,13,0.8125,239,99,0.41422594142259417,80,300,350,SZQ9.tsv
S0012,112,50,43,0.44642857142857145,S0008,204,78,64,0.38235294117647056,S0013,23,14,12,0.6086956521739131,339,142,0.41887905604719766,119,350,400,SZQ9.tsv
S0012,88,44,39,0.5,S0008,154,55,49,0.35714285714285715,S0013,46,22,22,0.4782608695652174,288,121,0.4201388888888889,110,400,450,SZQ9.tsv
S0012,176,67,55,0.3806818181818182,S0008,121,53,36,0.4380165289256198,S0013,6,5,5,0.8333333333333334,303,125,0.41254125412541254,96,450,500,SZQ9.tsv
S0012,71,35,26,0.49295774647887325,S0008,202,90,83,0.44554455445544555,S0013,69,30,27,0.43478260869565216,342,155,0.45321637426900585,136,500,550,SZQ9.tsv
S0012,81,37,31,0.4567901234567901,S0008,252,79,69,0.3134920634920635,S0013,11,6,6,0.5454545454545454,344,122,0.3546511627906977,106,550,600,SZQ9.tsv
S0012,70,41,35,0.5857142857142857,S0008,172,50,46,0.29069767441860467,S0013,11,9,9,0.8181818181818182,253,100,0.3952569169960474,90,600,650,SZQ9.tsv
S0012,8,0,0,0.0,S0008,6,1,1,0.16666666666666666,S0013,1,0,0,0.0,15,1,0.06666666666666667,1,650,655,SZQ9.tsv
