speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0012,77,27,23,0.35064935064935066,S0013,20,4,4,0.2,S0008,293,28,23,0.09556313993174062,390,59,0.15128205128205127,50,0,50,SF2Q.tsv
S0012,38,8,8,0.21052631578947367,S0013,10,4,4,0.4,S0008,309,10,8,0.032362459546925564,357,22,0.06162464985994398,20,50,100,SF2Q.tsv
S0012,57,23,16,0.40350877192982454,S0013,26,7,5,0.2692307692307692,S0008,347,27,20,0.07780979827089338,430,57,0.1325581395348837,41,100,150,SF2Q.tsv
S0012,65,26,17,0.4,S0013,34,11,11,0.3235294117647059,S0008,206,31,16,0.15048543689320387,305,68,0.22295081967213115,44,150,200,SF2Q.tsv
S0012,124,30,24,0.24193548387096775,S0013,43,13,8,0.3023255813953488,S0008,140,18,15,0.12857142857142856,307,61,0.1986970684039088,47,200,250,SF2Q.tsv
S0012,89,20,17,0.2247191011235955,S0013,56,13,8,0.23214285714285715,S0008,136,23,16,0.16911764705882354,281,56,0.199288256227758,41,250,300,SF2Q.tsv
S0012,86,27,17,0.313953488372093,S0013,79,14,10,0.17721518987341772,S0008,232,32,26,0.13793103448275862,397,73,0.18387909319899245,53,300,350,SF2Q.tsv
S0012,39,14,13,0.358974358974359,S0013,35,6,5,0.17142857142857143,S0008,222,44,29,0.1981981981981982,296,64,0.21621621621621623,47,350,400,SF2Q.tsv
S0012,74,33,21,0.44594594594594594,S0013,8,2,2,0.25,S0008,267,18,16,0.06741573033707865,349,53,0.1518624641833811,39,400,450,SF2Q.tsv
S0012,71,41,32,0.5774647887323944,S0013,7,1,1,0.14285714285714285,S0008,263,24,19,0.09125475285171103,341,66,0.1935483870967742,52,450,500,SF2Q.tsv
S0012,84,32,23,0.38095238095238093,S0013,28,2,2,0.07142857142857142,S0008,295,4,4,0.013559322033898305,407,38,0.09336609336609336,29,500,550,SF2Q.tsv
S0012,176,39,25,0.2215909090909091,S0013,13,5,4,0.38461538461538464,S0008,229,42,29,0.18340611353711792,418,86,0.20574162679425836,58,550,600,SF2Q.tsv
S0012,67,19,16,0.2835820895522388,S0013,17,1,1,0.058823529411764705,S0008,331,12,10,0.03625377643504532,415,32,0.07710843373493977,27,600,650,SF2Q.tsv
