speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0341,80,13,8,0.1625,S0337,121,31,23,0.256198347107438,S0336,160,33,21,0.20625,361,77,0.21329639889196675,52,0,50,SG78.tsv
S0341,27,2,2,0.07407407407407407,S0337,85,29,18,0.3411764705882353,S0336,366,33,28,0.09016393442622951,478,64,0.13389121338912133,48,50,100,SG78.tsv
S0341,100,18,12,0.18,S0337,87,19,15,0.21839080459770116,S0336,367,56,43,0.15258855585831063,554,93,0.16787003610108303,70,100,150,SG78.tsv
S0341,7,1,1,0.14285714285714285,S0337,209,63,39,0.3014354066985646,S0336,328,39,26,0.11890243902439024,544,103,0.18933823529411764,66,150,200,SG78.tsv
S0341,25,3,2,0.12,S0337,225,31,22,0.13777777777777778,S0336,283,84,56,0.2968197879858657,533,118,0.22138836772983114,80,200,250,SG78.tsv
S0341,33,13,9,0.3939393939393939,S0337,237,51,38,0.21518987341772153,S0336,346,42,32,0.12138728323699421,616,106,0.17207792207792208,79,250,300,SG78.tsv
S0341,60,18,9,0.3,S0337,212,35,25,0.1650943396226415,S0336,425,82,66,0.19294117647058823,697,135,0.19368723098995697,100,300,350,SG78.tsv
S0341,62,8,6,0.12903225806451613,S0337,89,12,10,0.1348314606741573,S0336,140,16,12,0.11428571428571428,291,36,0.12371134020618557,28,350,400,SG78.tsv
S0341,99,19,12,0.1919191919191919,S0337,122,24,20,0.19672131147540983,S0336,240,37,31,0.15416666666666667,461,80,0.1735357917570499,63,400,450,SG78.tsv
S0341,98,25,18,0.25510204081632654,S0337,140,27,18,0.19285714285714287,S0336,178,23,21,0.12921348314606743,416,75,0.18028846153846154,57,450,500,SG78.tsv
S0341,20,1,1,0.05,S0337,96,4,3,0.041666666666666664,S0336,436,54,40,0.12385321100917432,552,59,0.1068840579710145,44,500,550,SG78.tsv
S0341,73,7,5,0.0958904109589041,S0337,110,30,21,0.2727272727272727,S0336,397,57,44,0.14357682619647355,580,94,0.16206896551724137,70,550,600,SG78.tsv
S0341,99,22,16,0.2222222222222222,S0337,199,15,11,0.07537688442211055,S0336,146,26,18,0.1780821917808219,444,63,0.14189189189189189,45,600,650,SG78.tsv
S0341,54,13,11,0.24074074074074073,S0337,248,62,36,0.25,S0336,217,25,17,0.1152073732718894,519,100,0.1926782273603083,64,650,700,SG78.tsv
S0341,94,17,12,0.18085106382978725,S0337,132,37,27,0.2803030303030303,S0336,366,58,43,0.15846994535519127,592,112,0.1891891891891892,82,700,750,SG78.tsv
S0341,93,15,12,0.16129032258064516,S0337,116,17,13,0.14655172413793102,S0336,227,34,27,0.14977973568281938,436,66,0.15137614678899083,52,750,800,SG78.tsv
S0341,128,20,12,0.15625,S0337,121,19,14,0.15702479338842976,S0336,216,54,34,0.25,465,93,0.2,60,800,850,SG78.tsv
S0341,99,14,12,0.1414141414141414,S0337,35,11,9,0.3142857142857143,S0336,284,16,12,0.056338028169014086,418,41,0.09808612440191387,33,850,900,SG78.tsv
S0341,72,9,6,0.125,S0337,170,46,31,0.27058823529411763,S0336,420,74,56,0.1761904761904762,662,129,0.19486404833836857,93,900,950,SG78.tsv
S0341,33,5,4,0.15151515151515152,S0337,17,0,0,0.0,S0336,934,19,12,0.020342612419700215,984,24,0.024390243902439025,16,950,1000,SG78.tsv
S0341,42,9,7,0.21428571428571427,S0337,0,0,0,0.0,S0336,547,11,7,0.02010968921389397,589,20,0.03395585738539898,14,1000,1050,SG78.tsv
S0341,74,8,7,0.10810810810810811,S0337,99,24,17,0.24242424242424243,S0336,427,87,64,0.20374707259953162,600,119,0.19833333333333333,88,1050,1100,SG78.tsv
S0341,197,18,11,0.09137055837563451,S0337,74,28,20,0.3783783783783784,S0336,170,39,31,0.22941176470588234,441,85,0.1927437641723356,62,1100,1150,SG78.tsv
S0341,26,6,6,0.23076923076923078,S0337,121,23,16,0.19008264462809918,S0336,271,21,19,0.07749077490774908,418,50,0.11961722488038277,41,1150,1200,SG78.tsv
S0341,33,4,3,0.12121212121212122,S0337,65,26,19,0.4,S0336,295,13,11,0.04406779661016949,393,43,0.10941475826972011,33,1200,1250,SG78.tsv
S0341,29,5,5,0.1724137931034483,S0337,80,2,2,0.025,S0336,362,44,33,0.12154696132596685,471,51,0.10828025477707007,40,1250,1300,SG78.tsv
S0341,34,4,4,0.11764705882352941,S0337,0,0,0,0.0,S0336,540,2,2,0.003703703703703704,574,6,0.010452961672473868,6,1300,1350,SG78.tsv
S0341,16,1,1,0.0625,S0337,6,0,0,0.0,S0336,50,4,1,0.08,72,5,0.06944444444444445,2,1350,1360,SG78.tsv
