speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0559,142,26,18,0.18309859154929578,S0544,67,13,10,0.19402985074626866,S0543,143,26,21,0.18181818181818182,352,65,0.1846590909090909,49,0,50,SRHV.tsv
S0559,114,30,20,0.2631578947368421,S0544,95,21,16,0.22105263157894736,S0543,397,68,44,0.1712846347607053,606,119,0.19636963696369636,80,50,100,SRHV.tsv
S0559,210,43,27,0.20476190476190476,S0544,51,22,12,0.43137254901960786,S0543,264,63,50,0.23863636363636365,525,128,0.2438095238095238,89,100,150,SRHV.tsv
S0559,83,17,11,0.20481927710843373,S0544,132,18,16,0.13636363636363635,S0543,106,14,11,0.1320754716981132,321,49,0.1526479750778816,38,150,200,SRHV.tsv
S0559,295,73,53,0.24745762711864408,S0544,115,23,18,0.2,S0543,120,23,15,0.19166666666666668,530,119,0.22452830188679246,86,200,250,SRHV.tsv
S0559,301,48,36,0.15946843853820597,S0544,116,34,22,0.29310344827586204,S0543,85,26,18,0.3058823529411765,502,108,0.2151394422310757,76,250,300,SRHV.tsv
S0559,158,33,23,0.2088607594936709,S0544,71,15,11,0.2112676056338028,S0543,174,25,17,0.14367816091954022,403,73,0.18114143920595532,51,300,350,SRHV.tsv
S0559,158,20,13,0.12658227848101267,S0544,64,10,6,0.15625,S0543,78,12,7,0.15384615384615385,300,42,0.14,26,350,400,SRHV.tsv
S0559,93,28,14,0.3010752688172043,S0544,174,31,23,0.1781609195402299,S0543,90,29,16,0.32222222222222224,357,88,0.24649859943977592,53,400,450,SRHV.tsv
S0559,222,43,33,0.19369369369369369,S0544,225,34,21,0.1511111111111111,S0543,0,0,0,0.0,447,77,0.17225950782997762,54,450,500,SRHV.tsv
S0559,128,25,20,0.1953125,S0544,99,22,19,0.2222222222222222,S0543,10,4,3,0.4,237,51,0.21518987341772153,42,500,550,SRHV.tsv
S0559,187,35,23,0.18716577540106952,S0544,96,37,23,0.3854166666666667,S0543,70,18,12,0.2571428571428571,353,90,0.254957507082153,58,550,600,SRHV.tsv
S0559,143,26,12,0.18181818181818182,S0544,255,53,43,0.20784313725490197,S0543,58,21,15,0.3620689655172414,456,100,0.21929824561403508,70,600,650,SRHV.tsv
S0559,378,32,21,0.08465608465608465,S0544,34,22,12,0.6470588235294118,S0543,76,26,19,0.34210526315789475,488,80,0.16393442622950818,52,650,700,SRHV.tsv
S0559,216,34,28,0.1574074074074074,S0544,62,16,11,0.25806451612903225,S0543,89,26,19,0.29213483146067415,367,76,0.20708446866485014,58,700,750,SRHV.tsv
S0559,149,35,23,0.2348993288590604,S0544,113,32,21,0.2831858407079646,S0543,74,8,8,0.10810810810810811,336,75,0.22321428571428573,52,750,800,SRHV.tsv
S0559,216,29,24,0.13425925925925927,S0544,90,22,15,0.24444444444444444,S0543,99,28,21,0.2828282828282828,405,79,0.19506172839506172,60,800,850,SRHV.tsv
S0559,57,11,10,0.19298245614035087,S0544,139,28,15,0.2014388489208633,S0543,109,11,5,0.10091743119266056,305,50,0.16393442622950818,30,850,900,SRHV.tsv
S0559,90,12,9,0.13333333333333333,S0544,142,21,12,0.14788732394366197,S0543,62,12,7,0.1935483870967742,294,45,0.15306122448979592,28,900,950,SRHV.tsv
S0559,40,5,5,0.125,S0544,133,37,19,0.2781954887218045,S0543,93,26,19,0.27956989247311825,266,68,0.2556390977443609,43,950,1000,SRHV.tsv
S0559,0,0,0,0.0,S0544,107,18,10,0.16822429906542055,S0543,132,14,12,0.10606060606060606,239,32,0.13389121338912133,22,1000,1050,SRHV.tsv
S0559,0,0,0,0.0,S0544,14,4,3,0.2857142857142857,S0543,8,0,0,0.0,22,4,0.18181818181818182,3,1050,1058,SRHV.tsv
