speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0084,108,21,13,0.19444444444444445,S0041,269,33,29,0.12267657992565056,S0046,0,0,0,0.0,377,54,0.14323607427055704,42,0,50,SUNR.tsv
S0084,416,56,42,0.1346153846153846,S0041,110,23,15,0.20909090909090908,S0046,0,0,0,0.0,526,79,0.15019011406844107,57,50,100,SUNR.tsv
S0084,303,86,61,0.2838283828382838,S0041,268,44,35,0.16417910447761194,S0046,0,0,0,0.0,571,130,0.2276707530647986,96,100,150,SUNR.tsv
S0084,549,42,27,0.07650273224043716,S0041,103,39,27,0.3786407766990291,S0046,0,0,0,0.0,652,81,0.12423312883435583,54,150,200,SUNR.tsv
S0084,634,185,120,0.2917981072555205,S0041,319,47,37,0.14733542319749215,S0046,0,0,0,0.0,953,232,0.24344176285414482,157,200,250,SUNR.tsv
S0084,250,52,35,0.208,S0041,257,34,24,0.13229571984435798,S0046,0,0,0,0.0,507,86,0.16962524654832348,59,250,300,SUNR.tsv
S0084,359,56,41,0.15598885793871867,S0041,227,32,27,0.14096916299559473,S0046,0,0,0,0.0,586,88,0.15017064846416384,68,300,350,SUNR.tsv
S0084,579,29,21,0.05008635578583765,S0041,104,39,26,0.375,S0046,8,4,2,0.5,691,72,0.10419681620839363,49,350,400,SUNR.tsv
S0084,36,2,2,0.05555555555555555,S0041,185,26,22,0.14054054054054055,S0046,177,18,16,0.1016949152542373,398,46,0.11557788944723618,40,400,450,SUNR.tsv
S0084,159,49,34,0.3081761006289308,S0041,368,68,44,0.18478260869565216,S0046,162,26,12,0.16049382716049382,689,143,0.20754716981132076,90,450,500,SUNR.tsv
S0084,379,40,30,0.10554089709762533,S0041,179,41,36,0.22905027932960895,S0046,0,0,0,0.0,558,81,0.14516129032258066,66,500,550,SUNR.tsv
S0084,312,72,54,0.23076923076923078,S0041,311,48,31,0.15434083601286175,S0046,0,0,0,0.0,623,120,0.1926163723916533,85,550,600,SUNR.tsv
S0084,128,11,9,0.0859375,S0041,142,20,15,0.14084507042253522,S0046,98,31,23,0.3163265306122449,368,62,0.16847826086956522,47,600,650,SUNR.tsv
S0084,170,25,18,0.14705882352941177,S0041,49,8,6,0.16326530612244897,S0046,124,26,22,0.20967741935483872,343,59,0.17201166180758018,46,650,700,SUNR.tsv
S0084,160,45,27,0.28125,S0041,80,11,7,0.1375,S0046,133,12,9,0.09022556390977443,373,68,0.18230563002680966,43,700,743,SUNR.tsv
