speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0326,51,20,12,0.39215686274509803,S0383,334,36,30,0.10778443113772455,S0328,42,7,4,0.16666666666666666,427,63,0.14754098360655737,46,0,50,SXCB.tsv
S0326,67,27,15,0.40298507462686567,S0383,440,53,29,0.12045454545454545,S0328,529,187,116,0.3534971644612476,1036,267,0.2577220077220077,160,50,100,SXCB.tsv
S0326,21,9,6,0.42857142857142855,S0383,334,110,74,0.32934131736526945,S0328,582,94,62,0.16151202749140894,937,213,0.22732123799359658,142,100,150,SXCB.tsv
S0326,92,27,18,0.29347826086956524,S0383,280,30,22,0.10714285714285714,S0328,132,26,15,0.19696969696969696,504,83,0.16468253968253968,55,150,200,SXCB.tsv
S0326,168,60,42,0.35714285714285715,S0383,248,68,48,0.27419354838709675,S0328,180,37,24,0.20555555555555555,596,165,0.27684563758389263,114,200,250,SXCB.tsv
S0326,115,39,26,0.3391304347826087,S0383,182,51,39,0.2802197802197802,S0328,435,57,38,0.1310344827586207,732,147,0.20081967213114754,103,250,300,SXCB.tsv
S0326,143,44,29,0.3076923076923077,S0383,68,16,13,0.23529411764705882,S0328,468,67,51,0.14316239316239315,679,127,0.187039764359352,93,300,350,SXCB.tsv
S0326,129,31,16,0.24031007751937986,S0383,111,39,24,0.35135135135135137,S0328,451,140,93,0.31042128603104213,691,210,0.30390738060781475,133,350,400,SXCB.tsv
S0326,156,51,35,0.3269230769230769,S0383,244,44,34,0.18032786885245902,S0328,199,23,17,0.11557788944723618,599,118,0.19699499165275458,86,400,450,SXCB.tsv
S0326,217,27,22,0.12442396313364056,S0383,77,30,20,0.38961038961038963,S0328,149,27,21,0.18120805369127516,443,84,0.18961625282167044,63,450,500,SXCB.tsv
S0326,101,27,19,0.26732673267326734,S0383,643,112,82,0.17418351477449456,S0328,90,20,12,0.2222222222222222,834,159,0.1906474820143885,113,500,550,SXCB.tsv
S0326,569,197,125,0.3462214411247803,S0383,326,34,21,0.10429447852760736,S0328,301,112,64,0.37209302325581395,1196,343,0.28678929765886285,210,550,600,SXCB.tsv
S0326,226,70,49,0.30973451327433627,S0383,268,81,47,0.30223880597014924,S0328,372,72,50,0.1935483870967742,866,223,0.2575057736720554,146,600,650,SXCB.tsv
S0326,185,38,27,0.20540540540540542,S0383,116,41,24,0.35344827586206895,S0328,90,18,10,0.2,391,97,0.24808184143222506,61,650,700,SXCB.tsv
S0326,245,52,42,0.21224489795918366,S0383,253,81,63,0.3201581027667984,S0328,14,2,2,0.14285714285714285,512,135,0.263671875,107,700,750,SXCB.tsv
S0326,151,29,20,0.19205298013245034,S0383,51,9,8,0.17647058823529413,S0328,111,25,17,0.22522522522522523,313,63,0.2012779552715655,45,750,800,SXCB.tsv
S0326,179,36,28,0.2011173184357542,S0383,47,10,7,0.2127659574468085,S0328,198,58,37,0.29292929292929293,424,104,0.24528301886792453,72,800,850,SXCB.tsv
S0326,84,21,10,0.25,S0383,239,63,50,0.26359832635983266,S0328,163,38,30,0.2331288343558282,486,122,0.25102880658436216,90,850,900,SXCB.tsv
S0326,70,24,21,0.34285714285714286,S0383,510,21,17,0.041176470588235294,S0328,37,5,2,0.13513513513513514,617,50,0.08103727714748785,40,900,950,SXCB.tsv
S0326,250,75,50,0.3,S0383,226,45,31,0.19911504424778761,S0328,252,74,39,0.29365079365079366,728,194,0.2664835164835165,120,950,1000,SXCB.tsv
S0326,135,25,16,0.18518518518518517,S0383,169,41,30,0.24260355029585798,S0328,309,83,51,0.2686084142394822,613,149,0.24306688417618272,97,1000,1050,SXCB.tsv
S0326,275,47,35,0.1709090909090909,S0383,131,38,25,0.2900763358778626,S0328,72,16,10,0.2222222222222222,478,101,0.2112970711297071,70,1050,1100,SXCB.tsv
S0326,178,40,24,0.2247191011235955,S0383,145,30,16,0.20689655172413793,S0328,113,31,18,0.2743362831858407,436,101,0.231651376146789,58,1100,1150,SXCB.tsv
S0326,108,29,19,0.26851851851851855,S0383,177,39,31,0.22033898305084745,S0328,126,34,21,0.2698412698412698,411,102,0.24817518248175183,71,1150,1200,SXCB.tsv
S0326,11,5,3,0.45454545454545453,S0383,627,216,144,0.3444976076555024,S0328,269,66,41,0.24535315985130113,907,287,0.3164277839029768,188,1200,1250,SXCB.tsv
S0326,11,6,5,0.5454545454545454,S0383,575,169,108,0.29391304347826086,S0328,543,167,107,0.30755064456721914,1129,342,0.3029229406554473,220,1250,1300,SXCB.tsv
S0326,59,19,11,0.3220338983050847,S0383,255,43,22,0.16862745098039217,S0328,281,67,38,0.23843416370106763,595,129,0.21680672268907564,71,1300,1350,SXCB.tsv
S0326,100,27,18,0.27,S0383,177,46,32,0.2598870056497175,S0328,419,96,66,0.22911694510739858,696,169,0.24281609195402298,116,1350,1400,SXCB.tsv
S0326,92,32,15,0.34782608695652173,S0383,106,25,17,0.2358490566037736,S0328,425,85,57,0.2,623,142,0.22792937399678972,89,1400,1450,SXCB.tsv
S0326,31,5,3,0.16129032258064516,S0383,13,1,1,0.07692307692307693,S0328,45,6,3,0.13333333333333333,89,12,0.1348314606741573,7,1450,1468,SXCB.tsv
