speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0152,402,31,21,0.07711442786069651,S0012,70,17,14,0.24285714285714285,S0013,24,3,3,0.125,496,51,0.1028225806451613,38,0,50,SYHW.tsv
S0152,341,33,21,0.0967741935483871,S0012,76,17,14,0.2236842105263158,S0013,18,6,5,0.3333333333333333,435,56,0.12873563218390804,40,50,100,SYHW.tsv
S0152,450,7,7,0.015555555555555555,S0012,26,11,11,0.4230769230769231,S0013,14,4,3,0.2857142857142857,490,22,0.044897959183673466,21,100,150,SYHW.tsv
S0152,249,20,17,0.08032128514056225,S0012,77,22,18,0.2857142857142857,S0013,16,8,5,0.5,342,50,0.14619883040935672,40,150,200,SYHW.tsv
S0152,135,20,18,0.14814814814814814,S0012,141,26,23,0.18439716312056736,S0013,76,8,7,0.10526315789473684,352,54,0.1534090909090909,48,200,250,SYHW.tsv
S0152,63,8,7,0.12698412698412698,S0012,175,35,25,0.2,S0013,85,19,15,0.2235294117647059,323,62,0.19195046439628483,47,250,300,SYHW.tsv
S0152,236,75,44,0.3177966101694915,S0012,245,33,23,0.1346938775510204,S0013,35,3,2,0.08571428571428572,516,111,0.21511627906976744,69,300,350,SYHW.tsv
S0152,231,18,15,0.07792207792207792,S0012,199,47,36,0.23618090452261306,S0013,15,4,3,0.26666666666666666,445,69,0.1550561797752809,54,350,400,SYHW.tsv
S0152,109,24,18,0.22018348623853212,S0012,193,35,21,0.18134715025906736,S0013,44,6,5,0.13636363636363635,346,65,0.18786127167630057,44,400,450,SYHW.tsv
S0152,141,19,15,0.1347517730496454,S0012,167,47,29,0.281437125748503,S0013,60,4,3,0.06666666666666667,368,70,0.19021739130434784,47,450,500,SYHW.tsv
S0152,259,47,36,0.18146718146718147,S0012,156,46,25,0.2948717948717949,S0013,8,0,0,0.0,423,93,0.2198581560283688,61,500,550,SYHW.tsv
S0152,176,22,16,0.125,S0012,348,81,57,0.23275862068965517,S0013,12,0,0,0.0,536,103,0.1921641791044776,73,550,600,SYHW.tsv
S0152,371,103,65,0.2776280323450135,S0012,186,51,31,0.27419354838709675,S0013,86,9,6,0.10465116279069768,643,163,0.2534992223950233,102,600,650,SYHW.tsv
S0152,83,18,15,0.21686746987951808,S0012,235,59,34,0.251063829787234,S0013,101,17,9,0.16831683168316833,419,94,0.2243436754176611,58,650,700,SYHW.tsv
S0152,173,43,31,0.24855491329479767,S0012,334,69,48,0.20658682634730538,S0013,36,5,4,0.1388888888888889,543,117,0.2154696132596685,83,700,750,SYHW.tsv
S0152,86,26,18,0.3023255813953488,S0012,129,20,12,0.15503875968992248,S0013,18,2,2,0.1111111111111111,233,48,0.20600858369098712,32,750,800,SYHW.tsv
S0152,102,13,10,0.12745098039215685,S0012,275,46,25,0.16727272727272727,S0013,29,5,4,0.1724137931034483,406,64,0.15763546798029557,39,800,850,SYHW.tsv
S0152,246,33,20,0.13414634146341464,S0012,113,20,14,0.17699115044247787,S0013,37,14,9,0.3783783783783784,396,67,0.1691919191919192,43,850,900,SYHW.tsv
S0152,70,0,0,0.0,S0012,21,2,2,0.09523809523809523,S0013,11,1,1,0.09090909090909091,102,3,0.029411764705882353,3,900,920,SYHW.tsv
