Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
the,1,34,"[0, 4, 6, 9, 18, 34, 36, 41, 44, 49, 50, 54, 56, 57, 59, 60, 62, 63, 66, 70, 81, 83, 92, 101, 103, 104, 115, 117, 120, 124, 126, 129, 131, 134, 136, 139, 147, 149, 151, 153, 158, 160, 162, 166, 168, 173, 177, 178, 179, 184, 191, 193, 198, 199, 202, 204, 205, 207, 209, 213, 214, 215, 218, 220, 227, 229, 234, 238, 239, 246, 251, 252, 256, 257, 258, 259, 261, 274, 279, 288, 290, 300, 303, 305, 307, 317, 320, 322, 323, 325, 332, 333, 337, 345, 377, 382, 391, 407, 450, 451, 456, 467, 471, 482, 489, 492, 498, 500, 505, 514, 522, 529, 531, 550, 564, 574, 576, 578, 592, 595, 608, 609, 611, 612, 616, 618, 620, 622, 625, 627, 630, 634, 640, 643, 646, 647, 649, 655, 656, 664, 670, 686, 735, 743, 749, 758, 791, 799, 801, 805, 811, 826, 828, 830, 831, 832, 843, 860, 864, 866, 869, 874, 876, 880, 881, 895, 906, 907, 911, 914, 918, 920, 928, 929, 932, 936, 955, 960, 964, 968, 970, 974, 977, 980, 983, 990, 991, 993, 1001, 1002, 1007, 1013, 1014, 1016, 1023, 1029, 1045, 1046, 1049, 1050, 1053, 1057, 1059, 1060, 1062, 1063, 1064, 1070, 1076, 1078, 1082, 1100, 1104, 1106, 1107, 1108, 1109, 1117, 1128, 1130, 1134, 1137, 1139, 1143, 1148, 1151, 1158, 1160, 1161, 1162, 1163, 1167, 1169, 1175, 1179, 1180, 1183, 1187, 1198, 1205, 1216, 1217, 1219, 1221, 1222, 1223, 1226, 1228, 1229, 1231, 1232, 1234, 1236, 1241, 1248, 1250, 1257, 1272, 1274, 1282, 1286, 1298, 1303, 1305, 1319, 1321, 1324, 1327, 1328, 1338, 1343, 1347, 1355, 1373, 1378, 1395, 1396, 1412, 1418, 1424, 1430]",SUQM.tsv
when,1,34,"[0, 34, 49, 86, 115, 129, 144, 168, 395, 522, 527, 529, 578, 595, 597, 649, 664, 680, 683, 721, 793, 828, 904, 907, 920, 929, 932, 952, 960, 966, 1080, 1137, 1187, 1210, 1212, 1266]",SUQM.tsv
be,1,34,"[0, 2, 4, 6, 9, 14, 18, 26, 30, 34, 36, 39, 42, 44, 49, 53, 54, 57, 59, 67, 68, 70, 88, 89, 92, 96, 101, 103, 104, 105, 108, 110, 114, 115, 118, 120, 129, 131, 133, 134, 135, 136, 137, 139, 141, 142, 144, 145, 147, 149, 151, 152, 153, 156, 158, 163, 164, 166, 168, 173, 174, 175, 178, 179, 181, 182, 202, 208, 225, 229, 239, 275, 279, 286, 288, 291, 299, 300, 305, 306, 307, 311, 317, 323, 324, 332, 337, 342, 350, 359, 371, 375, 376, 382, 388, 391, 395, 404, 417, 421, 427, 430, 434, 437, 444, 448, 461, 463, 465, 467, 469, 471, 485, 487, 488, 489, 496, 502, 507, 508, 519, 522, 526, 527, 529, 531, 533, 534, 540, 550, 552, 553, 561, 566, 574, 576, 578, 583, 585, 589, 608, 609, 611, 614, 622, 625, 627, 630, 636, 637, 659, 664, 670, 671, 707, 721, 758, 762, 764, 766, 770, 772, 779, 780, 785, 801, 806, 807, 809, 810, 811, 813, 816, 821, 828, 830, 831, 832, 835, 843, 860, 864, 866, 871, 874, 876, 882, 884, 888, 914, 929, 936, 942, 946, 955, 959, 971, 974, 978, 991, 996, 998, 999, 1002, 1012, 1013, 1014, 1018, 1035, 1046, 1048, 1053, 1059, 1074, 1078, 1080, 1090, 1091, 1093, 1097, 1099, 1100, 1101, 1102, 1104, 1106, 1114, 1115, 1126, 1130, 1134, 1135, 1142, 1143, 1151, 1152, 1160, 1172, 1175, 1185, 1199, 1217, 1221, 1225, 1226, 1231, 1232, 1235, 1241, 1245, 1246, 1248, 1266, 1269, 1274, 1278, 1282, 1286, 1301, 1302, 1303, 1315, 1316, 1317, 1338, 1343, 1347, 1348, 1355, 1361, 1367, 1378, 1386, 1395, 1398, 1412, 1418, 1424, 1434, 1435, 1437, 1438, 1444]",SUQM.tsv
to,1,34,"[0, 4, 6, 8, 9, 12, 16, 18, 24, 26, 32, 34, 36, 37, 42, 44, 54, 57, 66, 68, 72, 73, 81, 83, 90, 92, 106, 113, 115, 120, 124, 125, 128, 133, 134, 135, 139, 144, 149, 154, 158, 160, 162, 168, 169, 171, 173, 189, 198, 201, 204, 208, 222, 231, 258, 286, 307, 313, 314, 323, 324, 332, 352, 371, 373, 378, 390, 393, 412, 414, 426, 428, 434, 485, 492, 499, 505, 507, 519, 521, 522, 551, 552, 553, 561, 564, 566, 567, 570, 578, 589, 595, 600, 622, 628, 634, 649, 653, 655, 664, 670, 678, 693, 696, 714, 718, 725, 736, 741, 746, 748, 749, 751, 753, 754, 758, 759, 766, 776, 780, 781, 791, 793, 797, 799, 805, 811, 813, 821, 826, 828, 832, 835, 846, 869, 874, 906, 909, 929, 931, 962, 993, 1002, 1010, 1012, 1014, 1019, 1023, 1033, 1034, 1042, 1043, 1053, 1060, 1063, 1074, 1075, 1086, 1094, 1106, 1110, 1143, 1146, 1151, 1153, 1158, 1160, 1161, 1169, 1183, 1187, 1196, 1205, 1207, 1214, 1215, 1228, 1241, 1257, 1259, 1288, 1290, 1301, 1315, 1317, 1321, 1324, 1326, 1335, 1340, 1353, 1355, 1365, 1388, 1395, 1412, 1433, 1442]",SUQM.tsv
he,1,36,"[0, 6, 36, 44, 131, 211, 213, 215, 222, 225, 238, 291, 309, 311, 337, 350, 357, 362, 371, 373, 826, 1045, 1143, 1151, 1257, 1261, 1319, 1321, 1338, 1430]",SUQM.tsv
them,1,36,"[0, 11, 14, 18, 36, 44, 53, 54, 120, 124, 125, 126, 151, 153, 202, 240, 244, 251, 255, 262, 307, 320, 393, 469, 622, 713, 764, 775, 779, 793, 909, 1187, 1268, 1276, 1278, 1288, 1290, 1291, 1317, 1321, 1326, 1335, 1340]",SUQM.tsv
out,1,41,"[0, 6, 16, 18, 32, 41, 42, 53, 54, 115, 117, 151, 251, 261, 262, 323, 338, 341, 349, 352, 356, 404, 494, 529, 646, 647, 653, 659, 672, 676, 693, 736, 758, 781, 783, 838, 864, 904, 906, 955, 966, 970, 972, 974, 1046, 1055, 1060, 1063, 1076, 1137, 1160, 1193, 1194, 1276, 1321, 1393, 1444]",SUQM.tsv
them out,2,54,"[0, 53, 54, 262, 1276]",SUQM.tsv
he be,2,131,"[0, 6, 131, 291, 371, 1143]",SUQM.tsv
suppose to,2,133,"[0, 6, 133]",SUQM.tsv
