Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
go,1,1,"[0, 1, 3, 37, 52, 64, 76, 78, 117, 136, 174, 179, 182, 184, 185, 204, 208, 217]",SRGR.tsv
go on,2,64,"[0, 64, 182, 184]",SRGR.tsv
caff,1,4,"[2, 4]",SRGR.tsv
like,1,37,"[8, 37, 89, 97, 101, 102, 105, 138, 140, 174, 205, 208]",SRGR.tsv
isn't it,2,56,"[8, 56, 63, 64, 106, 158, 177]",SRGR.tsv
big,1,18,"[10, 18, 29]",SRGR.tsv
quite,1,111,"[18, 111]",SRGR.tsv
they're,1,118,"[18, 118, 122, 205, 208]",SRGR.tsv
yeah,1,41,"[3, 6, 9, 11, 21, 26, 27, 29, 33, 36, 41, 43, 50, 51, 53, 54, 60, 67, 75, 77, 78, 79, 81, 89, 90, 91, 92, 94, 95, 96, 98, 104, 106, 119, 120, 123, 124, 125, 127, 128, 137, 142, 144, 154, 156, 157, 159, 162, 165, 168, 170, 172, 173, 175, 178, 180, 185, 188, 200, 203, 206, 208, 209, 210, 214, 215, 219, 224, 230, 231]",SRGR.tsv
get,1,46,"[7, 10, 32, 37, 46, 72, 132, 161, 181, 183, 202, 204, 210, 211]",SRGR.tsv
to get,2,72,"[46, 72]",SRGR.tsv
get to,2,183,"[46, 183, 210, 211]",SRGR.tsv
yeah yeah,2,79,"[60, 79, 81, 91, 200, 214]",SRGR.tsv
to have a,3,71,"[9, 71]",SRGR.tsv
to have,2,89,"[9, 71, 89, 192]",SRGR.tsv
tell you,2,208,"[71, 208]",SRGR.tsv
long,1,73,"[72, 73, 217]",SRGR.tsv
alright,1,103,"[72, 74, 103]",SRGR.tsv
double,1,105,"[103, 105]",SRGR.tsv
a bite,2,107,"[7, 97, 107, 216]",SRGR.tsv
start,1,107,"[90, 107]",SRGR.tsv
slur,1,110,"[107, 110, 111]",SRGR.tsv
bite,1,223,"[97, 107, 223]",SRGR.tsv
four pound,2,124,"[121, 124]",SRGR.tsv
something,1,123,"[55, 123, 148, 163, 204]",SRGR.tsv
four pound something,3,124,"[123, 124]",SRGR.tsv
bad,1,172,"[159, 172, 177]",SRGR.tsv
this be,2,213,"[39, 213]",SRGR.tsv
have a,2,22,"[9, 20, 22, 71]",SRGR.tsv
vodka,1,107,"[106, 107]",SRGR.tsv
yeah it,2,159,"[67, 159]",SRGR.tsv
we're go to,3,3,"[1, 3]",SRGR.tsv
go to,2,3,"[1, 3, 117, 136, 217]",SRGR.tsv
we're,1,3,"[1, 3]",SRGR.tsv
cream,1,5,"[1, 5, 9, 10, 13, 19, 20, 24, 25, 26]",SRGR.tsv
cream tea,2,10,"[1, 9, 10, 19, 20]",SRGR.tsv
tea,1,12,"[1, 7, 9, 12, 19, 22, 26]",SRGR.tsv
scones,1,10,"[7, 10, 16, 29, 31]",SRGR.tsv
a pot of tea,4,12,"[7, 12, 22]",SRGR.tsv
enough,1,28,"[7, 28]",SRGR.tsv
but i,2,101,"[7, 101]",SRGR.tsv
in them,2,118,"[7, 118]",SRGR.tsv
i suppose,2,193,"[7, 181, 193]",SRGR.tsv
have a cream tea,4,20,"[9, 20]",SRGR.tsv
i don't know,3,17,"[16, 17, 86, 200, 201, 210, 213]",SRGR.tsv
i don't,2,122,"[17, 37, 86, 122, 138, 140, 189, 200, 201, 208, 210, 213]",SRGR.tsv
know,1,205,"[17, 48, 86, 94, 142, 161, 200, 205, 210, 213]",SRGR.tsv
one,1,19,"[3, 10, 19, 32, 34, 35, 53, 131, 132, 161, 223, 225]",SRGR.tsv
would,1,23,"[16, 23, 166, 192]",SRGR.tsv
we order,2,24,"[23, 24]",SRGR.tsv
two,1,25,"[10, 16, 24, 25, 26, 29, 116, 117, 118]",SRGR.tsv
two cream teas and,4,25,"[24, 25, 26]",SRGR.tsv
that'd be,2,28,"[25, 28]",SRGR.tsv
