speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0529,224,109,94,0.48660714285714285,S0530,287,135,116,0.47038327526132406,S0532,0,0,0,0.0,S0533,0,0,0,0.0,511,244,0.4774951076320939,210,0,50,SB5E.tsv
S0529,143,103,86,0.7202797202797203,S0530,224,141,120,0.6294642857142857,S0532,0,0,0,0.0,S0533,0,0,0,0.0,367,244,0.6648501362397821,206,50,100,SB5E.tsv
S0529,313,212,179,0.6773162939297125,S0530,173,129,101,0.7456647398843931,S0532,0,0,0,0.0,S0533,0,0,0,0.0,486,341,0.7016460905349794,280,100,150,SB5E.tsv
S0529,274,193,169,0.7043795620437956,S0530,170,122,96,0.7176470588235294,S0532,3,3,1,1.0,S0533,0,0,0,0.0,447,318,0.7114093959731543,266,150,200,SB5E.tsv
S0529,205,162,121,0.7902439024390244,S0530,237,167,120,0.7046413502109705,S0532,5,4,3,0.8,S0533,0,0,0,0.0,447,333,0.7449664429530202,244,200,250,SB5E.tsv
S0529,118,90,71,0.7627118644067796,S0530,252,197,153,0.7817460317460317,S0532,18,15,9,0.8333333333333334,S0533,0,0,0,0.0,388,302,0.7783505154639175,233,250,300,SB5E.tsv
S0529,77,57,47,0.7402597402597403,S0530,95,74,59,0.7789473684210526,S0532,197,150,110,0.7614213197969543,S0533,0,0,0,0.0,369,281,0.7615176151761518,216,300,350,SB5E.tsv
S0529,80,67,50,0.8375,S0530,229,184,135,0.8034934497816594,S0532,36,28,24,0.7777777777777778,S0533,0,0,0,0.0,345,279,0.808695652173913,209,350,400,SB5E.tsv
S0529,86,75,47,0.872093023255814,S0530,149,107,85,0.7181208053691275,S0532,121,100,70,0.8264462809917356,S0533,0,0,0,0.0,356,282,0.7921348314606742,202,400,450,SB5E.tsv
S0529,68,55,41,0.8088235294117647,S0530,288,223,171,0.7743055555555556,S0532,90,79,55,0.8777777777777778,S0533,0,0,0,0.0,446,357,0.8004484304932735,267,450,500,SB5E.tsv
S0529,160,126,91,0.7875,S0530,237,195,147,0.8227848101265823,S0532,15,14,9,0.9333333333333333,S0533,0,0,0,0.0,412,335,0.8131067961165048,247,500,550,SB5E.tsv
S0529,239,200,142,0.8368200836820083,S0530,27,22,18,0.8148148148148148,S0532,112,94,71,0.8392857142857143,S0533,0,0,0,0.0,378,316,0.8359788359788359,231,550,600,SB5E.tsv
S0529,34,30,21,0.8823529411764706,S0530,90,73,57,0.8111111111111111,S0532,503,432,288,0.8588469184890656,S0533,0,0,0,0.0,627,535,0.8532695374800638,366,600,650,SB5E.tsv
S0529,34,29,20,0.8529411764705882,S0530,163,128,89,0.7852760736196319,S0532,300,253,176,0.8433333333333334,S0533,0,0,0,0.0,497,410,0.8249496981891348,285,650,700,SB5E.tsv
S0529,9,8,5,0.8888888888888888,S0530,90,74,57,0.8222222222222222,S0532,498,430,299,0.8634538152610441,S0533,0,0,0,0.0,597,512,0.8576214405360134,361,700,750,SB5E.tsv
S0529,44,40,30,0.9090909090909091,S0530,102,85,58,0.8333333333333334,S0532,181,157,115,0.8674033149171271,S0533,0,0,0,0.0,327,282,0.8623853211009175,203,750,800,SB5E.tsv
S0529,70,60,36,0.8571428571428571,S0530,132,118,71,0.8939393939393939,S0532,221,186,122,0.8416289592760181,S0533,2,2,2,1.0,425,366,0.8611764705882353,231,800,850,SB5E.tsv
S0529,129,113,67,0.875968992248062,S0530,59,55,35,0.9322033898305084,S0532,134,110,76,0.8208955223880597,S0533,28,20,17,0.7142857142857143,350,298,0.8514285714285714,195,850,900,SB5E.tsv
S0529,104,95,56,0.9134615384615384,S0530,61,55,38,0.9016393442622951,S0532,149,126,80,0.8456375838926175,S0533,52,47,33,0.9038461538461539,366,323,0.8825136612021858,207,900,950,SB5E.tsv
S0529,144,137,92,0.9513888888888888,S0530,116,92,62,0.7931034482758621,S0532,166,148,101,0.891566265060241,S0533,4,4,3,1.0,430,381,0.8860465116279069,258,950,1000,SB5E.tsv
S0529,103,91,59,0.883495145631068,S0530,60,49,30,0.8166666666666667,S0532,72,59,41,0.8194444444444444,S0533,59,55,35,0.9322033898305084,294,254,0.8639455782312925,165,1000,1050,SB5E.tsv
S0529,115,106,67,0.9217391304347826,S0530,30,26,20,0.8666666666666667,S0532,137,127,79,0.927007299270073,S0533,38,28,19,0.7368421052631579,320,287,0.896875,185,1050,1100,SB5E.tsv
S0529,68,55,36,0.8088235294117647,S0530,66,62,43,0.9393939393939394,S0532,109,89,61,0.8165137614678899,S0533,47,44,27,0.9361702127659575,290,250,0.8620689655172413,167,1100,1150,SB5E.tsv
S0529,91,85,55,0.9340659340659341,S0530,29,28,24,0.9655172413793104,S0532,143,122,84,0.8531468531468531,S0533,53,46,35,0.8679245283018868,316,281,0.8892405063291139,198,1150,1200,SB5E.tsv
S0529,149,127,84,0.8523489932885906,S0530,7,7,7,1.0,S0532,176,162,104,0.9204545454545454,S0533,55,54,35,0.9818181818181818,387,350,0.9043927648578811,230,1200,1250,SB5E.tsv
S0529,168,153,103,0.9107142857142857,S0530,70,65,40,0.9285714285714286,S0532,93,81,55,0.8709677419354839,S0533,63,61,39,0.9682539682539683,394,360,0.9137055837563451,237,1250,1300,SB5E.tsv
S0529,148,134,87,0.9054054054054054,S0530,36,31,21,0.8611111111111112,S0532,196,187,113,0.9540816326530612,S0533,28,27,14,0.9642857142857143,408,379,0.928921568627451,235,1300,1350,SB5E.tsv
S0529,108,97,62,0.8981481481481481,S0530,87,78,48,0.896551724137931,S0532,62,55,33,0.8870967741935484,S0533,46,43,25,0.9347826086956522,303,273,0.900990099009901,168,1350,1385,SB5E.tsv
