speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0689,119,51,46,0.42857142857142855,S0688,123,45,41,0.36585365853658536,S0687,92,33,27,0.358695652173913,S0690,36,21,18,0.5833333333333334,370,150,0.40540540540540543,132,0,50,SKL3.tsv
S0689,33,23,19,0.696969696969697,S0688,124,69,55,0.5564516129032258,S0687,105,51,40,0.4857142857142857,S0690,38,24,15,0.631578947368421,300,167,0.5566666666666666,129,50,100,SKL3.tsv
S0689,79,47,42,0.5949367088607594,S0688,95,54,49,0.5684210526315789,S0687,211,107,92,0.5071090047393365,S0690,12,8,5,0.6666666666666666,397,216,0.5440806045340051,188,100,150,SKL3.tsv
S0689,87,64,50,0.735632183908046,S0688,147,89,72,0.6054421768707483,S0687,117,73,59,0.6239316239316239,S0690,4,3,3,0.75,355,229,0.6450704225352113,184,150,200,SKL3.tsv
S0689,320,223,170,0.696875,S0688,78,43,35,0.5512820512820513,S0687,201,153,113,0.7611940298507462,S0690,5,3,3,0.6,604,422,0.6986754966887417,321,200,250,SKL3.tsv
S0689,172,124,88,0.7209302325581395,S0688,42,33,23,0.7857142857142857,S0687,251,178,133,0.7091633466135459,S0690,22,15,13,0.6818181818181818,487,350,0.7186858316221766,257,250,300,SKL3.tsv
S0689,168,140,104,0.8333333333333334,S0688,100,75,60,0.75,S0687,114,89,64,0.7807017543859649,S0690,28,19,16,0.6785714285714286,410,323,0.7878048780487805,244,300,350,SKL3.tsv
S0689,190,152,122,0.8,S0688,70,51,43,0.7285714285714285,S0687,72,58,49,0.8055555555555556,S0690,16,8,7,0.5,348,269,0.7729885057471264,221,350,400,SKL3.tsv
S0689,79,62,48,0.7848101265822784,S0688,60,51,31,0.85,S0687,135,107,74,0.7925925925925926,S0690,86,60,46,0.6976744186046512,360,280,0.7777777777777778,199,400,450,SKL3.tsv
S0689,104,87,67,0.8365384615384616,S0688,96,75,61,0.78125,S0687,134,98,65,0.7313432835820896,S0690,23,20,15,0.8695652173913043,357,280,0.7843137254901961,208,450,500,SKL3.tsv
S0689,74,59,37,0.7972972972972973,S0688,174,115,88,0.6609195402298851,S0687,303,242,179,0.7986798679867987,S0690,0,0,0,0.0,551,416,0.7549909255898367,304,500,550,SKL3.tsv
S0689,31,27,18,0.8709677419354839,S0688,253,201,151,0.7944664031620553,S0687,140,115,81,0.8214285714285714,S0690,11,10,7,0.9090909090909091,435,353,0.8114942528735632,257,550,600,SKL3.tsv
S0689,156,133,99,0.8525641025641025,S0688,190,143,109,0.7526315789473684,S0687,127,112,79,0.8818897637795275,S0690,2,0,0,0.0,475,388,0.8168421052631579,287,600,650,SKL3.tsv
S0689,176,138,102,0.7840909090909091,S0688,56,47,34,0.8392857142857143,S0687,171,150,105,0.8771929824561403,S0690,51,43,29,0.8431372549019608,454,378,0.8325991189427313,270,650,700,SKL3.tsv
S0689,150,125,91,0.8333333333333334,S0688,178,141,103,0.7921348314606742,S0687,94,74,56,0.7872340425531915,S0690,0,0,0,0.0,422,340,0.8056872037914692,250,700,750,SKL3.tsv
S0689,287,232,161,0.8083623693379791,S0688,43,31,21,0.7209302325581395,S0687,136,125,91,0.9191176470588235,S0690,78,72,51,0.9230769230769231,544,460,0.8455882352941176,324,750,800,SKL3.tsv
S0689,159,135,97,0.8490566037735849,S0688,11,8,7,0.7272727272727273,S0687,150,130,93,0.8666666666666667,S0690,72,64,49,0.8888888888888888,392,337,0.8596938775510204,246,800,850,SKL3.tsv
S0689,129,106,73,0.8217054263565892,S0688,33,26,15,0.7878787878787878,S0687,203,161,104,0.7931034482758621,S0690,49,41,30,0.8367346938775511,414,334,0.8067632850241546,222,850,900,SKL3.tsv
S0689,94,85,65,0.9042553191489362,S0688,51,43,33,0.8431372549019608,S0687,117,103,81,0.8803418803418803,S0690,31,21,16,0.6774193548387096,293,252,0.8600682593856656,195,900,950,SKL3.tsv
S0689,76,67,48,0.881578947368421,S0688,64,54,34,0.84375,S0687,133,116,91,0.8721804511278195,S0690,53,46,31,0.8679245283018868,326,283,0.8680981595092024,204,950,993,SKL3.tsv
