speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0400,85,11,8,0.12941176470588237,S0246,73,10,8,0.136986301369863,S0245,42,10,4,0.23809523809523808,S0249,77,20,17,0.2597402597402597,277,51,0.18411552346570398,37,0,50,STXT.tsv
S0400,109,35,18,0.3211009174311927,S0246,33,7,4,0.21212121212121213,S0245,87,26,16,0.2988505747126437,S0249,40,7,4,0.175,269,75,0.2788104089219331,42,50,100,STXT.tsv
S0400,83,27,19,0.3253012048192771,S0246,60,15,13,0.25,S0245,65,25,14,0.38461538461538464,S0249,66,22,15,0.3333333333333333,274,89,0.3248175182481752,61,100,150,STXT.tsv
S0400,81,31,22,0.38271604938271603,S0246,115,43,31,0.3739130434782609,S0245,23,11,6,0.4782608695652174,S0249,109,39,27,0.3577981651376147,328,124,0.3780487804878049,86,150,200,STXT.tsv
S0400,53,23,12,0.4339622641509434,S0246,192,73,50,0.3802083333333333,S0245,62,28,14,0.45161290322580644,S0249,50,23,17,0.46,357,147,0.4117647058823529,93,200,250,STXT.tsv
S0400,69,29,19,0.42028985507246375,S0246,44,20,14,0.45454545454545453,S0245,53,21,16,0.39622641509433965,S0249,161,79,51,0.4906832298136646,327,149,0.45565749235474007,100,250,300,STXT.tsv
S0400,146,70,51,0.4794520547945205,S0246,207,97,66,0.46859903381642515,S0245,39,17,13,0.4358974358974359,S0249,74,37,26,0.5,466,221,0.4742489270386266,156,300,350,STXT.tsv
S0400,105,45,29,0.42857142857142855,S0246,143,71,44,0.4965034965034965,S0245,20,8,5,0.4,S0249,68,24,16,0.35294117647058826,336,148,0.44047619047619047,94,350,400,STXT.tsv
S0400,42,14,10,0.3333333333333333,S0246,365,201,126,0.5506849315068493,S0245,3,1,1,0.3333333333333333,S0249,115,47,33,0.40869565217391307,525,263,0.5009523809523809,170,400,450,STXT.tsv
S0400,51,24,20,0.47058823529411764,S0246,95,43,30,0.45263157894736844,S0245,16,12,8,0.75,S0249,152,86,56,0.5657894736842105,314,165,0.5254777070063694,114,450,500,STXT.tsv
S0400,60,25,16,0.4166666666666667,S0246,105,53,32,0.5047619047619047,S0245,39,12,8,0.3076923076923077,S0249,62,37,22,0.5967741935483871,266,127,0.4774436090225564,78,500,550,STXT.tsv
S0400,79,27,20,0.34177215189873417,S0246,39,26,14,0.6666666666666666,S0245,56,24,18,0.42857142857142855,S0249,85,49,31,0.5764705882352941,259,126,0.4864864864864865,83,550,600,STXT.tsv
S0400,231,119,77,0.5151515151515151,S0246,0,0,0,0.0,S0245,125,57,37,0.456,S0249,4,4,1,1.0,360,180,0.5,115,600,650,STXT.tsv
S0400,94,54,31,0.574468085106383,S0246,35,20,16,0.5714285714285714,S0245,61,44,20,0.7213114754098361,S0249,43,21,11,0.4883720930232558,233,139,0.5965665236051502,78,650,700,STXT.tsv
S0400,201,118,64,0.5870646766169154,S0246,92,54,36,0.5869565217391305,S0245,26,20,11,0.7692307692307693,S0249,56,39,23,0.6964285714285714,375,231,0.616,134,700,750,STXT.tsv
S0400,214,131,90,0.6121495327102804,S0246,191,106,67,0.5549738219895288,S0245,17,14,8,0.8235294117647058,S0249,48,30,17,0.625,470,281,0.597872340425532,182,750,800,STXT.tsv
S0400,75,46,28,0.6133333333333333,S0246,245,145,86,0.5918367346938775,S0245,41,32,22,0.7804878048780488,S0249,3,2,1,0.6666666666666666,364,225,0.6181318681318682,137,800,850,STXT.tsv
S0400,43,28,18,0.6511627906976745,S0246,231,161,97,0.696969696969697,S0245,16,10,7,0.625,S0249,15,7,4,0.4666666666666667,305,206,0.6754098360655738,126,850,900,STXT.tsv
S0400,2,0,0,0.0,S0246,562,353,204,0.6281138790035588,S0245,4,4,1,1.0,S0249,199,113,74,0.5678391959798995,767,470,0.6127770534550195,279,900,950,STXT.tsv
S0400,42,36,17,0.8571428571428571,S0246,49,27,19,0.5510204081632653,S0245,320,201,118,0.628125,S0249,188,124,74,0.6595744680851063,599,388,0.6477462437395659,228,950,1000,STXT.tsv
S0400,8,7,3,0.875,S0246,55,26,14,0.4727272727272727,S0245,11,11,4,1.0,S0249,573,390,242,0.680628272251309,647,434,0.6707882534775889,263,1000,1050,STXT.tsv
S0400,48,36,21,0.75,S0246,187,101,68,0.5401069518716578,S0245,6,4,4,0.6666666666666666,S0249,477,325,192,0.6813417190775681,718,466,0.649025069637883,285,1050,1100,STXT.tsv
S0400,55,38,21,0.6909090909090909,S0246,216,123,82,0.5694444444444444,S0245,28,24,14,0.8571428571428571,S0249,240,181,103,0.7541666666666667,539,366,0.6790352504638218,220,1100,1150,STXT.tsv
S0400,9,7,3,0.7777777777777778,S0246,188,123,74,0.6542553191489362,S0245,20,9,6,0.45,S0249,318,223,139,0.7012578616352201,535,362,0.6766355140186916,222,1150,1200,STXT.tsv
