speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0588,109,33,32,0.30275229357798167,S0590,117,62,56,0.5299145299145299,S0616,0,0,0,0.0,S0589,0,0,0,0.0,226,95,0.42035398230088494,88,0,50,S263.tsv
S0588,133,56,55,0.42105263157894735,S0590,120,53,47,0.44166666666666665,S0616,13,1,1,0.07692307692307693,S0589,5,0,0,0.0,271,110,0.4059040590405904,103,50,100,S263.tsv
S0588,101,24,21,0.2376237623762376,S0590,224,67,59,0.29910714285714285,S0616,0,0,0,0.0,S0589,0,0,0,0.0,325,91,0.28,80,100,150,S263.tsv
S0588,121,35,32,0.2892561983471074,S0590,135,43,42,0.31851851851851853,S0616,6,0,0,0.0,S0589,0,0,0,0.0,262,78,0.29770992366412213,74,150,200,S263.tsv
S0588,29,2,2,0.06896551724137931,S0590,175,46,42,0.26285714285714284,S0616,101,57,46,0.5643564356435643,S0589,8,3,3,0.375,313,108,0.3450479233226837,93,200,250,S263.tsv
S0588,0,0,0,0.0,S0590,168,66,65,0.39285714285714285,S0616,107,54,50,0.5046728971962616,S0589,0,0,0,0.0,275,120,0.43636363636363634,115,250,300,S263.tsv
S0588,46,18,17,0.391304347826087,S0590,161,36,33,0.2236024844720497,S0616,104,43,41,0.41346153846153844,S0589,11,6,4,0.5454545454545454,322,103,0.3198757763975155,95,300,350,S263.tsv
S0588,0,0,0,0.0,S0590,208,89,83,0.42788461538461536,S0616,122,40,37,0.32786885245901637,S0589,0,0,0,0.0,330,129,0.39090909090909093,120,350,400,S263.tsv
S0588,27,18,14,0.6666666666666666,S0590,304,59,55,0.19407894736842105,S0616,63,21,18,0.3333333333333333,S0589,11,6,6,0.5454545454545454,405,104,0.25679012345679014,93,400,450,S263.tsv
S0588,9,1,1,0.1111111111111111,S0590,136,40,37,0.29411764705882354,S0616,52,20,18,0.38461538461538464,S0589,16,4,4,0.25,213,65,0.3051643192488263,60,450,500,S263.tsv
S0588,44,23,17,0.5227272727272727,S0590,125,34,30,0.272,S0616,46,11,10,0.2391304347826087,S0589,43,21,21,0.4883720930232558,258,89,0.3449612403100775,78,500,550,S263.tsv
S0588,25,9,7,0.36,S0590,62,20,18,0.3225806451612903,S0616,166,75,68,0.45180722891566266,S0589,45,12,11,0.26666666666666666,298,116,0.38926174496644295,104,550,600,S263.tsv
S0588,1,1,1,1.0,S0590,24,13,12,0.5416666666666666,S0616,311,59,56,0.18971061093247588,S0589,30,9,9,0.3,366,82,0.22404371584699453,78,600,650,S263.tsv
S0588,14,7,6,0.5,S0590,96,39,35,0.40625,S0616,121,21,20,0.17355371900826447,S0589,23,12,12,0.5217391304347826,254,79,0.3110236220472441,73,650,700,S263.tsv
S0588,42,22,20,0.5238095238095238,S0590,57,19,18,0.3333333333333333,S0616,66,28,28,0.42424242424242425,S0589,99,28,25,0.2828282828282828,264,97,0.36742424242424243,91,700,750,S263.tsv
S0588,70,39,29,0.5571428571428572,S0590,102,43,42,0.4215686274509804,S0616,44,20,20,0.45454545454545453,S0589,48,17,16,0.3541666666666667,264,119,0.45075757575757575,107,750,800,S263.tsv
S0588,33,9,9,0.2727272727272727,S0590,66,31,29,0.4696969696969697,S0616,55,22,22,0.4,S0589,60,25,23,0.4166666666666667,214,87,0.40654205607476634,83,800,850,S263.tsv
S0588,43,12,12,0.27906976744186046,S0590,95,37,35,0.3894736842105263,S0616,40,12,12,0.3,S0589,90,40,37,0.4444444444444444,268,101,0.376865671641791,96,850,900,S263.tsv
S0588,33,18,17,0.5454545454545454,S0590,61,12,12,0.19672131147540983,S0616,60,9,9,0.15,S0589,38,10,9,0.2631578947368421,192,49,0.2552083333333333,47,900,950,S263.tsv
S0588,84,31,28,0.36904761904761907,S0590,75,35,34,0.4666666666666667,S0616,2,0,0,0.0,S0589,45,7,6,0.15555555555555556,206,73,0.35436893203883496,68,950,1000,S263.tsv
S0588,62,18,18,0.2903225806451613,S0590,58,26,22,0.4482758620689655,S0616,68,24,21,0.35294117647058826,S0589,33,10,6,0.30303030303030304,221,78,0.35294117647058826,67,1000,1050,S263.tsv
S0588,57,21,17,0.3684210526315789,S0590,22,10,8,0.45454545454545453,S0616,265,63,61,0.23773584905660378,S0589,7,1,1,0.14285714285714285,351,95,0.2706552706552707,87,1050,1100,S263.tsv
S0588,44,17,15,0.38636363636363635,S0590,34,9,9,0.2647058823529412,S0616,78,15,14,0.19230769230769232,S0589,40,17,15,0.425,196,58,0.29591836734693877,53,1100,1150,S263.tsv
