speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0227,230,84,77,0.3652173913043478,S0192,190,81,76,0.4263157894736842,S0189,0,0,0,0.0,S0190,0,0,0,0.0,420,165,0.39285714285714285,153,0,50,SJ7N.tsv
S0227,170,59,56,0.34705882352941175,S0192,100,45,43,0.45,S0189,50,36,27,0.72,S0190,0,0,0,0.0,320,140,0.4375,126,50,100,SJ7N.tsv
S0227,405,134,128,0.3308641975308642,S0192,106,37,27,0.3490566037735849,S0189,78,46,38,0.5897435897435898,S0190,0,0,0,0.0,589,217,0.3684210526315789,193,100,150,SJ7N.tsv
S0227,413,174,154,0.4213075060532688,S0192,185,92,78,0.4972972972972973,S0189,30,25,20,0.8333333333333334,S0190,0,0,0,0.0,628,291,0.46337579617834396,252,150,200,SJ7N.tsv
S0227,339,167,152,0.49262536873156343,S0192,236,83,71,0.3516949152542373,S0189,8,4,4,0.5,S0190,0,0,0,0.0,583,254,0.43567753001715265,227,200,250,SJ7N.tsv
S0227,197,61,57,0.3096446700507614,S0192,182,80,73,0.43956043956043955,S0189,29,25,20,0.8620689655172413,S0190,0,0,0,0.0,408,166,0.4068627450980392,150,250,300,SJ7N.tsv
S0227,268,125,113,0.4664179104477612,S0192,149,54,48,0.3624161073825503,S0189,18,0,0,0.0,S0190,0,0,0,0.0,435,179,0.4114942528735632,161,300,350,SJ7N.tsv
S0227,650,266,226,0.40923076923076923,S0192,287,143,120,0.49825783972125437,S0189,0,0,0,0.0,S0190,0,0,0,0.0,937,409,0.43649946638207043,346,350,400,SJ7N.tsv
S0227,259,51,49,0.1969111969111969,S0192,348,171,165,0.49137931034482757,S0189,0,0,0,0.0,S0190,0,0,0,0.0,607,222,0.3657331136738056,214,400,450,SJ7N.tsv
S0227,875,303,281,0.3462857142857143,S0192,105,59,47,0.5619047619047619,S0189,90,47,40,0.5222222222222223,S0190,0,0,0,0.0,1070,409,0.3822429906542056,368,450,500,SJ7N.tsv
S0227,229,36,36,0.1572052401746725,S0192,121,55,54,0.45454545454545453,S0189,34,17,15,0.5,S0190,0,0,0,0.0,384,108,0.28125,105,500,550,SJ7N.tsv
S0227,143,52,48,0.36363636363636365,S0192,177,40,38,0.22598870056497175,S0189,17,11,9,0.6470588235294118,S0190,0,0,0,0.0,337,103,0.3056379821958457,95,550,600,SJ7N.tsv
S0227,119,58,52,0.48739495798319327,S0192,111,15,15,0.13513513513513514,S0189,74,30,28,0.40540540540540543,S0190,0,0,0,0.0,304,103,0.33881578947368424,95,600,650,SJ7N.tsv
S0227,245,94,79,0.3836734693877551,S0192,74,36,25,0.4864864864864865,S0189,13,1,1,0.07692307692307693,S0190,161,88,77,0.546583850931677,493,219,0.44421906693711966,182,650,700,SJ7N.tsv
S0227,342,110,94,0.3216374269005848,S0192,175,83,71,0.4742857142857143,S0189,50,23,18,0.46,S0190,0,0,0,0.0,567,216,0.38095238095238093,183,700,750,SJ7N.tsv
S0227,27,2,2,0.07407407407407407,S0192,3,0,0,0.0,S0189,4,2,2,0.5,S0190,0,0,0,0.0,34,4,0.11764705882352941,4,750,754,SJ7N.tsv
