speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0024,69,30,26,0.43478260869565216,S0142,329,80,74,0.24316109422492402,S0143,11,6,3,0.5454545454545454,S0144,24,15,14,0.625,433,131,0.302540415704388,117,0,50,SJNJ.tsv
S0024,57,31,29,0.543859649122807,S0142,365,129,121,0.35342465753424657,S0143,90,33,31,0.36666666666666664,S0144,74,41,35,0.5540540540540541,586,234,0.3993174061433447,216,50,100,SJNJ.tsv
S0024,26,18,15,0.6923076923076923,S0142,583,149,138,0.2555746140651801,S0143,121,52,45,0.4297520661157025,S0144,19,9,8,0.47368421052631576,749,228,0.30440587449933243,206,100,150,SJNJ.tsv
S0024,137,53,44,0.38686131386861317,S0142,54,27,21,0.5,S0143,51,8,5,0.1568627450980392,S0144,57,30,28,0.5263157894736842,299,118,0.39464882943143814,98,150,200,SJNJ.tsv
S0024,129,70,58,0.5426356589147286,S0142,101,35,34,0.3465346534653465,S0143,9,1,1,0.1111111111111111,S0144,100,28,24,0.28,339,134,0.3952802359882006,117,200,250,SJNJ.tsv
S0024,153,64,50,0.41830065359477125,S0142,72,29,26,0.4027777777777778,S0143,0,0,0,0.0,S0144,116,55,44,0.47413793103448276,341,148,0.4340175953079179,120,250,300,SJNJ.tsv
S0024,127,60,43,0.47244094488188976,S0142,254,99,80,0.38976377952755903,S0143,0,0,0,0.0,S0144,164,71,62,0.4329268292682927,545,230,0.42201834862385323,185,300,350,SJNJ.tsv
S0024,80,56,52,0.7,S0142,110,23,21,0.20909090909090908,S0143,0,0,0,0.0,S0144,212,69,61,0.32547169811320753,402,148,0.3681592039800995,134,350,400,SJNJ.tsv
S0024,81,27,24,0.3333333333333333,S0142,219,71,57,0.3242009132420091,S0143,0,0,0,0.0,S0144,99,40,33,0.40404040404040403,399,138,0.3458646616541353,114,400,450,SJNJ.tsv
S0024,90,58,48,0.6444444444444445,S0142,215,65,59,0.3023255813953488,S0143,0,0,0,0.0,S0144,181,74,69,0.4088397790055249,486,197,0.4053497942386831,176,450,500,SJNJ.tsv
S0024,30,20,16,0.6666666666666666,S0142,265,54,49,0.2037735849056604,S0143,0,0,0,0.0,S0144,81,32,31,0.3950617283950617,376,106,0.28191489361702127,96,500,550,SJNJ.tsv
S0024,55,33,30,0.6,S0142,225,65,62,0.28888888888888886,S0143,0,0,0,0.0,S0144,144,54,51,0.375,424,152,0.3584905660377358,143,550,600,SJNJ.tsv
S0024,40,23,20,0.575,S0142,310,57,54,0.18387096774193548,S0143,4,0,0,0.0,S0144,56,29,25,0.5178571428571429,410,109,0.2658536585365854,99,600,650,SJNJ.tsv
S0024,75,37,35,0.49333333333333335,S0142,315,50,45,0.15873015873015872,S0143,13,7,7,0.5384615384615384,S0144,69,21,15,0.30434782608695654,472,115,0.24364406779661016,102,650,700,SJNJ.tsv
S0024,6,0,0,0.0,S0142,310,117,99,0.3774193548387097,S0143,4,0,0,0.0,S0144,216,101,94,0.4675925925925926,536,218,0.40671641791044777,193,700,750,SJNJ.tsv
S0024,6,3,3,0.5,S0142,287,55,50,0.1916376306620209,S0143,28,16,15,0.5714285714285714,S0144,114,57,53,0.5,435,131,0.30114942528735633,121,750,800,SJNJ.tsv
S0024,44,25,22,0.5681818181818182,S0142,250,41,38,0.164,S0143,31,20,18,0.6451612903225806,S0144,77,36,30,0.4675324675324675,402,122,0.3034825870646766,108,800,850,SJNJ.tsv
S0024,9,0,0,0.0,S0142,456,143,133,0.31359649122807015,S0143,0,0,0,0.0,S0144,103,50,47,0.4854368932038835,568,193,0.3397887323943662,180,850,900,SJNJ.tsv
S0024,0,0,0,0.0,S0142,222,96,83,0.43243243243243246,S0143,16,0,0,0.0,S0144,150,52,48,0.3466666666666667,388,148,0.38144329896907214,131,900,950,SJNJ.tsv
S0024,0,0,0,0.0,S0142,434,109,101,0.2511520737327189,S0143,0,0,0,0.0,S0144,218,123,109,0.5642201834862385,652,232,0.3558282208588957,210,950,1000,SJNJ.tsv
