speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0604,112,39,36,0.3482142857142857,S0605,78,36,29,0.46153846153846156,S0603,72,37,30,0.5138888888888888,S0493,36,9,8,0.25,298,121,0.40604026845637586,103,0,50,SR3K.tsv
S0604,80,30,26,0.375,S0605,43,21,15,0.4883720930232558,S0603,98,42,36,0.42857142857142855,S0493,84,33,31,0.39285714285714285,305,126,0.4131147540983607,108,50,100,SR3K.tsv
S0604,49,17,15,0.3469387755102041,S0605,49,26,25,0.5306122448979592,S0603,101,32,30,0.31683168316831684,S0493,39,11,9,0.28205128205128205,238,86,0.36134453781512604,79,100,150,SR3K.tsv
S0604,63,19,19,0.30158730158730157,S0605,29,13,12,0.4482758620689655,S0603,117,47,43,0.4017094017094017,S0493,108,35,34,0.32407407407407407,317,114,0.35962145110410093,108,150,200,SR3K.tsv
S0604,93,40,34,0.43010752688172044,S0605,46,7,7,0.15217391304347827,S0603,90,45,35,0.5,S0493,59,29,21,0.4915254237288136,288,121,0.4201388888888889,97,200,250,SR3K.tsv
S0604,85,18,17,0.21176470588235294,S0605,30,9,9,0.3,S0603,60,31,19,0.5166666666666667,S0493,439,202,179,0.4601366742596811,614,260,0.4234527687296417,224,250,300,SR3K.tsv
S0604,41,24,20,0.5853658536585366,S0605,141,47,44,0.3333333333333333,S0603,94,47,38,0.5,S0493,86,25,22,0.29069767441860467,362,143,0.39502762430939226,124,300,350,SR3K.tsv
S0604,26,9,7,0.34615384615384615,S0605,42,15,10,0.35714285714285715,S0603,67,32,23,0.47761194029850745,S0493,427,74,66,0.17330210772833723,562,130,0.2313167259786477,106,350,400,SR3K.tsv
S0604,41,17,15,0.4146341463414634,S0605,0,0,0,0.0,S0603,401,121,112,0.30174563591022446,S0493,100,35,30,0.35,542,173,0.3191881918819188,157,400,450,SR3K.tsv
S0604,36,22,19,0.6111111111111112,S0605,30,19,16,0.6333333333333333,S0603,220,49,46,0.22272727272727272,S0493,94,33,29,0.35106382978723405,380,123,0.3236842105263158,110,450,500,SR3K.tsv
S0604,37,13,12,0.35135135135135137,S0605,0,0,0,0.0,S0603,169,30,27,0.17751479289940827,S0493,57,33,28,0.5789473684210527,263,76,0.2889733840304182,67,500,550,SR3K.tsv
S0604,140,74,59,0.5285714285714286,S0605,43,18,16,0.4186046511627907,S0603,231,91,86,0.3939393939393939,S0493,24,6,5,0.25,438,189,0.4315068493150685,166,550,600,SR3K.tsv
S0604,27,15,12,0.5555555555555556,S0605,39,30,16,0.7692307692307693,S0603,313,83,82,0.26517571884984026,S0493,80,36,33,0.45,459,164,0.3572984749455338,143,600,650,SR3K.tsv
S0604,21,11,10,0.5238095238095238,S0605,31,12,11,0.3870967741935484,S0603,125,39,32,0.312,S0493,128,68,55,0.53125,305,130,0.4262295081967213,108,650,700,SR3K.tsv
S0604,23,17,15,0.7391304347826086,S0605,8,4,3,0.5,S0603,331,106,101,0.3202416918429003,S0493,75,29,18,0.38666666666666666,437,156,0.35697940503432496,137,700,750,SR3K.tsv
S0604,43,12,12,0.27906976744186046,S0605,11,5,3,0.45454545454545453,S0603,146,54,48,0.3698630136986301,S0493,96,48,43,0.5,296,119,0.40202702702702703,106,750,800,SR3K.tsv
S0604,109,54,45,0.4954128440366973,S0605,34,15,12,0.4411764705882353,S0603,124,26,21,0.20967741935483872,S0493,24,8,5,0.3333333333333333,291,103,0.3539518900343643,83,800,850,SR3K.tsv
S0604,177,61,56,0.3446327683615819,S0605,28,3,3,0.10714285714285714,S0603,150,65,53,0.43333333333333335,S0493,38,22,14,0.5789473684210527,393,151,0.3842239185750636,126,850,900,SR3K.tsv
S0604,118,41,34,0.3474576271186441,S0605,25,14,14,0.56,S0603,153,47,40,0.30718954248366015,S0493,67,32,28,0.47761194029850745,363,134,0.3691460055096419,116,900,950,SR3K.tsv
S0604,123,43,39,0.34959349593495936,S0605,8,5,2,0.625,S0603,99,36,32,0.36363636363636365,S0493,45,16,13,0.35555555555555557,275,100,0.36363636363636365,86,950,1000,SR3K.tsv
S0604,62,19,18,0.3064516129032258,S0605,20,11,9,0.55,S0603,154,29,22,0.18831168831168832,S0493,32,12,10,0.375,268,71,0.26492537313432835,59,1000,1050,SR3K.tsv
S0604,129,77,65,0.5968992248062015,S0605,0,0,0,0.0,S0603,137,51,42,0.3722627737226277,S0493,84,20,20,0.23809523809523808,350,148,0.4228571428571429,127,1050,1100,SR3K.tsv
S0604,46,16,15,0.34782608695652173,S0605,20,16,15,0.8,S0603,140,58,54,0.4142857142857143,S0493,145,32,31,0.2206896551724138,351,122,0.3475783475783476,115,1100,1150,SR3K.tsv
S0604,41,14,14,0.34146341463414637,S0605,7,4,3,0.5714285714285714,S0603,114,32,29,0.2807017543859649,S0493,109,42,36,0.3853211009174312,271,92,0.33948339483394835,82,1150,1200,SR3K.tsv
S0604,52,23,23,0.4423076923076923,S0605,71,26,26,0.36619718309859156,S0603,54,17,15,0.3148148148148148,S0493,75,29,28,0.38666666666666666,252,95,0.376984126984127,92,1200,1250,SR3K.tsv
S0604,66,40,34,0.6060606060606061,S0605,44,12,12,0.2727272727272727,S0603,107,34,30,0.3177570093457944,S0493,132,61,50,0.4621212121212121,349,147,0.42120343839541546,126,1250,1300,SR3K.tsv
S0604,6,4,4,0.6666666666666666,S0605,90,30,29,0.3333333333333333,S0603,77,31,27,0.4025974025974026,S0493,105,46,41,0.4380952380952381,278,111,0.39928057553956836,101,1300,1350,SR3K.tsv
S0604,54,21,21,0.3888888888888889,S0605,42,17,16,0.40476190476190477,S0603,88,38,31,0.4318181818181818,S0493,69,24,21,0.34782608695652173,253,100,0.3952569169960474,89,1350,1400,SR3K.tsv
S0604,51,26,23,0.5098039215686274,S0605,35,10,8,0.2857142857142857,S0603,106,41,38,0.3867924528301887,S0493,73,28,24,0.3835616438356164,265,105,0.39622641509433965,93,1400,1450,SR3K.tsv
S0604,80,47,42,0.5875,S0605,82,29,25,0.35365853658536583,S0603,94,42,37,0.44680851063829785,S0493,98,36,30,0.3673469387755102,354,154,0.4350282485875706,134,1450,1500,SR3K.tsv
S0604,114,50,45,0.43859649122807015,S0605,21,16,15,0.7619047619047619,S0603,106,35,27,0.330188679245283,S0493,116,58,53,0.5,357,159,0.44537815126050423,140,1500,1550,SR3K.tsv
S0604,121,77,63,0.6363636363636364,S0605,10,5,2,0.5,S0603,105,49,42,0.4666666666666667,S0493,219,56,53,0.2557077625570776,455,187,0.41098901098901097,160,1550,1600,SR3K.tsv
