speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0058,130,46,39,0.35384615384615387,S0026,128,41,32,0.3203125,S0120,61,34,30,0.5573770491803278,S0179,0,0,0,0.0,319,121,0.3793103448275862,101,0,50,SUKT.tsv
S0058,66,5,4,0.07575757575757576,S0026,372,76,74,0.20430107526881722,S0120,3,0,0,0.0,S0179,0,0,0,0.0,441,81,0.1836734693877551,78,50,100,SUKT.tsv
S0058,47,25,21,0.5319148936170213,S0026,209,10,10,0.04784688995215311,S0120,41,23,21,0.5609756097560976,S0179,18,7,7,0.3888888888888889,315,65,0.20634920634920634,59,100,150,SUKT.tsv
S0058,79,31,27,0.3924050632911392,S0026,80,19,15,0.2375,S0120,74,18,17,0.24324324324324326,S0179,12,5,5,0.4166666666666667,245,73,0.2979591836734694,64,150,200,SUKT.tsv
S0058,147,59,52,0.4013605442176871,S0026,56,28,20,0.5,S0120,101,42,36,0.4158415841584158,S0179,38,7,7,0.18421052631578946,342,136,0.39766081871345027,115,200,250,SUKT.tsv
S0058,75,35,28,0.4666666666666667,S0026,59,23,18,0.3898305084745763,S0120,101,20,17,0.19801980198019803,S0179,46,7,7,0.15217391304347827,281,85,0.302491103202847,70,250,300,SUKT.tsv
S0058,177,51,46,0.288135593220339,S0026,66,21,19,0.3181818181818182,S0120,31,23,21,0.7419354838709677,S0179,49,21,20,0.42857142857142855,323,116,0.3591331269349845,106,300,350,SUKT.tsv
S0058,113,39,36,0.34513274336283184,S0026,70,46,37,0.6571428571428571,S0120,129,46,43,0.35658914728682173,S0179,46,17,13,0.3695652173913043,358,148,0.4134078212290503,129,350,400,SUKT.tsv
S0058,12,1,1,0.08333333333333333,S0026,174,78,68,0.4482758620689655,S0120,205,73,66,0.35609756097560974,S0179,25,3,2,0.12,416,155,0.37259615384615385,137,400,450,SUKT.tsv
S0058,22,12,9,0.5454545454545454,S0026,198,56,53,0.2828282828282828,S0120,189,61,53,0.32275132275132273,S0179,18,7,7,0.3888888888888889,427,136,0.3185011709601874,122,450,500,SUKT.tsv
S0058,77,35,32,0.45454545454545453,S0026,120,49,43,0.4083333333333333,S0120,109,42,35,0.3853211009174312,S0179,1,0,0,0.0,307,126,0.41042345276872966,110,500,550,SUKT.tsv
S0058,83,29,26,0.3493975903614458,S0026,76,7,7,0.09210526315789473,S0120,111,32,29,0.2882882882882883,S0179,34,16,15,0.47058823529411764,304,84,0.27631578947368424,77,550,600,SUKT.tsv
S0058,86,25,25,0.29069767441860467,S0026,53,26,25,0.49056603773584906,S0120,79,20,19,0.25316455696202533,S0179,9,2,2,0.2222222222222222,227,73,0.32158590308370044,71,600,650,SUKT.tsv
S0058,76,44,40,0.5789473684210527,S0026,101,28,26,0.27722772277227725,S0120,160,36,34,0.225,S0179,0,0,0,0.0,337,108,0.32047477744807124,100,650,700,SUKT.tsv
S0058,139,61,54,0.43884892086330934,S0026,102,31,30,0.30392156862745096,S0120,50,24,22,0.48,S0179,23,7,7,0.30434782608695654,314,123,0.39171974522292996,113,700,750,SUKT.tsv
S0058,88,29,26,0.32954545454545453,S0026,90,31,29,0.34444444444444444,S0120,36,11,11,0.3055555555555556,S0179,11,3,3,0.2727272727272727,225,74,0.3288888888888889,69,750,800,SUKT.tsv
S0058,122,30,26,0.2459016393442623,S0026,34,15,12,0.4411764705882353,S0120,62,23,18,0.3709677419354839,S0179,60,22,19,0.36666666666666664,278,90,0.3237410071942446,75,800,850,SUKT.tsv
S0058,128,61,54,0.4765625,S0026,171,33,25,0.19298245614035087,S0120,35,9,8,0.2571428571428571,S0179,0,0,0,0.0,334,103,0.3083832335329341,87,850,900,SUKT.tsv
S0058,94,15,15,0.1595744680851064,S0026,79,28,25,0.35443037974683544,S0120,63,36,34,0.5714285714285714,S0179,26,17,12,0.6538461538461539,262,96,0.366412213740458,86,900,950,SUKT.tsv
S0058,95,22,22,0.23157894736842105,S0026,76,21,19,0.27631578947368424,S0120,47,24,21,0.5106382978723404,S0179,76,23,21,0.3026315789473684,294,90,0.30612244897959184,83,950,1000,SUKT.tsv
S0058,117,46,43,0.39316239316239315,S0026,50,25,17,0.5,S0120,65,25,22,0.38461538461538464,S0179,44,9,9,0.20454545454545456,276,105,0.3804347826086957,91,1000,1050,SUKT.tsv
S0058,377,100,83,0.26525198938992045,S0026,18,8,8,0.4444444444444444,S0120,112,42,39,0.375,S0179,0,0,0,0.0,507,150,0.2958579881656805,130,1050,1100,SUKT.tsv
S0058,103,45,40,0.4368932038834951,S0026,88,15,13,0.17045454545454544,S0120,52,19,17,0.36538461538461536,S0179,0,0,0,0.0,243,79,0.32510288065843623,70,1100,1150,SUKT.tsv
S0058,185,47,44,0.25405405405405407,S0026,0,0,0,0.0,S0120,120,54,47,0.45,S0179,30,14,14,0.4666666666666667,335,115,0.34328358208955223,105,1150,1200,SUKT.tsv
S0058,32,8,8,0.25,S0026,124,43,40,0.3467741935483871,S0120,72,19,18,0.2638888888888889,S0179,63,22,21,0.3492063492063492,291,92,0.3161512027491409,87,1200,1250,SUKT.tsv
S0058,19,5,5,0.2631578947368421,S0026,0,0,0,0.0,S0120,0,0,0,0.0,S0179,10,0,0,0.0,29,5,0.1724137931034483,5,1250,1252,SUKT.tsv
