Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
that,1,2,"[0, 2, 42, 54, 55, 65, 82, 119, 127, 135, 169, 224, 246, 250, 259, 264, 291, 302, 303, 314, 317, 321, 328, 330, 333, 345, 365, 368, 371, 373, 378, 402, 407, 410, 415, 417, 422, 433, 438, 442, 458, 469, 489, 580, 582, 585, 636, 637, 638, 651, 671, 682, 690, 702, 703, 705, 720, 725, 730, 741, 744, 749, 754, 760, 761, 762, 786, 791, 795, 807, 815, 818, 829, 845, 854, 866, 870, 871, 872, 874, 915, 941, 945, 949, 970, 975, 989, 992, 1011, 1016, 1018, 1049, 1050, 1063, 1073, 1095, 1105, 1113, 1122, 1140, 1156, 1165, 1168, 1208, 1210, 1212, 1214, 1219, 1233, 1238, 1239]",S4HW.tsv
say,1,111,"[0, 99, 111, 155, 218, 267, 269, 279, 294, 295, 347, 362, 404, 416, 420, 537, 561, 580, 582, 585, 587, 592, 651, 706, 708, 719, 720, 730, 760, 795, 807, 854, 864, 891, 901, 960, 964, 965, 989, 1036, 1040, 1041, 1042, 1064, 1124, 1156, 1162, 1169]",S4HW.tsv
say that,2,580,"[0, 580, 582, 585, 651, 730, 854, 989, 1156]",S4HW.tsv
she'll,1,712,"[0, 712]",S4HW.tsv
talk,1,208,"[0, 208, 803, 805, 818, 892, 895, 1166]",S4HW.tsv
she's,1,236,"[0, 236, 240, 713, 716, 717, 726, 1215, 1217]",S4HW.tsv
a,1,23,"[4, 5, 6, 17, 22, 23, 24, 25, 26, 37, 42, 43, 45, 47, 54, 67, 68, 73, 81, 105, 109, 111, 122, 127, 135, 148, 152, 160, 161, 166, 168, 178, 180, 192, 194, 195, 196, 198, 214, 225, 228, 232, 247, 256, 257, 259, 260, 262, 265, 267, 286, 290, 292, 294, 319, 322, 323, 332, 349, 359, 360, 370, 376, 397, 407, 409, 410, 412, 415, 419, 421, 424, 425, 426, 430, 434, 437, 438, 447, 448, 456, 462, 463, 468, 476, 482, 483, 484, 509, 510, 511, 513, 515, 516, 518, 526, 531, 538, 539, 541, 543, 547, 548, 549, 550, 553, 577, 585, 587, 588, 592, 620, 632, 636, 638, 651, 653, 654, 664, 673, 689, 691, 701, 705, 713, 717, 723, 728, 731, 735, 737, 739, 744, 746, 748, 760, 764, 777, 778, 786, 792, 800, 810, 816, 833, 845, 851, 854, 860, 864, 865, 866, 870, 871, 872, 882, 883, 902, 911, 919, 923, 925, 927, 929, 935, 940, 941, 945, 951, 957, 958, 963, 965, 978, 997, 998, 1004, 1012, 1014, 1015, 1016, 1024, 1036, 1045, 1048, 1053, 1065, 1091, 1095, 1098, 1100, 1119, 1122, 1125, 1130, 1135, 1136, 1139, 1142, 1146, 1148, 1164, 1169, 1176, 1179, 1184, 1195, 1197, 1198, 1208, 1210, 1217, 1221, 1226]",S4HW.tsv
a month,2,25,"[23, 24, 25, 26]",S4HW.tsv
pound,1,24,"[23, 24, 48, 194, 195]",S4HW.tsv
owe,1,28,"[11, 28, 31, 33, 54]",S4HW.tsv
i,1,28,"[2, 4, 12, 22, 27, 28, 31, 38, 39, 40, 42, 43, 44, 48, 52, 54, 55, 61, 65, 67, 69, 82, 93, 99, 127, 136, 146, 152, 154, 156, 158, 160, 162, 163, 165, 175, 183, 195, 197, 201, 207, 214, 221, 227, 245, 246, 249, 251, 253, 259, 260, 262, 263, 265, 266, 267, 270, 281, 283, 286, 291, 293, 294, 296, 297, 305, 313, 314, 320, 330, 332, 333, 334, 337, 339, 342, 347, 352, 365, 370, 371, 377, 381, 389, 390, 397, 401, 402, 403, 404, 405, 406, 409, 413, 429, 437, 442, 453, 467, 468, 486, 503, 505, 522, 526, 528, 532, 534, 541, 553, 577, 585, 587, 588, 593, 595, 597, 599, 600, 603, 607, 615, 624, 632, 662, 678, 684, 691, 703, 706, 707, 712, 713, 719, 725, 742, 743, 744, 748, 755, 760, 761, 772, 773, 776, 784, 786, 787, 795, 798, 799, 801, 805, 808, 814, 817, 823, 827, 828, 838, 857, 860, 874, 880, 891, 892, 896, 901, 902, 912, 933, 940, 945, 948, 955, 957, 961, 965, 988, 992, 997, 998, 1010, 1013, 1018, 1019, 1025, 1027, 1028, 1034, 1036, 1041, 1042, 1045, 1053, 1056, 1057, 1065, 1077, 1082, 1086, 1090, 1096, 1097, 1099, 1102, 1103, 1104, 1116, 1119, 1120, 1122, 1124, 1125, 1126, 1148, 1149, 1151, 1154, 1164, 1169, 1172, 1199, 1201, 1208, 1209, 1210, 1213, 1215, 1216, 1218, 1219, 1220, 1221, 1222, 1225, 1231, 1237, 1239, 1242]",S4HW.tsv
some,1,33,"[28, 31, 33, 36, 73, 173, 187, 269, 308, 312, 314, 315, 407, 442, 452, 540, 569, 648, 701, 707, 767, 824, 827, 859, 860, 907, 910, 912, 965, 1001, 1027, 1151, 1152, 1184]",S4HW.tsv
