begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3640776699029126,0.45768025078369906,0.42095238095238097,SNRQ.tsv
50,100,0.5376884422110553,0.37181996086105673,0.4183098591549296,SNRQ.tsv
100,150,0.44221105527638194,0.3413654618473896,0.3861607142857143,SNRQ.tsv
150,200,0.4612903225806452,0.5083682008368201,0.48984771573604063,SNRQ.tsv
200,250,0.5636363636363636,0.16997792494481237,0.2986627043090639,SNRQ.tsv
250,300,0.27154046997389036,0.5703125,0.34637964774951074,SNRQ.tsv
300,350,0.4377358490566038,0.4962025316455696,0.4727272727272727,SNRQ.tsv
350,400,0.45454545454545453,0.34545454545454546,0.37662337662337664,SNRQ.tsv
400,450,0.36082474226804123,0.5113924050632911,0.4617996604414261,SNRQ.tsv
450,500,0.4298056155507559,0.49702380952380953,0.45807259073842305,SNRQ.tsv
500,550,0.3314993122420908,0.6133603238866396,0.44553644553644556,SNRQ.tsv
550,600,0.2573099415204678,0.471875,0.3971486761710794,SNRQ.tsv
600,650,0.5618556701030928,0.3915547024952015,0.43776223776223777,SNRQ.tsv
650,700,0.5035460992907801,0.26716141001855287,0.3161764705882353,SNRQ.tsv
700,750,0.47104247104247104,0.35149863760217986,0.4009584664536741,SNRQ.tsv
750,800,0.31291028446389496,0.614406779661017,0.4155844155844156,SNRQ.tsv
800,823,0.3953488372093023,0.2565789473684211,0.3067226890756303,SNRQ.tsv
