begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.5416666666666666,0.22429906542056074,0.3225806451612903,SPMV.tsv
50,100,0.5229357798165137,0.22666666666666666,0.2844364937388193,SPMV.tsv
100,150,0.4573643410852713,0.30514705882352944,0.3541147132169576,SPMV.tsv
150,200,0.42857142857142855,0.22070844686648503,0.2645161290322581,SPMV.tsv
200,250,0.34444444444444444,0.2711864406779661,0.2883116883116883,SPMV.tsv
250,300,0.5294117647058824,0.32926829268292684,0.41570438799076215,SPMV.tsv
300,350,0.5,0.2612359550561798,0.32510288065843623,SPMV.tsv
350,400,0.43548387096774194,0.39634146341463417,0.41714285714285715,SPMV.tsv
400,450,0.3621621621621622,0.34782608695652173,0.35459183673469385,SPMV.tsv
450,500,0.38421052631578945,0.43023255813953487,0.4107142857142857,SPMV.tsv
500,534,0.3333333333333333,0.42613636363636365,0.3908450704225352,SPMV.tsv
