begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.39271255060728744,0.5335820895522388,0.46601941747572817,SR9W.tsv
50,100,0.27167630057803466,0.3395061728395062,0.3044776119402985,SR9W.tsv
100,150,0.31543624161073824,0.37333333333333335,0.34448160535117056,SR9W.tsv
150,200,0.40540540540540543,0.27927927927927926,0.3108108108108108,SR9W.tsv
200,250,0.5549132947976878,0.33689839572192515,0.40585009140767825,SR9W.tsv
250,300,0.1858974358974359,0.4027777777777778,0.3118279569892473,SR9W.tsv
300,350,0.4444444444444444,0.4065934065934066,0.42207792207792205,SR9W.tsv
350,400,0.3880597014925373,0.34191176470588236,0.35714285714285715,SR9W.tsv
400,450,0.34375,0.4195583596214511,0.4019370460048426,SR9W.tsv
450,500,0.5660377358490566,0.1118421052631579,0.41914893617021276,SR9W.tsv
500,550,0.17391304347826086,0.4661016949152542,0.28807947019867547,SR9W.tsv
550,592,0.5633802816901409,0.24557522123893805,0.2887189292543021,SR9W.tsv
