begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.19387755102040816,0.33098591549295775,0.275,STY2.tsv
50,100,0.4228571428571429,0.4782608695652174,0.44344703770197486,STY2.tsv
100,150,0.27759197324414714,0.509915014164306,0.40337423312883436,STY2.tsv
150,200,0.44660194174757284,0.45145631067961167,0.44983818770226536,STY2.tsv
200,250,0.38645418326693226,0.38721804511278196,0.38684719535783363,STY2.tsv
250,300,0.2620967741935484,0.46706586826347307,0.344578313253012,STY2.tsv
300,350,0.37404580152671757,0.4666666666666667,0.4246100519930676,STY2.tsv
350,400,0.5142857142857142,0.45161290322580644,0.48484848484848486,STY2.tsv
400,450,0.5121951219512195,0.4900398406374502,0.5005246589716684,STY2.tsv
450,474,0.6666666666666666,0.12121212121212122,0.19184652278177458,STY2.tsv
