begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.04603580562659847,0.4369747899159664,0.13725490196078433,SDY6.tsv
50,100,0.24193548387096775,0.39087947882736157,0.33468559837728196,SDY6.tsv
100,150,0.36904761904761907,0.4358108108108108,0.41163793103448276,SDY6.tsv
150,200,0.4017094017094017,0.4421052631578947,0.4238921001926782,SDY6.tsv
200,250,0.4,0.5251798561151079,0.4713114754098361,SDY6.tsv
250,300,0.4306569343065693,0.5828877005347594,0.5420743639921722,SDY6.tsv
300,350,0.48514851485148514,0.46855345911949686,0.475,SDY6.tsv
350,400,0.4576271186440678,0.45038167938931295,0.4561933534743202,SDY6.tsv
400,450,0.5252293577981652,0.5753424657534246,0.5324165029469549,SDY6.tsv
450,500,0.5420560747663551,0.56875,0.5509355509355509,SDY6.tsv
500,550,0.5011441647597255,0.6451612903225806,0.5190380761523046,SDY6.tsv
550,600,0.5302593659942363,0.5502645502645502,0.5373134328358209,SDY6.tsv
600,626,0.47540983606557374,0.5761904761904761,0.5220264317180616,SDY6.tsv
