begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.12931034482758622,0.22608695652173913,0.16138328530259366,SQRA.tsv
50,100,0.3313253012048193,0.350253807106599,0.3415977961432507,SQRA.tsv
100,150,0.28363636363636363,0.44761904761904764,0.32894736842105265,SQRA.tsv
150,200,0.5315315315315315,0.5055762081784386,0.5131578947368421,SQRA.tsv
200,250,0.45695364238410596,0.5046728971962616,0.4849315068493151,SQRA.tsv
250,300,0.44370860927152317,0.48058252427184467,0.4649859943977591,SQRA.tsv
300,350,0.4256410256410256,0.5465116279069767,0.4822888283378747,SQRA.tsv
350,400,0.5089820359281437,0.6214689265536724,0.5668604651162791,SQRA.tsv
400,450,0.5343915343915344,0.6132075471698113,0.5760598503740648,SQRA.tsv
450,479,0.5504587155963303,0.6813186813186813,0.6323024054982818,SQRA.tsv
