begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.14418604651162792,0.1329479768786127,0.13725490196078433,SRD5.tsv
50,100,0.33691756272401435,0.2398843930635838,0.26776519052523173,SRD5.tsv
100,150,0.4645669291338583,0.33860759493670883,0.40746054519368724,SRD5.tsv
150,200,0.4683794466403162,0.5014836795252225,0.4816132858837485,SRD5.tsv
200,250,0.472,0.47509578544061304,0.4730617608409987,SRD5.tsv
250,300,0.48509485094850946,0.49230769230769234,0.48807631160572335,SRD5.tsv
300,350,0.46938775510204084,0.47901234567901235,0.4753846153846154,SRD5.tsv
350,400,0.5025906735751295,0.49267643142476697,0.4947033898305085,SRD5.tsv
400,450,0.5309090909090909,0.5612903225806452,0.55,SRD5.tsv
450,500,0.5910543130990416,0.5970149253731343,0.5944055944055944,SRD5.tsv
500,550,0.610410094637224,0.6304347826086957,0.6188299817184644,SRD5.tsv
550,600,0.6200716845878136,0.6268656716417911,0.6237785016286646,SRD5.tsv
600,650,0.5573122529644269,0.6013513513513513,0.581056466302368,SRD5.tsv
650,700,0.6265306122448979,0.5860215053763441,0.6153846153846154,SRD5.tsv
700,750,0.6209016393442623,0.6452991452991453,0.628808864265928,SRD5.tsv
750,800,0.6912751677852349,0.6891385767790262,0.6899038461538461,SRD5.tsv
800,812,0.5555555555555556,0.5614035087719298,0.5591397849462365,SRD5.tsv
